DATE,DTB3
2017-04-17,0.82
2017-04-18,0.81
2017-04-19,0.80
2017-04-20,0.78
2017-04-21,0.78
2017-04-24,0.80
2017-04-25,0.81
2017-04-26,0.82
2017-04-27,0.80
2017-04-28,0.79
2017-05-01,0.82
2017-05-02,0.81
2017-05-03,0.84
2017-05-04,0.84
2017-05-05,0.88
2017-05-08,0.90
2017-05-09,0.90
2017-05-10,0.89
2017-05-11,0.87
2017-05-12,0.86
2017-05-15,0.89
2017-05-16,0.89
2017-05-17,0.89
2017-05-18,0.91
2017-05-19,0.90
2017-05-22,0.92
2017-05-23,0.91
2017-05-24,0.92
2017-05-25,0.92
2017-05-26,0.92
2017-05-29,.
2017-05-30,0.92
2017-05-31,0.96
2017-06-01,0.96
2017-06-02,0.96
2017-06-05,0.95
2017-06-06,0.96
2017-06-07,0.98
2017-06-08,0.99
2017-06-09,0.99
2017-06-12,0.97
2017-06-13,0.99
2017-06-14,0.99
2017-06-15,1.00
2017-06-16,1.01
2017-06-19,1.01
2017-06-20,1.00
2017-06-21,0.97
2017-06-22,0.94
2017-06-23,0.95
2017-06-26,0.98
2017-06-27,0.99
2017-06-28,1.00
2017-06-29,1.02
2017-06-30,1.01
2017-07-03,1.04
2017-07-04,.
2017-07-05,1.03
2017-07-06,1.02
2017-07-07,1.03
2017-07-10,1.03
2017-07-11,1.03
2017-07-12,1.03
2017-07-13,1.03
2017-07-14,1.02
2017-07-17,1.05
2017-07-18,1.05
2017-07-19,1.09
2017-07-20,1.13
2017-07-21,1.14
2017-07-24,1.15
2017-07-25,1.16
2017-07-26,1.11
2017-07-27,1.09
2017-07-28,1.06
2017-07-31,1.05
2017-08-01,1.06
2017-08-02,1.06
2017-08-03,1.06
2017-08-04,1.06
2017-08-07,1.01
2017-08-08,1.04
2017-08-09,1.04
2017-08-10,1.03
2017-08-11,1.01
2017-08-14,1.01
2017-08-15,1.02
2017-08-16,1.00
2017-08-17,0.98
2017-08-18,1.00
2017-08-21,0.99
2017-08-22,0.99
2017-08-23,0.98
2017-08-24,1.00
2017-08-25,1.01
2017-08-28,0.97
2017-08-29,1.01
2017-08-30,1.01
2017-08-31,0.99
2017-09-01,1.00
2017-09-04,.
2017-09-05,1.01
2017-09-06,1.05
2017-09-07,1.03
2017-09-08,1.02
2017-09-11,1.04
2017-09-12,1.02
2017-09-13,1.02
2017-09-14,1.03
2017-09-15,1.03
2017-09-18,1.04
2017-09-19,1.03
2017-09-20,1.02
2017-09-21,1.02
2017-09-22,1.01
2017-09-25,1.04
2017-09-26,1.05
2017-09-27,1.05
2017-09-28,1.04
2017-09-29,1.04
2017-10-02,1.00
2017-10-03,1.05
2017-10-04,1.06
2017-10-05,1.05
2017-10-06,1.05
2017-10-09,.
2017-10-10,1.06
2017-10-11,1.08
2017-10-12,1.07
2017-10-13,1.07
2017-10-16,1.09
2017-10-17,1.07
2017-10-18,1.07
2017-10-19,1.08
2017-10-20,1.09
2017-10-23,1.08
2017-10-24,1.10
2017-10-25,1.10
2017-10-26,1.09
2017-10-27,1.08
2017-10-30,1.10
2017-10-31,1.13
2017-11-01,1.16
2017-11-02,1.15
2017-11-03,1.16
2017-11-06,1.17
2017-11-07,1.20
2017-11-08,1.21
2017-11-09,1.22
2017-11-10,1.21
2017-11-13,1.22
2017-11-14,1.24
2017-11-15,1.23
2017-11-16,1.25
2017-11-17,1.26
2017-11-20,1.28
2017-11-21,1.28
2017-11-22,1.27
2017-11-23,.
2017-11-24,1.26
2017-11-27,1.25
2017-11-28,1.28
2017-11-29,1.27
2017-11-30,1.25
2017-12-01,1.25
2017-12-04,1.28
2017-12-05,1.28
2017-12-06,1.28
2017-12-07,1.27
2017-12-08,1.26
2017-12-11,1.31
2017-12-12,1.32
2017-12-13,1.28
2017-12-14,1.30
2017-12-15,1.29
2017-12-18,1.36
2017-12-19,1.35
2017-12-20,1.36
2017-12-21,1.33
2017-12-22,1.31
2017-12-25,.
2017-12-26,1.45
2017-12-27,1.42
2017-12-28,1.37
2017-12-29,1.37
2018-01-01,.
2018-01-02,1.42
2018-01-03,1.39
2018-01-04,1.39
2018-01-05,1.37
2018-01-08,1.43
2018-01-09,1.42
2018-01-10,1.40
2018-01-11,1.41
2018-01-12,1.41
2018-01-15,.
2018-01-16,1.43
2018-01-17,1.42
2018-01-18,1.43
2018-01-19,1.42
2018-01-22,1.43
2018-01-23,1.42
2018-01-24,1.41
2018-01-25,1.40
2018-01-26,1.39
2018-01-29,1.43
2018-01-30,1.42
2018-01-31,1.44
2018-02-01,1.46
2018-02-02,1.46
2018-02-05,1.49
2018-02-06,1.50
2018-02-07,1.53
2018-02-08,1.53
2018-02-09,1.53
2018-02-12,1.61
2018-02-13,1.57
2018-02-14,1.56
2018-02-15,1.56
2018-02-16,1.59
2018-02-19,.
2018-02-20,1.64
2018-02-21,1.62
2018-02-22,1.61
2018-02-23,1.61
2018-02-26,1.65
2018-02-27,1.64
2018-02-28,1.63
2018-03-01,1.60
2018-03-02,1.62
2018-03-05,1.67
2018-03-06,1.65
2018-03-07,1.65
2018-03-08,1.64
2018-03-09,1.64
2018-03-12,1.68
2018-03-13,1.70
2018-03-14,1.73
2018-03-15,1.74
2018-03-16,1.75
2018-03-19,1.77
2018-03-20,1.78
2018-03-21,1.71
2018-03-22,1.69
2018-03-23,1.71
2018-03-26,1.76
2018-03-27,1.74
2018-03-28,1.70
2018-03-29,1.70
2018-03-30,.
2018-04-02,1.74
2018-04-03,1.72
2018-04-04,1.68
2018-04-05,1.69
2018-04-06,1.70
2018-04-09,1.73
2018-04-10,1.71
2018-04-11,1.70
2018-04-12,1.72
2018-04-13,1.73
2018-04-16,1.76
2018-04-17,1.77
2018-04-18,1.78
2018-04-19,1.79
2018-04-20,1.78
2018-04-23,1.84
2018-04-24,1.84
2018-04-25,1.82
2018-04-26,1.79
2018-04-27,1.78
2018-04-30,1.84
2018-05-01,1.82
2018-05-02,1.81
2018-05-03,1.80
2018-05-04,1.80
2018-05-07,1.83
2018-05-08,1.84
2018-05-09,1.85
2018-05-10,1.86
2018-05-11,1.88
2018-05-14,1.90
2018-05-15,1.89
2018-05-16,1.88
2018-05-17,1.88
2018-05-18,1.87
2018-05-21,1.90
2018-05-22,1.90
2018-05-23,1.88
2018-05-24,1.87
2018-05-25,1.86
2018-05-28,.
2018-05-29,1.90
2018-05-30,1.90
2018-05-31,1.89
2018-06-01,1.88
2018-06-04,1.91
2018-06-05,1.91
2018-06-06,1.91
2018-06-07,1.90
2018-06-08,1.89
2018-06-11,1.91
2018-06-12,1.89
2018-06-13,1.90
2018-06-14,1.90
2018-06-15,1.90
2018-06-18,1.91
2018-06-19,1.91
2018-06-20,1.90
2018-06-21,1.90
2018-06-22,1.89
2018-06-25,1.90
2018-06-26,1.90
2018-06-27,1.89
2018-06-28,1.89
2018-06-29,1.89
2018-07-02,1.95
2018-07-03,1.94
2018-07-04,.
2018-07-05,1.92
2018-07-06,1.93
2018-07-09,1.95
2018-07-10,1.95
2018-07-11,1.93
2018-07-12,1.94
2018-07-13,1.94
2018-07-16,1.98
2018-07-17,1.98
2018-07-18,1.96
2018-07-19,1.96
2018-07-20,1.95
2018-07-23,1.96
2018-07-24,1.98
2018-07-25,1.97
2018-07-26,1.95
2018-07-27,1.96
2018-07-30,2.01
2018-07-31,1.99
2018-08-01,1.99
2018-08-02,1.98
2018-08-03,1.97
2018-08-06,2.02
2018-08-07,2.02
2018-08-08,2.02
2018-08-09,2.02
2018-08-10,2.01
