date,contract_code,futures_price,cbr_spot_rate
2014-01-06,Si-12.14,35.04,32.7292
2014-01-08,Si-12.14,34.931,32.7292
2014-01-09,Si-12.14,34.936,33.1547
2014-01-10,Si-12.14,34.97,33.2062
2014-01-13,Si-12.14,35.003,33.1204
2014-01-14,Si-12.14,35.169,33.2386
2014-01-15,Si-12.14,35.253,33.3562
2014-01-16,Si-12.14,35.212,33.4013
2014-01-17,Si-12.14,35.395,33.4343
2014-01-20,Si-12.14,35.61,33.6429
2014-01-21,Si-12.14,35.814,33.8161
2014-01-22,Si-12.14,35.742,33.8688
2014-01-23,Si-12.14,35.964,34.0334
2014-01-24,Si-12.14,36.2,34.26
2014-01-27,Si-12.14,36.445,34.7093
2014-01-28,Si-12.14,36.698,34.625
2014-01-29,Si-12.14,37.292,34.5633
2014-01-30,Si-12.14,37.3,35.2448
2014-01-31,Si-12.14,37.528,35.18
2014-02-03,Si-12.14,37.324,35.2347
2014-02-04,Si-12.14,37.27,35.4502
2014-02-05,Si-12.14,36.85,34.9592
2014-02-06,Si-12.14,36.656,34.7287
2014-02-07,Si-12.14,36.6,34.6044
2014-02-10,Si-12.14,36.735,34.7636
2014-02-11,Si-12.14,36.844,34.7964
2014-02-12,Si-12.14,36.801,34.7595
2014-02-13,Si-12.14,37.283,34.8611
2014-02-14,Si-12.14,37,35.2559
2014-02-17,Si-12.14,37.25,35.0976
2014-02-18,Si-12.14,37.35,35.2386
2014-02-19,Si-12.14,37.856,35.5857
2014-02-20,Si-12.14,37.85,35.767
2014-02-21,Si-12.14,37.701,35.6828
2014-02-24,Si-12.14,37.456,35.5112
2014-02-25,Si-12.14,37.616,35.5669
2014-02-26,Si-12.14,38.021,35.7872
2014-02-27,Si-12.14,38.207,36.0501
2014-02-28,Si-12.14,37.944,36.1847
2014-03-03,Si-12.14,39,36.3784
2014-03-04,Si-12.14,38.35,36.3208
2014-03-05,Si-12.14,38.151,36.0849
2014-03-06,Si-12.14,38.402,36.1251
2014-03-07,Si-12.14,38.71,36.2618
2014-03-11,Si-12.14,38.64,36.4015
2014-03-12,Si-12.14,39.028,36.4865
2014-03-13,Si-12.14,39,36.4566
2014-03-14,Si-12.14,39.41,36.6391
2014-03-17,Si-12.14,38.949,36.6505
2014-03-18,Si-12.14,38.81,36.4487
2014-03-19,Si-12.14,38.3,36.207
2014-03-20,Si-12.14,38.45,36.1081
2014-03-21,Si-12.14,38.525,36.4022
2014-03-24,Si-12.14,38.4,36.1663
2014-03-25,Si-12.14,37.875,35.9316
2014-03-26,Si-12.14,37.65,35.4494
2014-03-27,Si-12.14,37.775,35.581
2014-03-28,Si-12.14,37.841,35.6871
2014-03-31,Si-12.14,37.28,35.6053
2014-04-01,Si-12.14,37.055,35.024
2014-04-02,Si-12.14,37.41,35.2517
2014-04-03,Si-12.14,37.59,35.5154
2014-04-04,Si-12.14,37.23,35.501
2014-04-07,Si-12.14,37.73,35.4679
2014-04-08,Si-12.14,37.6,35.5475
2014-04-09,Si-12.14,37.701,35.7493
2014-04-10,Si-12.14,37.485,35.5581
2014-04-11,Si-12.14,37.736,35.6239
2014-04-14,Si-12.14,37.986,35.989
2014-04-15,Si-12.14,38.333,35.9635
2014-04-16,Si-12.14,38.15,36.0813
2014-04-17,Si-12.14,37.82,35.9287
2014-04-18,Si-12.14,37.553,35.5389
2014-04-21,Si-12.14,37.714,35.6688
2014-04-22,Si-12.14,37.685,35.6785
2014-04-23,Si-12.14,37.747,35.6625
2014-04-24,Si-12.14,37.858,35.683
2014-04-25,Si-12.14,38.235,35.9289
2014-04-28,Si-12.14,38.204,36.0245
2014-04-29,Si-12.14,37.8,35.6983
2014-04-30,Si-12.14,37.713,35.7227
2014-05-02,Si-12.14,37.745,35.7227
2014-05-05,Si-12.14,37.936,35.8381
2014-05-06,Si-12.14,37.52,35.655
2014-05-07,Si-12.14,36.95,35.4971
2014-05-08,Si-12.14,36.926,35.0343
