DATE,USD3MTD156N
2016-11-16,0.90872
2016-11-17,0.91122
2016-11-18,0.91622
2016-11-21,0.91983
2016-11-22,0.92483
2016-11-23,0.93011
2016-11-24,0.93706
2016-11-25,0.93733
2016-11-28,0.93511
2016-11-29,0.93067
2016-11-30,0.93417
2016-12-01,0.94167
2016-12-02,0.94639
2016-12-05,0.94806
2016-12-06,0.95083
2016-12-07,0.95083
2016-12-08,0.95306
2016-12-09,0.9565
2016-12-12,0.95872
2016-12-13,0.96344
2016-12-14,0.97039
2016-12-15,0.99317
2016-12-16,0.99733
2016-12-19,0.99428
2016-12-20,0.99622
2016-12-21,0.99761
2016-12-22,0.99706
2016-12-23,0.99706
2016-12-26,.
2016-12-27,.
2016-12-28,0.99817
2016-12-29,0.99789
2016-12-30,0.99789
2017-01-02,.
2017-01-03,0.99872
2017-01-04,1.00511
2017-01-05,1.00928
2017-01-06,1.01011
2017-01-09,1.01483
2017-01-10,1.01789
2017-01-11,1.02178
2017-01-12,1.02178
2017-01-13,1.02317
2017-01-16,1.02372
2017-01-17,1.02483
2017-01-18,1.03011
2017-01-19,1.04122
2017-01-20,1.04344
2017-01-23,1.03789
2017-01-24,1.03178
2017-01-25,1.03733
2017-01-26,1.039
2017-01-27,1.039
2017-01-30,1.034
2017-01-31,1.03456
2017-02-01,1.03456
2017-02-02,1.03372
2017-02-03,1.034
2017-02-06,1.03844
2017-02-07,1.03817
2017-02-08,1.03372
2017-02-09,1.03372
2017-02-10,1.03622
2017-02-13,1.039
2017-02-14,1.03733
2017-02-15,1.04178
2017-02-16,1.0565
2017-02-17,1.05233
2017-02-20,1.05011
2017-02-21,1.05344
2017-02-22,1.054
2017-02-23,1.05233
2017-02-24,1.054
2017-02-27,1.05456
2017-02-28,1.064
2017-03-01,1.09278
2017-03-02,1.1
2017-03-03,1.10167
2017-03-06,1.10622
2017-03-07,1.10622
2017-03-08,1.109
2017-03-09,1.11956
2017-03-10,1.12122
2017-03-13,1.13122
2017-03-14,1.13733
2017-03-15,1.14817
2017-03-16,1.15178
2017-03-17,1.15178
2017-03-20,1.15622
2017-03-21,1.15622
2017-03-22,1.15678
2017-03-23,1.15289
2017-03-24,1.15128
2017-03-27,1.15189
2017-03-28,1.15222
2017-03-29,1.14678
2017-03-30,1.14761
2017-03-31,1.14956
