DATE,VXVCLS
2016-11-22,15.35
2016-11-23,15.43
2016-11-24,.
2016-11-25,15.51
2016-11-28,16.02
2016-11-29,15.90
2016-11-30,16.10
2016-12-01,16.67
2016-12-02,16.78
2016-12-05,15.77
2016-12-06,15.48
2016-12-07,15.48
2016-12-08,15.72
2016-12-09,15.22
2016-12-12,15.73
2016-12-13,15.70
2016-12-14,15.87
2016-12-15,15.75
2016-12-16,15.57
2016-12-19,15.31
2016-12-20,15.14
2016-12-21,15.09
2016-12-22,15.29
2016-12-23,15.25
2016-12-26,.
2016-12-27,15.36
2016-12-28,15.93
2016-12-29,16.16
2016-12-30,16.54
2017-01-02,.
2017-01-03,15.56
2017-01-04,14.84
2017-01-05,14.70
2017-01-06,14.56
2017-01-09,14.63
2017-01-10,14.66
2017-01-11,14.47
2017-01-12,14.58
2017-01-13,14.54
2017-01-16,.
2017-01-17,14.89
2017-01-18,14.94
2017-01-19,15.02
2017-01-20,14.49
2017-01-23,14.54
2017-01-24,13.87
2017-01-25,13.61
2017-01-26,13.63
2017-01-27,13.68
2017-01-30,14.41
2017-01-31,14.48
2017-02-01,14.29
2017-02-02,14.59
2017-02-03,14.05
2017-02-06,14.24
2017-02-07,14.35
2017-02-08,14.56
2017-02-09,14.17
2017-02-10,13.91
2017-02-13,13.68
2017-02-14,13.19
2017-02-15,13.41
2017-02-16,13.63
2017-02-17,13.72
2017-02-20,.
2017-02-21,14.04
2017-02-22,14.39
2017-02-23,14.74
2017-02-24,14.76
2017-02-27,14.91
2017-02-28,15.28
2017-03-01,14.86
2017-03-02,14.77
2017-03-03,14.26
2017-03-06,14.34
2017-03-07,14.41
2017-03-08,14.54
2017-03-09,14.78
2017-03-10,14.38
2017-03-13,14.36
2017-03-14,14.63
2017-03-15,14.20
2017-03-16,13.78
2017-03-17,13.92
2017-03-20,13.90
2017-03-21,14.62
2017-03-22,14.68
2017-03-23,14.91
2017-03-24,14.55
2017-03-27,14.23
2017-03-28,13.68
2017-03-29,13.43
2017-03-30,13.37
2017-03-31,13.60
2017-04-03,13.67
2017-04-04,13.37
2017-04-05,14.12
2017-04-06,13.66
2017-04-07,14.06
2017-04-10,14.58
2017-04-11,15.16
2017-04-12,15.28
2017-04-13,15.75
2017-04-14,.
2017-04-17,14.86
2017-04-18,14.76
2017-04-19,15.08
2017-04-20,14.53
2017-04-21,14.75
2017-04-24,12.90
2017-04-25,12.85
2017-04-26,12.98
2017-04-27,12.80
2017-04-28,12.93
2017-05-01,12.63
2017-05-02,12.83
2017-05-03,13.09
2017-05-04,12.83
2017-05-05,12.85
2017-05-08,12.59
2017-05-09,12.71
2017-05-10,12.91
2017-05-11,13.01
2017-05-12,12.97
2017-05-15,12.78
2017-05-16,12.65
2017-05-17,15.60
2017-05-18,14.97
2017-05-19,13.49
2017-05-22,12.96
2017-05-23,12.90
2017-05-24,12.59
2017-05-25,12.51
2017-05-26,12.44
2017-05-29,.
2017-05-30,12.74
2017-05-31,12.63
2017-06-01,12.42
2017-06-02,12.46
2017-06-05,12.85
2017-06-06,13.08
2017-06-07,13.09
2017-06-08,12.76
2017-06-09,12.96
2017-06-12,13.30
2017-06-13,12.73
2017-06-14,12.77
2017-06-15,12.91
2017-06-16,12.71
2017-06-19,12.40
2017-06-20,12.69
2017-06-21,12.76
2017-06-22,12.62
2017-06-23,12.36
2017-06-26,12.27
2017-06-27,12.96
2017-06-28,12.40
2017-06-29,13.15
2017-06-30,13.14
2017-07-03,13.31
2017-07-04,.
2017-07-05,13.31
2017-07-06,14.11
2017-07-07,13.52
2017-07-10,13.35
2017-07-11,13.16
2017-07-12,12.78
2017-07-13,12.55
2017-07-14,12.23
2017-07-17,12.28
2017-07-18,12.25
2017-07-19,12.00
2017-07-20,12.04
2017-07-21,12.06
2017-07-24,12.04
2017-07-25,12.05
2017-07-26,12.11
2017-07-27,12.42
2017-07-28,12.58
2017-07-31,12.47
2017-08-01,12.40
2017-08-02,12.56
2017-08-03,12.74
2017-08-04,12.75
2017-08-07,12.66
2017-08-08,13.20
2017-08-09,13.49
2017-08-10,16.21
2017-08-11,16.39
2017-08-14,13.92
2017-08-15,13.90
2017-08-16,13.58
2017-08-17,16.14
2017-08-18,15.65
2017-08-21,14.99
2017-08-22,13.63
2017-08-23,14.33
2017-08-24,14.39
2017-08-25,13.99
2017-08-28,13.99
2017-08-29,14.12
2017-08-30,14.14
2017-08-31,13.80
2017-09-01,13.59
2017-09-04,.
2017-09-05,14.58
2017-09-06,14.40
2017-09-07,14.32
2017-09-08,14.69
2017-09-11,13.86
2017-09-12,13.56
2017-09-13,13.23
2017-09-14,13.16
2017-09-15,12.96
2017-09-18,12.69
2017-09-19,12.73
2017-09-20,12.66
2017-09-21,12.66
2017-09-22,12.85
2017-09-25,13.06
2017-09-26,13.02
2017-09-27,12.91
2017-09-28,12.76
2017-09-29,12.49
2017-10-02,12.36
2017-10-03,12.31
2017-10-04,12.38
2017-10-05,12.18
2017-10-06,12.44
2017-10-09,12.73
2017-10-10,12.47
2017-10-11,12.24
2017-10-12,12.26
2017-10-13,11.98
2017-10-16,11.94
2017-10-17,12.05
2017-10-18,11.92
2017-10-19,11.96
2017-10-20,11.85
2017-10-23,12.55
2017-10-24,12.67
2017-10-25,12.95
2017-10-26,12.93
2017-10-27,12.23
2017-10-30,12.57
2017-10-31,12.38
2017-11-01,12.57
2017-11-02,12.68
2017-11-03,12.42
2017-11-06,12.57
2017-11-07,12.76
2017-11-08,12.88
2017-11-09,13.14
2017-11-10,13.61
2017-11-13,13.75
2017-11-14,13.93
2017-11-15,14.66
2017-11-16,13.96
2017-11-17,13.8
2017-11-20,13.28
2017-11-21,12.55
2017-11-22,12.44
2017-11-23,.
2017-11-24,12.42
2017-11-27,12.57
2017-11-28,12.27
2017-11-29,12.82
2017-11-30,13.04
2017-12-01,13.28
2017-12-04,13.55
2017-12-05,13.54
2017-12-06,13.45
2017-12-07,12.93
2017-12-08,12.46
2017-12-11,12.28
2017-12-12,12.48
2017-12-13,12.5
2017-12-14,12.8
2017-12-15,12.08
2017-12-18,12.07
2017-12-19,12.51
2017-12-20,12.37
2017-12-21,12.35
