S,call_delta,put_delta
0,0,-1
0.01,1.2104921963541135e-54,-1
0.02,1.5486952604284013e-37,-1
0.03,4.550527957480998e-29,-1
0.04,9.521345409893369e-24,-1
0.05,5.168736107529849e-20,-1
0.06,3.2425476555893517e-17,-1
0.07,4.992333758815586e-15,-0.999999999999995
0.08,2.8952602782838084e-13,-0.9999999999997105
0.09,8.242072303624445e-12,-0.9999999999917579
0.1,1.370586036478555e-10,-0.9999999998629414
0.11,1.5007978829981913e-9,-0.9999999984992021
0.12,1.1788633554708422e-8,-0.9999999882113665
0.13,7.074828924678058e-8,-0.9999999292517108
0.14,3.402236315861223e-7,-0.9999996597763684
0.15,1.360087877885103e-6,-0.9999986399121221
0.16,4.652213954876848e-6,-0.9999953477860452
0.17,1.3933060919852454e-5,-0.9999860669390801
0.18,3.722381640616525e-5,-0.9999627761835939
0.19,9.007621314794001e-5,-0.9999099237868521
0.2,1.9994004162926746e-4,-0.9998000599583707
0.21,4.114094835421468e-4,-0.9995885905164579
0.22,7.917687636658638e-4,-0.9992082312363342
0.23,0.0014360038557269437,-0.998563996144273
0.24,0.0024703357729834816,-0.9975296642270165
0.25,0.004053404209330999,-0.995946595790669
0.26,0.006374480630476804,-0.9936255193695231
0.27,0.009648466562143295,-0.9903515334378568
0.28,0.014107859402052812,-0.9858921405979472
0.29,0.019992264480507966,-0.980007735519492
0.3,0.027536333124561996,-0.9724636668754381
0.31,0.03695717310403867,-0.9630428268959613
0.32,0.048442300030870335,-0.9515576999691296
0.33,0.0621390911263181,-0.9378609088736819
0.34,0.07814649851486702,-0.921853501485133
0.35000000000000003,0.09650951814178427,-0.9034904818582157
0.36,0.11721663271768028,-0.8827833672823198
0.37,0.14020018687918456,-0.8597998131208154
0.38,0.1653394347269643,-0.8346605652730357
0.39,0.19246583838741493,-0.8075341616125851
0.4,0.22137009599489793,-0.7786299040051021
0.41000000000000003,0.2518103355847727,-0.7481896644152273
0.42,0.2835209195874837,-0.7164790804125163
0.43,0.31622135171142707,-0.6837786482885729
0.44,0.34962485182295766,-0.6503751481770423
0.45,0.3834462533577365,-0.6165537466422635
0.46,0.41740897176943065,-0.5825910282305693
0.47000000000000003,0.4512508835713215,-0.5487491164286785
0.48,0.48472903793036604,-0.515270962069634
0.49,0.5176231929358314,-0.48237680706416863
0.5,0.5497382248301129,-0.4502617751698871
0.51,0.5809055003707682,-0.41909449962923184
0.52,0.6109833308812552,-0.3890166691187448
0.53,0.6398566429471569,-0.36014335705284306
0.54,0.6674360070271671,-0.3325639929728329
0.55,0.693656163523963,-0.306343836476037
0.56,0.7184741781111379,-0.2815258218888621
0.5700000000000001,0.7418673461857489,-0.2581326538142511
0.58,0.7638309518184727,-0.23616904818152729
0.59,0.784375970835907,-0.21562402916409296
0.6,0.8035267917423856,-0.19647320825761438
0.61,0.8213190128567063,-0.17868098714329372
0.62,0.8377973598505417,-0.1622026401494583
0.63,0.853013755176628,-0.14698624482337197
0.64,0.867025559848533,-0.13297444015146698
0.65,0.879893998734286,-0.12010600126571402
0.66,0.8916827729128577,-0.10831722708714231
0.67,0.902456856608505,-0.09754314339149495
0.68,0.9122814716141382,-0.0877185283858618
0.6900000000000001,0.9212212287686361,-0.0787787712313639
0.7000000000000001,0.9293394237835689,-0.07066057621643107
0.71,0.9366974733435467,-0.0633025266564533
0.72,0.9433544767628462,-0.05664552323715377
0.73,0.9493668884152432,-0.05063311158475681
0.74,0.9547882865277132,-0.04521171347228681
0.75,0.9596692246239878,-0.04033077537601215
0.76,0.9640571528213716,-0.03594284717862839
0.77,0.9679963972417129,-0.032003602758287064
0.78,0.9715281869289463,-0.02847181307105373
0.79,0.9746907188194255,-0.025309281180574517
0.8,0.9775192524479871,-0.022480747552012903
0.81,0.9800462271635013,-0.019953772836498684
0.8200000000000001,0.9823013956525645,-0.01769860434743553
0.8300000000000001,0.9843119685160684,-0.015688031483931608
0.84,0.9861027655034897,-0.013897234496510258
0.85,0.9876963697811375,-0.012303630218862494
0.86,0.9891132822938908,-0.010886717706109161
0.87,0.9903720738782378,-0.00962792612176222
0.88,0.9914895333024438,-0.008510466697556174
0.89,0.9924808098533143,-0.0075191901466856725
0.9,0.9933595494647777,-0.006640450535222331
0.91,0.9941380236981507,-0.005861976301849259
0.92,0.9948272511442249,-0.005172748855775122
0.93,0.9954371110297465,-0.004562888970253476
0.9400000000000001,0.9959764489816684,-0.004023551018331628
0.9500000000000001,0.9964531750374467,-0.003546824962553319
0.96,0.9968743540939196,-0.003125645906080443
0.97,0.9972462890656698,-0.002753710934330189
0.98,0.9975745970804696,-0.002425402919530417
0.99,0.9978642790781713,-0.0021357209218286766
1,0.9981197832034968,-0.0018802167965031868
