S,gamma
0,
0.01,1.167002586848023e-80
0.02,2.8067735470519163e-54
0.03,2.897224422321229e-41
0.04,4.101007956583793e-33
0.05,2.0721678486245884e-27
0.06,3.760420236586413e-23
0.07,7.842209779659539e-20
0.08,3.6401688589236743e-17
0.09,5.657318317852639e-15
0.1,3.8488704383303593e-13
0.11,1.3784908277734385e-11
0.12,2.965092906899641e-10
0.13,4.2204012463857985e-9
0.14,4.277016426894865e-8
0.15,3.2651966733695574e-7
0.16,1.962908832406887e-6
0.17,9.62624325751211e-6
0.18,3.96263021804641e-5
0.19,1.4016181249047375e-4
0.2,4.342995046998818e-4
0.21,0.001198040437417533
0.22,0.002982492412306801
0.23,0.006778345268763459
0.24,0.01420325589624992
0.25,0.02767307546547983
0.26,0.050503555017741376
0.27,0.08688749037766928
0.28,0.141706921078571
0.29,0.2201692141928004
0.3,0.32729275667403745
0.31,0.46730292212456076
0.32,0.6430228550828553
0.33,0.8553506078824541
0.34,1.1029031353856031
0.35000000000000003,1.381881919959076
0.36,1.6861808761156447
0.37,2.007721983296353
0.38,2.3369742798233104
0.39,2.6635917939326728
0.4,2.97709749406868
0.41000000000000003,3.2675428465321263
0.42,3.526083783762861
0.43,3.74543061202219
0.44,3.920148286044159
0.45,4.04680165789529
0.46,4.123955659722073
0.47000000000000003,4.15205169142204
0.48,4.133188368174991
0.49,4.07083750503548
0.5,3.969525474770118
0.51,3.8345067871646985
0.52,3.6714518592286165
0.53,3.486165344312226
0.54,3.2843457686754265
0.55,3.0713920963589523
0.56,2.852258525150838
0.5700000000000001,2.6313554583130143
0.58,2.4124922170212293
0.59,2.1988555825445903
0.6,1.9930175533662926
0.61,1.796965612171658
0.62,1.6121491584427583
0.63,1.4395364236844594
0.64,1.279677018683428
0.65,1.132766161799719
0.66,0.9987075262742989
0.67,0.8771724691321564
0.68,0.7676541313544862
0.6900000000000001,0.6695155121089768
0.7000000000000001,0.5820311150739023
0.71,0.5044221472485354
0.72,0.4358855307823322
0.73,0.3756171800923827
0.74,0.3228301148886867
0.75,0.27676803952817314
0.76,0.23671503412314635
0.77,0.20200198517557003
0.78,0.17201034347575253
0.79,0.1461737429800307
0.8,0.12397795296168306
0.81,0.10495957189798462
0.8200000000000001,0.08870380891452487
0.8300000000000001,0.07484163960756218
0.84,0.06304656923778107
0.85,0.053031188453427074
0.86,0.04454366514535197
0.87,0.03736428067000476
0.88,0.03130208915274628
0.89,0.026191754399084735
0.9,0.021890599507978056
0.91,0.01827588898250857
0.92,0.015242351361403622
0.93,0.012699941577008655
0.9400000000000001,0.010571835858321943
0.9500000000000001,0.008792647576443125
0.96,0.007306849569646413
0.97,0.006067386841015039
0.98,0.005034462803692043
0.99,0.004174482218593079
1,0.003459134433184975
