scenario,t,S,bs_delta,balance
1,1,94.0189833230061,0,-0.013566649952735155
2,1,125.17996007164297,1,25.52449927653172
3,1,79.91593570273656,0,-0.04775349932340234
4,1,107.32800832769863,1,7.907600470971408
5,1,98.75372674033011,0,-0.1643982809224056
6,1,75.84167449419024,0,0.10757401338910899
7,1,102.18830404611879,1,2.3922319861617733
8,1,102.91287808333014,1,3.3184787468348267
9,1,119.20921008949435,1,19.093803268114
10,1,90.33083697406859,0,0.03628754800584755
11,1,96.46382532829512,0,0.022405778712577096
12,1,119.31496166359517,1,18.933134225126558
13,1,95.20209061010115,0,-0.31892023937028213
14,1,123.98247303899336,1,23.83841161518226
15,1,132.18230062534153,1,32.17724868038184
16,1,129.36404608014877,1,29.35892488881295
17,1,128.96891841139166,1,28.82034888420103
18,1,85.55734531053022,0,0.014946811938740368
19,1,122.03060720558176,1,22.050601486472544
20,1,144.31121779592183,1,44.36101407055412
21,1,117.28694760364901,1,17.29035362680375
22,1,124.42790332709077,1,24.616472076255082
23,1,104.00605925499835,1,4.274678320984615
24,1,103.7156949311662,1,3.5435330710089135
25,1,107.34593688805194,1,7.625311039391858
26,1,85.84314135622712,0,-0.18572684228727177
27,1,98.2643375881761,0,0.6792064094683354
28,1,94.78472245721626,0,-0.08416484751309206
29,1,78.10541286893991,0,-0.009154469321623893
30,1,87.61163630340748,0,-0.014107915238917634
31,1,111.97584510065704,1,11.999013130741442
32,1,137.82618600232504,1,37.801647753833365
33,1,79.42202713576881,0,0.03205157694229044
34,1,132.574039744325,1,32.66694685646364
35,1,124.71589192860127,1,24.957288604145095
36,1,116.96817653784271,1,16.90261239587172
37,1,75.04659387438858,0,0.1873922562043413
38,1,85.70017889239794,0,-0.07441976328877509
39,1,106.37709519839042,1,6.57754978321526
40,1,107.70035427376128,1,7.93247405830856
41,1,137.5476931248807,1,37.34680907929925
42,1,129.42303048073754,1,29.953603217972333
43,1,121.04252652864753,1,21.397859270842893
44,1,80.26001280085386,0,-0.01655731543335026
45,1,123.95550906230115,1,24.005932523520283
46,1,100.51577403087207,1,1.0059624736766484
47,1,120.28606289854062,1,20.096999829518097
48,1,67.38159202504178,0,0.13084508046257692
49,1,100.56894665569598,1,0.25545827526915943
50,1,123.14085320697615,1,23.087586077107908
51,1,84.83539055535229,0,0.22811035148530223
52,1,76.28811260468808,0,-0.0051208216797196116
53,1,102.5647550990455,1,2.4941977842062872
54,1,101.55880629394485,1,1.5464804529693916
55,1,96.36348595616307,0,-0.01189500762943485
56,1,130.6559132830144,1,30.35518344072365
57,1,131.62458822202788,1,31.67844576920285
58,1,137.88869330104905,1,37.71057364028618
59,1,100.72346187216323,1,0.7246573439581638
60,1,74.22086393328367,0,0.03991094727547573
61,1,90.5244723182027,0,0.06776289521262768
62,1,79.1978798708655,0,0.053195375145713264
63,1,113.36821327133231,1,13.393340175956482
64,1,86.15485999817888,0,0.07790726783144386
65,1,112.4117247431609,1,12.711576031015477
66,1,116.44140608163505,1,16.408300805863078
67,1,70.69527507498677,0,0.00930311072694412
68,1,179.18586136910113,1,79.15619719583457
69,1,104.88761659168009,1,5.126921884008465
70,1,159.50743282125927,1,59.437439294406246
71,1,123.10797948520045,1,22.84862561524442
72,1,107.25659642362906,1,7.01868512485632
73,1,158.0208726909575,1,57.872742847186394
74,1,88.56513784676298,0,-0.3235392044742209
75,1,114.25392375574654,1,14.216259902773182
76,1,122.62314880423737,1,22.623718140656123
77,1,87.97226830810065,0,0.008389992122135759
78,1,76.22670608609286,0,0.15242013498285445
79,1,100.33005746753186,1,0.21332032193102446
80,1,108.21174601351373,1,8.355027341547137
81,1,109.04928181556348,1,9.294791189502115
82,1,85.19041402020275,0,-0.1966911676693499
83,1,104.44656193205775,1,4.810491402160941
84,1,117.7667293499111,1,17.925274387857236
85,1,102.95140401773372,1,2.868288397200004
86,1,80.61924879140474,0,0.19189625979378278
87,1,133.26021415037883,1,33.49353511147913
88,1,97.68737756049569,0,-0.36852651160712036
89,1,112.40288968085619,1,12.266071699084073
90,1,111.4161126309045,1,11.32276183956931
91,1,98.44753265873497,0,0.0026131171796031083
92,1,120.92874482538201,1,20.88132985962508
93,1,156.15713549095796,1,56.0124397221325
94,1,119.87993767105662,1,19.87213335071287
95,1,88.36975881057185,0,-0.32705703114407214
96,1,130.47948801580262,1,30.557504644429386
97,1,121.85255108177304,1,21.67381581433363
98,1,77.55404032534094,0,-0.23065597044823782
99,1,103.04461488403828,1,2.9255224291504085
100,1,89.92643286533092,0,-0.031220866305211814
101,1,119.3880880351025,1,19.296426095411086
102,1,105.51231063588686,1,5.730708700280976
103,1,137.45714887804402,1,37.40310028006654
104,1,90.12513947747797,0,-0.3366347036597759
105,1,110.7103900726804,1,10.589672375486078
106,1,139.87151345424402,1,39.81344002061098
107,1,127.51099230504073,1,27.204242448677412
108,1,80.61332855747447,0,0.09528720670721835
109,1,165.07329243355136,1,65.10981814613255
110,1,109.58070211303014,1,9.327563138591199
111,1,92.71958271686236,0,-0.00758788317268877
112,1,92.73412733863289,0,-0.16831543976526753
113,1,103.82145659674971,1,3.986050747829922
114,1,117.41678485028903,1,17.144495586798392
115,1,106.91609845365883,1,6.8606776599934305
116,1,109.84906410007645,1,9.793261675130124
117,1,82.21121774091398,0,-0.06595823206747653
118,1,137.64826570024627,1,37.585445541530795
119,1,102.92712147667604,1,3.2990687733773614
120,1,84.02179046405956,0,-0.16328527519688762
121,1,91.38185236344111,0,-0.055820301882800294
122,1,100.6290198668611,1,0.16219657567736245
123,1,107.24539659461985,1,7.196435068420888
124,1,108.62500678684466,1,8.953584562173617
125,1,110.32289569610924,1,10.20291486332103
126,1,101.52065688606449,1,1.802965764095089
127,1,93.65466455247855,0,-0.09564318715614029
128,1,65.08689554277666,0,0.016787964300570835
129,1,87.80209475944196,0,0.11926714952715844
130,1,96.18719422824378,0,0.11329797504210593
131,1,113.56362858505773,1,13.685619662187577
132,1,156.43803513907488,1,56.436540168830405
133,1,94.7259026324426,0,-0.0014361352535239291
134,1,129.88640943246267,1,29.937478129520226
135,1,111.46971998676332,1,11.436086194781948
136,1,143.57147214687097,1,43.65747703741847
137,1,114.95290076496775,1,14.857693659177276
138,1,130.54174031182475,1,30.40590131384228
139,1,104.28003401317692,1,4.342320140451041
140,1,85.91383791873507,0,0.10724346911151006
141,1,91.67633488557885,0,-0.021070766279803976
142,1,104.86434888105956,1,4.723148632231103
143,1,132.87757472977725,1,32.92841100621895
144,1,108.12340187118019,1,8.264286831594433
145,1,105.43841998295855,1,5.76276475802658
146,1,79.63818046702114,0,0.04052733003466802
147,1,123.98967343869845,1,24.22113692746005
148,1,90.39572787402874,0,0.15856420846709351
149,1,87.1637579298454,0,-0.04075103334353969
150,1,124.60205123996985,1,24.60012633336997
151,1,101.44686437373393,1,1.9300959605256063
152,1,120.3020512787029,1,20.267053278592392
153,1,110.26568867401198,1,10.270520255702417
