S,theta
0,-0
0.01,-2.3340051736960465e-86
0.02,-2.245418837641533e-59
0.03,-5.215003960178212e-46
0.04,-1.312322546106814e-37
0.05,-1.0360839243122943e-31
0.06,-2.7075025703422175e-27
0.07,-7.685365584066349e-24
0.08,-4.659416139422304e-21
0.09,-9.164855674921276e-19
0.1,-7.69774087666072e-17
0.11,-3.3359478032117215e-15
0.12,-8.539467571870966e-14
0.13,-1.4264956212784003e-12
0.14,-1.6765904393427877e-11
0.15,-1.4693385030163008e-10
0.16,-1.005009322192326e-9
0.17,-5.563968602842e-9
0.18,-2.5677843812940738e-8
0.19,-1.0119682861812206e-7
0.2,-3.474396037599055e-7
0.21,-1.056671665802264e-6
0.22,-2.8870526551129838e-6
0.23,-7.171489294351742e-6
0.24,-1.6362150792479906e-5
0.25,-3.459134433184979e-5
0.26,-6.828080638398635e-5
0.27,-1.2668196097064184e-4
0.28,-2.2219645225119938e-4
0.29,-3.7032461827229024e-4
0.3,-5.891269620132675e-4
0.31,-8.981562163234059e-4
0.32,-0.0013169108072096877
0.33,-0.0018629536239679852
0.34,-0.002549912049011515
0.35000000000000003,-0.0033856107038997365
0.36,-0.004370580830891751
0.37,-0.005497142790265414
0.38,-0.006749181720129721
0.39,-0.008102646237143192
0.4,-0.00952671198101978
0.41000000000000003,-0.010985479050041012
0.42,-0.012440023589115376
0.43,-0.013850602403258062
0.44,-0.015178814163562988
0.45,-0.016389546714475924
0.46,-0.017452580351943817
0.47000000000000003,-0.018343764372702576
0.48,-0.01904573200055036
0.49,-0.019548161699180375
0.5,-0.019847627373850592
0.51,-0.019947104306830766
0.52,-0.01985521165470836
0.53,-0.01958527690434609
0.54,-0.019154304522915094
0.55,-0.018581922182971666
0.56,-0.017889365469746062
0.5700000000000001,-0.017098547768117974
0.58,-0.01623124763611883
0.59,-0.015308432565675437
0.6,-0.014349726384237305
0.61,-0.01337301808578148
0.62,-0.012394202730107926
0.63,-0.01142704013120724
0.64,-0.010483114137054645
0.65,-0.009571874067207626
0.66,-0.008700739968901692
0.67,-0.007875254427868501
0.68,-0.0070992654067662895
0.6900000000000001,-0.006375126706301678
0.7000000000000001,-0.005703904927724244
0.71,-0.005085584088559733
0.72,-0.00451926118315122
0.73,-0.004003327905424615
0.74,-0.0035356354182608965
0.75,-0.003113640444691949
0.76,-0.0027345320741905873
0.77,-0.0023953395402119097
0.78,-0.0020930218594129575
0.79,-0.0018245406598767435
0.8,-0.0015869177979095435
0.81,-0.0013772795024453548
0.8200000000000001,-0.0011928888222825307
0.8300000000000001,-0.001031168110512992
0.84,-8.897131850835665e-4
0.85,-7.663006731520214e-4
0.86,-6.588898948300464e-4
0.87,-5.656204807825321e-4
0.88,-4.8480675679773446e-4
0.89,-4.1492977319030044e-4
0.9,-3.5462771202924453e-4
0.91,-3.02685273328307e-4
0.92,-2.5802252384584057e-4
0.93,-2.1968358939909575e-4
0.9400000000000001,-1.8682548328826545e-4
0.9500000000000001,-1.5870728875479846e-4
0.96,-1.346798512677227e-4
0.97,-1.1417608557422101e-4
0.98,-9.670196153331676e-5
0.99,-8.182820044886155e-5
1,-6.91826886636995e-5
