T,theta_itm,theta_atm,theta_otm
0.01,-0.0020177715753299983,-0.29917305143951206,-5.952400847779381e-4
0.02,-0.017790229503548298,-0.21152349568928844,-0.009189758357676844
0.03,-0.03368047429927919,-0.17268878243532348,-0.020970149672204095
0.04,-0.044412532687468226,-0.14953604878578738,-0.030358427113031057
0.05,-0.05111978471789359,-0.1337340621403898,-0.03695668259002097
0.060000000000000005,-0.05520873066870271,-0.12206820412302619,-0.04143161706013142
0.06999999999999999,-0.05763283152585059,-0.11300048365071758,-0.044420138279860764
0.08,-0.058987971469707835,-0.10569038275327708,-0.04638342144049467
0.09,-0.059645717899072005,-0.09963463894065368,-0.047636186700752606
0.09999999999999999,-0.05984176703755986,-0.09451108477515387,-0.048391473572721055
0.11,-0.059728853627407895,-0.09010264648419623,-0.04879466007327926
0.12,-0.05940803440463571,-0.08625701176486662,-0.04894628113656866
0.13,-0.058947437573479644,-0.08286373358549054,-0.04891687550721126
0.14,-0.05839374060177386,-0.0798405091025684,-0.048756635253191655
0.15000000000000002,-0.05777935854264987,-0.07712458279722208,-0.04850173920413823
0.16,-0.057127046914684704,-0.0746671556616763,-0.04817856831809868
0.17,-0.056452910799663664,-0.07242963228036682,-0.04780655439455513
0.18000000000000002,-0.05576840979848244,-0.07038103195320079,-0.04740013476041196
0.19,-0.05508171723158692,-0.06849615989313056,-0.046970113284675964
0.2,-0.054398656093114346,-0.06675428810889197,-0.046524621188801116
0.21000000000000002,-0.05372335270749553,-0.06513818617693212,-0.0460698041040663
0.22,-0.05305869905991082,-0.06363339725832609,-0.04561031925365593
0.23,-0.052406683543249184,-0.06222768924262148,-0.04514969920365553
0.24000000000000002,-0.05176862998993176,-0.06091063305939484,-0.04469062069360532
0.25,-0.05114537199085129,-0.05967327474112456,-0.044235105167408605
0.26,-0.05053738104110374,-0.05850787755985731,-0.043784669634693456
0.27,-0.049944861403236035,-0.05740771720241222,-0.0433404410524637
0.28,-0.049367820755882114,-0.05636691755535171,-0.042903243667233464
0.29000000000000004,-0.04880612307542411,-0.05538031791476625,-0.04247366614326496
0.3,-0.04825952838097267,-0.05444336475246308,-0.042052113459354376
0.31,-0.047727722698513324,-0.053552022846045266,-0.041638847243772856
0.32,-0.04721034069711777,-0.05270270180740248,-0.04123401727274889
0.33,-0.04670698280422618,-0.05189219495257399,-0.04083768617253387
0.34,-0.04621722814085218,-0.05111762813550484,-0.040449848863344726
0.35000000000000003,-0.04574064427831546,-0.05037641668149436,-0.04007044791314889
0.36000000000000004,-0.045276794569292955,-0.049666228947336036,-0.03969938569382309
0.37,-0.04482524362216483,-0.048984955335838576,-0.03933653402588133
0.38,-0.04438556135091183,-0.04833068182538316,-0.03898174184233444
0.39,-0.04395732593048883,-0.047701667257022254,-0.03863484128409946
0.4,-0.04354012591055069,-0.04709632376457845,-0.03829565254914215
0.41000000000000003,-0.043133561682079116,-0.04651319984633046,-0.037963987748223425
0.42000000000000004,-0.04273724644707636,-0.045950965666963724,-0.03763965396658652
0.43,-0.042350806807561286,-0.045408400250637665,-0.03732245568936364
0.44,-0.04197388306404973,-0.04488438028417056,-0.037012196716061756
0.45,-0.041606129293616206,-0.04437787029644469,-0.03670868166408189
0.46,-0.041247213262092776,-0.0438879140184841,-0.03641171714123007
0.47000000000000003,-0.04089681621289551,-0.04341362676003217,-0.03612111265137531
0.48000000000000004,-0.04055463256557496,-0.042954188664246065,-0.035836681284872815
0.49,-0.04022036954985191,-0.04250883872341704,-0.03555824023538816
0.5,-0.03989374679516058,-0.04207686945627937,-0.03528561117678133
0.51,-0.03957449589122166,-0.04165762216216753,-0.03501862052731701
0.52,-0.0392623599316338,-0.04125048267956301,-0.034757099623326446
0.53,-0.038957093049694635,-0.04085487758687604,-0.03450088482030218
0.54,-0.0386584599534769,-0.04047027079198005,-0.03424981753605607
0.55,-0.038366235465465755,-0.040096160464344284,-0.034003744247855995
0.56,-0.03808020407071057,-0.03973207626981903,-0.03376251645325118
0.5700000000000001,-0.03780015947638159,-0.03937757687340761,-0.03352599060250043
0.5800000000000001,-0.03752590418478745,-0.039032247679861645,-0.03329402800905448
0.59,-0.037257249081257,-0.038695698785786825,-0.0330664947433469
0.6,-0.03699401303777942,-0.0383675631202494,-0.032843261514170226
0.61,-0.036736022532901806,-0.038047494753714675,-0.032624203541112236
0.62,-0.03648311128807791,-0.03773516735759818,-0.03240920042086986
0.63,-0.03623511992042939,-0.037430272798828386,-0.032198135989718824
0.64,-0.035991895611703975,-0.03713251985565526,-0.03199089818397359
0.65,-0.03575329179308436,-0.03684163304253321,-0.03178737889990825
0.66,-0.035519167845405375,-0.0365573515332959,-0.0315874738543094
0.67,-0.03528938881427013,-0.0362794281730513,-0.03139108244658597
0.68,-0.03506382513951007,-0.03600762857028562,-0.031198107623159183
0.6900000000000001,-0.034842352398405683,-0.03574173026159264,-0.031008455744689502
0.7000000000000001,-0.03462485106207021,-0.035481521942261014,-0.030822036456561775
0.7100000000000001,-0.03441120626439434,-0.03522680275666889,-0.03063876256293844
0.72,-0.03420130758295351,-0.03497738164306823,-0.030458549904599588
0.73,-0.033995048831289267,-0.03473307672789939,-0.03028131724071503
0.74,-0.0337923278619904,-0.03449371476527065,-0.030106986134633067
0.75,-0.03359304638001674,-0.03425913061767577,-0.029935480843722717
0.76,-0.033397109765728614,-0.03402916677441096,-0.029766728213266827
0.77,-0.0332044269071056,-0.03380367290449867,-0.02960065757437271
0.78,-0.03301491004066103,-0.03358250544123376,-0.02943720064584269
0.79,-0.03282847460058037,-0.03336552719574178,-0.029276291439927323
0.8,-0.03264503907563491,-0.033152606997185224,-0.02911786617187032
0.81,-0.032464524873443985,-0.03294361935747261,-0.028961863173142425
0.8200000000000001,-0.03228685619168131,-0.03273844415852244,-0.02880822280825421
0.8300000000000001,-0.032111959895841875,-0.032536966360310365,-0.02865688739503198
0.8400000000000001,-0.031939765403206886,-0.03233907572808684,-0.028507801128237625
0.85,-0.031770204572663954,-0.03214466657729482,-0.028360910006411458
0.86,-0.03160321160005854,-0.03195363753484609,-0.028216161761816676
0.87,-0.03143872291877125,-0.03176589131553064,-0.02807350579336439
0.88,-0.0312766771052327,-0.0315813345124381,-0.027932893102399953
0.89,-0.031117014789103854,-0.03139987740036508,-0.027794276231233137
0.9,-0.03095967856786593,-0.03122143375126821,-0.02765760920429729
0.91,-0.03080461292557828,-0.031045920660899885,-0.027522847471825845
0.92,-0.030651764155576713,-0.03087325838583487,-0.02738994785593749
0.93,-0.030501080286898113,-0.030703370190159385,-0.027258868499025018
0.9400000000000001,-0.030352511014229363,-0.03053618220115295,-0.0271295688143464
0.9500000000000001,-0.030206007631190575,-0.030371623273346086,-0.02700200943872036
0.9600000000000001,-0.030061522966773488,-0.03020962486038532,-0.02687615218723232
0.97,-0.029919011324766355,-0.030050120894181083,-0.02675196000986055
0.98,-0.02977842842600645,-0.029893047670854232,-0.02662939694993582
