S,vega
0,0
0.01,2.3340051736960463e-85
0.02,2.245418837641533e-58
0.03,5.215003960178212e-45
0.04,1.312322546106814e-36
0.05,1.0360839243122944e-30
0.06,2.7075025703422174e-26
0.07,7.685365584066349e-23
0.08,4.6594161394223033e-20
0.09,9.164855674921275e-18
0.1,7.69774087666072e-16
0.11,3.335947803211721e-14
0.12,8.539467571870966e-13
0.13,1.4264956212784001e-11
0.14,1.6765904393427875e-10
0.15,1.4693385030163008e-9
0.16,1.0050093221923261e-8
0.17,5.5639686028419993e-8
0.18,2.5677843812940736e-7
0.19,1.0119682861812205e-6
0.2,3.474396037599055e-6
0.21,1.0566716658022641e-5
0.22,2.8870526551129836e-5
0.23,7.171489294351741e-5
0.24,1.6362150792479906e-4
0.25,3.459134433184979e-4
0.26,6.828080638398634e-4
0.27,0.0012668196097064184
0.28,0.0022219645225119936
0.29,0.0037032461827229022
0.3,0.005891269620132675
0.31,0.008981562163234058
0.32,0.013169108072096876
0.33,0.01862953623967985
0.34,0.02549912049011515
0.35000000000000003,0.033856107038997364
0.36,0.04370580830891751
0.37,0.054971427902654135
0.38,0.06749181720129721
0.39,0.08102646237143192
0.4,0.09526711981019778
0.41000000000000003,0.10985479050041011
0.42,0.12440023589115375
0.43,0.1385060240325806
0.44,0.15178814163562987
0.45,0.16389546714475925
0.46,0.17452580351943817
0.47000000000000003,0.18343764372702576
0.48,0.19045732000550358
0.49,0.19548161699180375
0.5,0.1984762737385059
0.51,0.19947104306830765
0.52,0.1985521165470836
0.53,0.19585276904346088
0.54,0.19154304522915092
0.55,0.18581922182971666
0.56,0.1788936546974606
0.5700000000000001,0.17098547768117972
0.58,0.16231247636118828
0.59,0.15308432565675437
0.6,0.14349726384237305
0.61,0.1337301808578148
0.62,0.12394202730107926
0.63,0.1142704013120724
0.64,0.10483114137054644
0.65,0.09571874067207625
0.66,0.08700739968901693
0.67,0.07875254427868501
0.68,0.07099265406766289
0.6900000000000001,0.06375126706301677
0.7000000000000001,0.05703904927724243
0.71,0.05085584088559733
0.72,0.0451926118315122
0.73,0.04003327905424615
0.74,0.03535635418260896
0.75,0.031136404446919487
0.76,0.02734532074190587
0.77,0.023953395402119097
0.78,0.020930218594129572
0.79,0.018245406598767434
0.8,0.015869177979095435
0.81,0.013772795024453546
0.8200000000000001,0.011928888222825307
0.8300000000000001,0.01031168110512992
0.84,0.008897131850835665
0.85,0.007663006731520213
0.86,0.0065888989483004635
0.87,0.005656204807825321
0.88,0.004848067567977344
0.89,0.004149297731903004
0.9,0.0035462771202924453
0.91,0.0030268527332830697
0.92,0.0025802252384584056
0.93,0.0021968358939909575
0.9400000000000001,0.0018682548328826543
0.9500000000000001,0.0015870728875479845
0.96,0.0013467985126772268
0.97,0.00114176085574221
0.98,9.670196153331676e-4
0.99,8.182820044886154e-4
1,6.91826886636995e-4
