DATE,BAMLHYH0A0HYM2TRIV
1986-09-01,100.830
1986-10-01,102.590
1986-11-01,103.410
1986-12-01,103.960
1987-01-01,106.880
1987-02-01,108.670
1987-03-01,109.870
1987-04-01,107.470
1987-05-01,106.940
1987-06-01,108.420
1987-07-01,108.910
1987-08-01,110.010
1987-09-01,107.470
1987-10-01,104.530
1987-11-01,107.180
1987-12-01,108.610
1988-01-01,111.770
1988-02-01,114.850
1988-03-01,114.630
1988-04-01,115.080
1988-05-01,115.540
1988-06-01,117.910
1988-07-01,119.210
1988-08-01,119.480
1988-09-01,120.620
1988-10-01,122.350
1988-11-01,122.590
1988-12-01,123.120
1989-01-01,125.130
1989-02-01,125.870
1989-03-01,125.380
1989-04-01,125.430
1989-05-01,127.800
1989-06-01,129.750
1989-07-01,130.270
1989-08-01,130.880
1989-09-01,129.500
1989-10-01,126.290
1989-11-01,126.480
1989-12-01,125.960
1990-01-01,122.560
1990-02-01,120.710
1990-03-01,122.980
1990-04-01,123.750
1990-05-01,125.810
1990-06-01,128.970
1990-07-01,132.210
1990-08-01,126.170
1990-09-01,120.980
1990-10-01,117.430
1990-11-01,118.670
1990-12-01,120.470
1991-01-01,122.940
1991-02-01,133.600
1991-03-01,140.220
1991-04-01,145.060
1991-05-01,145.620
1991-06-01,148.930
1991-07-01,152.930
1991-08-01,156.450
1991-09-01,158.660
1991-10-01,164.040
1991-11-01,165.810
1991-12-01,167.660
1992-01-01,173.320
1992-02-01,177.700
1992-03-01,180.200
1992-04-01,181.140
1992-05-01,183.810
1992-06-01,185.930
1992-07-01,189.550
1992-08-01,191.960
1992-09-01,194.000
1992-10-01,191.500
1992-11-01,194.430
1992-12-01,196.900
1993-01-01,201.600
1993-02-01,205.200
1993-03-01,208.690
1993-04-01,210.120
1993-05-01,212.850
1993-06-01,216.820
1993-07-01,219.000
1993-08-01,221.000
1993-09-01,221.980
1993-10-01,226.210
1993-11-01,227.390
1993-12-01,229.780
1994-01-01,234.740
1994-02-01,233.110
1994-03-01,225.580
1994-04-01,222.770
1994-05-01,222.290
1994-06-01,223.300
1994-07-01,224.770
1994-08-01,226.430
1994-09-01,226.390
1994-10-01,226.980
1994-11-01,225.030
1994-12-01,227.400
1995-01-01,230.590
1995-02-01,237.980
1995-03-01,241.200
1995-04-01,247.440
1995-05-01,255.070
1995-06-01,256.790
1995-07-01,260.130
1995-08-01,261.500
1995-09-01,264.600
1995-10-01,266.770
1995-11-01,269.420
1995-12-01,273.930
1996-01-01,278.510
1996-02-01,279.360
1996-03-01,278.220
1996-04-01,278.610
1996-05-01,280.610
1996-06-01,281.870
1996-07-01,283.580
1996-08-01,287.110
1996-09-01,293.790
1996-10-01,296.340
1996-11-01,302.290
1996-12-01,304.800
1997-01-01,307.090
