S,C_0,C_5,C_10,C_25
80,0,4.602007811640634e-18,1.2102480709114821e-5,0.21035189993116177
80.05,0,5.71321455924809e-18,1.2826158460253236e-5,0.21298191620002527
80.1,0,7.087464394103101e-18,1.3590660258947949e-5,0.21563886955573786
80.15,0,8.785753681759258e-18,1.4398141015106378e-5,0.21832296125940154
80.2,0,1.0882922500338182e-17,1.525086088484417e-5,0.22103439326725116
80.25,0,1.3470726911221897e-17,1.6151189949271645e-5,0.22377336822528715
80.3,0,1.66615772160486e-17,1.7101613077696734e-5,0.22654008946381943
80.35,0,2.0593083048281642e-17,1.8104734981455595e-5,0.22933476099195804
80.4,0,2.543357517148914e-17,1.91632854646003e-5,0.23215758749201587
80.45,0,3.138880869742668e-17,2.0280124877890054e-5,0.23500877431385891
80.5,0,3.8710094228509984e-17,2.1458249782773916e-5,0.23788852746915712
80.55,0,4.770415351771577e-17,2.2700798832089083e-5,0.24079705362559345
80.6,0,5.874505622320271e-17,2.4011058874341597e-5,0.24373456010098415
80.65,0,7.228866611216498e-17,2.539247128887593e-5,0.24670125485733152
80.7,0,8.889011088887795e-17,2.684863855881856e-5,0.2496973464948109
80.75,0,1.0922489235002742e-16,2.838333108969764e-5,0.2527230442456698
80.8,0,1.3411437596212644e-16,3.0000494280855473e-5,0.25577855796810045
80.85,0,1.6455654494179024e-16,3.1704255857681416e-5,0.25886409813999034
80.9,0,2.0176307790594012e-16,3.349893347264193e-5,0.26197987585263416
80.95,0,2.47204016370237e-16,3.5389042582865005e-5,0.26512610280436455
81,0,3.0266153490362387e-16,3.737930461289061e-5,0.2683029912941395
81.05,0,3.7029461992046064e-16,3.9474655410813575e-5,0.271510754215015
81.1,0,4.52716811336301e-16,4.168025400645573e-5,0.27474960504760304
81.15,0,5.530895747479003e-16,4.400149168035496e-5,0.27801975785342226
81.2,0,6.752343621690107e-16,4.644400135241349e-5,0.2813214272681934
81.25,0,8.237670005772696e-16,4.9013667299494836e-5,0.28465482849508117
81.3,0,1.0042587358015644e-15,5.171663521095441e-5,0.28802017729786034
81.35,0,1.2234290737635193e-15,5.455932259179966e-5,0.29141768999399886
81.4,0,1.4893765241675904e-15,5.754842952290784e-5,0.29484758344771667
81.45,0,1.811854489479787e-15,6.069094978822503e-5,0.2983100750629353
81.5,0,2.202600885266238e-15,6.399418237860478e-5,0.30180538277619373
81.55,0,2.675731662380034e-15,6.746574338276166e-5,0.30533372504948986
81.6,0,3.248210269023599e-15,7.111357827521442e-5,0.3088953208630505
81.65,0,3.940407290094109e-15,7.49459746119431e-5,0.31249038970806
81.7,0,4.776767089711851e-15,7.897157514403022e-5,0.31611915157929804
81.75,0,5.786601326183148e-15,8.319939136030262e-5,0.3197818269677377
81.8,0,7.0050327850619765e-15,8.763881746963985e-5,0.32347863685307576
81.85,0,8.474117173995173e-15,9.229964483412761e-5,0.3272098026961947
81.9,0,1.0244175449249699e-14,9.719207686404233e-5,0.3309755464315769
81.95,0,1.2375375016051413e-14,1.0232674438614628e-4,0.33477609045964485
82,0,1.49396049085973e-14,1.0771472149663161e-4,0.33861165763904477
82.05,0,1.802269796917658e-14,1.133675419105265e-4,0.342482471278891
82.1,0,2.1727062301633436e-14,1.1929721581884455e-4,0.34638875513092504
82.15,0,2.6174795090868072e-14,1.2551624726572438e-4,0.35033073338162524
82.2,0,3.1511364506518945e-14,1.3203765205751193e-4,0.35430863064426354
82.25,0,3.790996014555051e-14,1.388749762154546e-4,0.3583226719509165
82.3,0,4.5576629643088335e-14,1.4604231498467624e-4,0.3623730827443765
82.35,0,5.4756339091442555e-14,1.5355433241154987e-4,0.366460088870066
82.4,0,6.574011819719733e-14,1.6142628150164415e-4,0.3705839165678597
82.45,0,7.887347819564229e-14,1.6967402497128532e-4,0.3747447924638596
82.5,0,9.456632202377343e-14,1.7831405660453242e-4,0.3789429435621017
82.55,0,1.1330460281262872e-13,1.8736352322895264e-4,0.38317859723625247
82.6,0,1.3566402918294184e-13,1.9684024732260705e-4,0.38745198122120783
82.65,0,1.6232616501579954e-13,2.0676275026466906e-4,0.3917633236046676
82.7,0,1.9409732835631827e-13,2.1715027624334346e-4,0.3961128528186233
82.75,0,2.31930760090266e-13,2.2802281683320658e-4,0.40050079763085034
82.8,0,2.7695260933283634e-13,2.394011362553683e-4,0.40492738713630505
82.85,0,3.3049237070463636e-13,2.5130679733287656e-4,0.40939285074848364
82.9,0,3.941185105361168e-13,2.6376218815512414e-4,0.41389741819073844
82.95,0,4.696801366376959e-13,2.7679054946368534e-4,0.4184413194875427
83,0,5.593557018619404e-13,2.9041600277218e-4,0.42302478495569495
83.05,0,6.657098879515371e-13,3.0466357923454937e-4,0.4276480451955269
83.1,0,7.917599960583934e-13,3.195592492727002e-4,0.4323113310819684
83.15,0,9.410533773136858e-13,3.3512995297832124e-4,0.4370148737556745
83.2,0,1.117757674804647e-12,3.514036313003663e-4,0.44175890461404155
83.25,0,1.3267659216887347e-12,3.684092580317974e-4,0.44654365530218065
83.3,0,1.57381885388634e-12,3.861768726078872e-4,0.4513693577038911
83.35,0,1.865647155798373e-12,4.047376137288998e-4,0.45623624393252626
83.4,0,2.2101367698884926e-12,4.241237538197204e-4,0.4611445463218997
83.45,0,2.616520873381901e-12,4.4436873433886803e-4,0.46609449741706754
83.5,0,3.0956026658372264e-12,4.655072019489129e-4,0.47108632996510647
