date,fx_rate,ccy
2023-03-25,76.4479,USD
2023-03-24,76.3072,USD
2023-03-23,76.9561,USD
2023-03-22,76.8373,USD
2023-03-21,77.2422,USD
2023-03-18,76.6044,USD
2023-03-17,76.4095,USD
2023-03-16,75.7457,USD
2023-03-15,75.1927,USD
2023-03-14,75.4609,USD
2023-03-11,75.9406,USD
2023-03-10,75.9028,USD
2023-03-08,75.4577,USD
2023-03-07,75.4728,USD
2023-03-04,75.4592,USD
2023-03-03,75.4729,USD
2023-03-02,75.2513,USD
2023-03-01,74.8932,USD
2023-02-28,75.4323,USD
2023-02-23,74.7087,USD
2023-02-22,74.8596,USD
2023-02-21,74.0432,USD
2023-02-18,74.7588,USD
2023-02-17,74.7638,USD
2023-02-16,74.2077,USD
2023-02-15,73.8645,USD
2023-02-14,73.6307,USD
2023-02-11,72.7923,USD
2023-02-10,72.8949,USD
2023-02-09,71.5763,USD
2023-02-08,70.8924,USD
2023-02-07,70.5991,USD
2023-02-04,70.3847,USD
2023-02-03,70.0414,USD
2023-02-02,70.1217,USD
2023-02-01,70.5174,USD
2023-01-31,69.5927,USD
2023-01-28,69.3372,USD
2023-01-27,69.1263,USD
2023-01-26,68.9573,USD
2023-01-25,68.7529,USD
2023-01-24,68.6288,USD
2023-01-21,68.6656,USD
2023-01-20,68.8467,USD
2023-01-19,68.8728,USD
2023-01-18,68.6644,USD
2023-01-17,68.2892,USD
2023-01-14,67.5744,USD
2023-01-13,67.7775,USD
2023-01-12,69.0202,USD
2023-01-11,69.6094,USD
2023-01-10,70.3002,USD
2022-12-31,70.3375,USD
2022-12-30,71.9778,USD
2022-12-29,71.3261,USD
2022-12-28,69.9346,USD
2022-12-27,68.4487,USD
2022-12-24,68.676,USD
2022-12-23,72.1306,USD
2022-12-22,70.5256,USD
2022-12-21,69.0037,USD
2022-12-20,66.3474,USD
2022-12-17,64.6078,USD
2022-12-16,64.3015,USD
2022-12-15,63.359,USD
2022-12-14,63.212,USD
2022-12-13,62.7674,USD
2022-12-10,62.3813,USD
2022-12-09,62.5722,USD
2022-12-08,62.9372,USD
2022-12-07,62.9103,USD
2022-12-06,62.1849,USD
2022-12-03,61.7749,USD
2022-12-02,61.1479,USD
2022-12-01,60.8803,USD
2022-11-30,61.0742,USD
2022-11-29,60.752,USD
2022-11-26,60.4797,USD
2022-11-25,60.3866,USD
2022-11-24,60.5043,USD
2022-11-23,60.6566,USD
2022-11-22,60.7379,USD
2022-11-19,60.3741,USD
2022-11-18,60.3894,USD
2022-11-17,60.3484,USD
2022-11-16,60.3116,USD
2022-11-15,60.3982,USD
2022-11-12,60.2179,USD
2022-11-11,61.2434,USD
2022-11-10,61.0611,USD
2022-11-09,60.9774,USD
2022-11-08,61.2367,USD
2022-11-04,62.0955,USD
2022-11-03,61.6175,USD
2022-11-02,61.4275,USD
2022-11-01,61.6229,USD
2022-10-29,61.5343,USD
2022-10-28,61.3589,USD
2022-10-27,61.4277,USD
2022-10-26,61.3326,USD
2022-10-25,61.1629,USD
2022-10-22,61.1958,USD
2022-10-21,61.5018,USD
2022-10-20,61.5905,USD
2022-10-19,61.7032,USD
2022-10-18,61.7634,USD
2022-10-15,63.0558,USD
2022-10-14,63.4917,USD
2022-10-13,63.7559,USD
2022-10-12,63.684,USD
2022-10-11,62.3126,USD
2022-10-08,61.2475,USD
2022-10-07,60.2534,USD
2022-10-06,59.4043,USD
2022-10-05,58.7913,USD
2022-10-04,57.5664,USD
2022-10-01,55.2987,USD
2022-09-30,57.413,USD
2022-09-29,58.4485,USD
2022-09-28,58.1756,USD
2022-09-27,57.999,USD
2022-09-24,58.1006,USD
2022-09-23,59.8318,USD
2022-09-22,60.8685,USD
2022-09-21,60.0158,USD
2022-09-20,60.1662,USD
2022-09-17,60.0316,USD
2022-09-16,59.6663,USD
2022-09-15,59.7751,USD
2022-09-14,60.0676,USD
2022-09-13,60.4568,USD
2022-09-10,60.4696,USD
2022-09-09,60.801,USD
2022-09-08,61.1814,USD
2022-09-07,60.8544,USD
2022-09-06,60.9033,USD
2022-09-03,60.3713,USD
2022-09-02,60.237,USD
2022-09-01,60.2386,USD
2022-08-31,60.3677,USD
2022-08-30,60.3636,USD
2022-08-27,60.0924,USD
2022-08-26,59.7699,USD
2022-08-25,59.9974,USD
2022-08-24,59.8963,USD
2022-08-23,59.7419,USD
2022-08-20,59.1321,USD
2022-08-19,59.957,USD
2022-08-18,60.7552,USD
2022-08-17,61.4247,USD
2022-08-16,61.3747,USD
2022-08-13,60.8993,USD
2022-08-12,60.6229,USD
2022-08-11,60.4542,USD
2022-08-10,60.3814,USD
2022-08-09,60.3164,USD
2022-08-06,60.3696,USD
2022-08-05,60.258,USD
2022-08-04,60.2374,USD
2022-08-03,60.1595,USD
2022-08-02,62.0506,USD
2022-07-30,61.3101,USD
2022-07-29,60.2031,USD
2022-07-28,60.2198,USD
2022-07-27,58.6605,USD
2022-07-26,57.7821,USD
2022-07-23,57.3917,USD
2022-07-22,56.4783,USD
2022-07-21,54.8491,USD
2022-07-20,55.437,USD
2022-07-19,56.5616,USD
2022-07-16,57.8323,USD
2022-07-15,58.2568,USD
2022-07-14,58.5322,USD
2022-07-13,58.8541,USD
2022-07-12,61.3045,USD
2022-07-09,61.2664,USD
2022-07-08,63.1427,USD
2022-07-07,62.911,USD
2022-07-06,58.5118,USD
2022-07-05,55.0858,USD
2022-07-02,53.7676,USD
2022-07-01,52.5123,USD
2022-06-30,51.158,USD
2022-06-29,52.9699,USD
2022-06-28,53.3641,USD
2022-06-25,53.3234,USD
2022-06-24,53.3578,USD
2022-06-23,53.2788,USD
2022-06-22,54.7081,USD
2022-06-21,56.1727,USD
2022-06-18,56.7101,USD
2022-06-17,56.8691,USD
2022-06-16,56.6624,USD
2022-06-15,57.0926,USD
2022-06-11,57.778,USD
2022-06-10,58.3895,USD
2022-06-09,60.2282,USD
2022-06-08,60.9565,USD
2022-06-07,61.1094,USD
2022-06-04,61.9659,USD
2022-06-03,61.575,USD
2022-06-02,61.4733,USD
2022-06-01,61.6069,USD
2022-05-31,63.0975,USD
2022-05-28,66.4029,USD
2022-05-27,62.0495,USD
2022-05-26,56.2996,USD
2022-05-25,56.969,USD
2022-05-24,58.2087,USD
2022-05-21,58.8862,USD
2022-05-20,62.4031,USD
2022-05-19,63.5643,USD
2022-05-18,63.5428,USD
2022-05-17,63.4445,USD
