date,eonia
2021-10-07,-0.483
2021-10-06,-0.484
2021-10-05,-0.484
2021-10-04,-0.484
2021-10-01,-0.486
2021-09-30,-0.495
2021-09-29,-0.487
2021-09-28,-0.488
2021-09-27,-0.486
2021-09-24,-0.484
2021-09-23,-0.485
2021-09-22,-0.481
2021-09-21,-0.486
2021-09-20,-0.481
2021-09-17,-0.486
2021-09-16,-0.482
2021-09-15,-0.488
2021-09-14,-0.483
2021-09-13,-0.486
2021-09-10,-0.485
2021-09-09,-0.485
2021-09-08,-0.484
2021-09-07,-0.484
2021-09-06,-0.484
2021-09-03,-0.483
2021-09-02,-0.484
2021-09-01,-0.484
2021-08-31,-0.485
2021-08-30,-0.483
2021-08-27,-0.485
2021-08-26,-0.485
2021-08-25,-0.479
2021-08-24,-0.482
2021-08-23,-0.483
2021-08-20,-0.482
2021-08-19,-0.482
2021-08-18,-0.482
2021-08-17,-0.483
2021-08-16,-0.484
2021-08-13,-0.484
2021-08-12,-0.483
2021-08-11,-0.482
2021-08-10,-0.482
2021-08-09,-0.483
2021-08-06,-0.484
2021-08-05,-0.481
2021-08-04,-0.485
2021-08-03,-0.485
2021-08-02,-0.48
2021-07-30,-0.486
2021-07-29,-0.482
2021-07-28,-0.482
2021-07-27,-0.478
2021-07-26,-0.482
2021-07-23,-0.482
2021-07-22,-0.478
2021-07-21,-0.483
2021-07-20,-0.482
2021-07-19,-0.481
2021-07-16,-0.482
2021-07-15,-0.481
2021-07-14,-0.481
2021-07-13,-0.481
2021-07-12,-0.483
2021-07-09,-0.481
2021-07-08,-0.481
2021-07-07,-0.48
2021-07-06,-0.48
2021-07-05,-0.481
2021-07-02,-0.48
2021-07-01,-0.48
2021-06-30,-0.496
2021-06-29,-0.483
2021-06-28,-0.481
2021-06-25,-0.48
2021-06-24,-0.48
2021-06-23,-0.478
2021-06-22,-0.479
2021-06-21,-0.479
2021-06-18,-0.478
2021-06-17,-0.478
2021-06-16,-0.477
2021-06-15,-0.476
2021-06-14,-0.48
2021-06-11,-0.481
2021-06-10,-0.476
2021-06-09,-0.479
2021-06-08,-0.478
2021-06-07,-0.479
2021-06-04,-0.478
2021-06-03,-0.478
2021-06-02,-0.478
2021-06-01,-0.479
2021-05-31,-0.486
2021-05-28,-0.481
2021-05-27,-0.479
2021-05-26,-0.48
2021-05-25,-0.48
2021-05-24,-0.481
2021-05-21,-0.479
2021-05-20,-0.478
2021-05-19,-0.479
2021-05-18,-0.473
2021-05-17,-0.48
2021-05-14,-0.479
2021-05-13,-0.479
2021-05-12,-0.479
2021-05-11,-0.479
2021-05-10,-0.482
2021-05-07,-0.478
2021-05-06,-0.48
2021-05-05,-0.481
2021-05-04,-0.479
2021-05-03,-0.482
2021-04-30,-0.484
2021-04-29,-0.481
2021-04-28,-0.481
2021-04-27,-0.475
2021-04-26,-0.482
2021-04-23,-0.48
2021-04-22,-0.48
2021-04-21,-0.48
2021-04-20,-0.482
2021-04-19,-0.482
2021-04-16,-0.48
2021-04-15,-0.481
2021-04-14,-0.475
2021-04-13,-0.478
2021-04-12,-0.482
2021-04-09,-0.483
2021-04-08,-0.485
2021-04-07,-0.482
2021-04-06,-0.482
2021-04-01,-0.481
2021-03-31,-0.489
2021-03-30,-0.485
2021-03-29,-0.485
2021-03-26,-0.483
2021-03-25,-0.479
2021-03-24,-0.479
2021-03-23,-0.478
2021-03-22,-0.481
2021-03-19,-0.48
2021-03-18,-0.481
2021-03-17,-0.476
2021-03-16,-0.477
2021-03-15,-0.479
2021-03-12,-0.477
2021-03-11,-0.476
2021-03-10,-0.477
2021-03-09,-0.475
2021-03-08,-0.473
2021-03-05,-0.477
2021-03-04,-0.48
2021-03-03,-0.48
2021-03-02,-0.48
2021-03-01,-0.478
2021-02-26,-0.481
2021-02-25,-0.479
2021-02-24,-0.479
2021-02-23,-0.48
2021-02-22,-0.479
2021-02-19,-0.478
2021-02-18,-0.477
2021-02-17,-0.478
2021-02-16,-0.479
2021-02-15,-0.478
2021-02-12,-0.479
2021-02-11,-0.48
2021-02-10,-0.479
2021-02-09,-0.479
2021-02-08,-0.478
2021-02-05,-0.48
2021-02-04,-0.479
2021-02-03,-0.473
2021-02-02,-0.479
2021-02-01,-0.481
2021-01-29,-0.479
2021-01-28,-0.476
2021-01-27,-0.478
2021-01-26,-0.473
2021-01-25,-0.479
2021-01-22,-0.476
2021-01-21,-0.477
2021-01-20,-0.479
2021-01-19,-0.479
2021-01-18,-0.48
2021-01-15,-0.481
2021-01-14,-0.479
2021-01-13,-0.477
2021-01-12,-0.478
2021-01-11,-0.479
2021-01-08,-0.477
2021-01-07,-0.48
2021-01-06,-0.481
2021-01-05,-0.478
2021-01-04,-0.481
2020-12-31,-0.498
2020-12-30,-0.47
2020-12-29,-0.472
2020-12-28,-0.468
2020-12-24,-0.47
2020-12-23,-0.474
2020-12-22,-0.473
2020-12-21,-0.472
2020-12-18,-0.473
2020-12-17,-0.471
2020-12-16,-0.472
2020-12-15,-0.466
2020-12-14,-0.473
2020-12-11,-0.472
2020-12-10,-0.471
2020-12-09,-0.471
2020-12-08,-0.474
2020-12-07,-0.47
2020-12-04,-0.47
2020-12-03,-0.471
2020-12-02,-0.471
2020-12-01,-0.472
2020-11-30,-0.475
2020-11-27,-0.472
2020-11-26,-0.471
2020-11-25,-0.469
2020-11-24,-0.471
2020-11-23,-0.472
2020-11-20,-0.472
2020-11-19,-0.472
2020-11-18,-0.472
2020-11-17,-0.472
2020-11-16,-0.473
2020-11-13,-0.471
2020-11-12,-0.463
2020-11-11,-0.473
2020-11-10,-0.472
2020-11-09,-0.473
2020-11-06,-0.473
2020-11-05,-0.471
2020-11-04,-0.473
2020-11-03,-0.468
2020-11-02,-0.47
2020-10-30,-0.472
2020-10-29,-0.467
2020-10-28,-0.47
2020-10-27,-0.469
2020-10-26,-0.467
2020-10-23,-0.468
2020-10-22,-0.469
2020-10-21,-0.467
2020-10-20,-0.468
2020-10-19,-0.468
2020-10-16,-0.468
2020-10-15,-0.471
2020-10-14,-0.471
2020-10-13,-0.47
2020-10-12,-0.471
2020-10-09,-0.468
2020-10-08,-0.468
2020-10-07,-0.47
2020-10-06,-0.471
2020-10-05,-0.47
2020-10-02,-0.47
2020-10-01,-0.473
2020-09-30,-0.485
2020-09-29,-0.471
2020-09-28,-0.47
2020-09-25,-0.469
2020-09-24,-0.468
2020-09-23,-0.466
2020-09-22,-0.467
2020-09-21,-0.467
2020-09-18,-0.467
2020-09-17,-0.468
2020-09-16,-0.471
2020-09-15,-0.466
2020-09-14,-0.47
2020-09-11,-0.468
2020-09-10,-0.469
2020-09-09,-0.469
2020-09-08,-0.468
2020-09-07,-0.466
2020-09-04,-0.467
2020-09-03,-0.466
2020-09-02,-0.47
2020-09-01,-0.469
2020-08-31,-0.472
2020-08-28,-0.467
2020-08-27,-0.467
2020-08-26,-0.469
2020-08-25,-0.468
2020-08-24,-0.467
2020-08-21,-0.469
2020-08-20,-0.468
2020-08-19,-0.468
2020-08-18,-0.469
2020-08-17,-0.468
2020-08-14,-0.464
2020-08-13,-0.467
2020-08-12,-0.467
2020-08-11,-0.467
2020-08-10,-0.469
2020-08-07,-0.468
2020-08-06,-0.468
2020-08-05,-0.467
2020-08-04,-0.466
2020-08-03,-0.467
2020-07-31,-0.465
2020-07-30,-0.467
2020-07-29,-0.468
2020-07-28,-0.466
2020-07-27,-0.467
2020-07-24,-0.466
2020-07-23,-0.465
2020-07-22,-0.465
2020-07-21,-0.464
2020-07-20,-0.466
2020-07-17,-0.466
2020-07-16,-0.456
2020-07-15,-0.466
2020-07-14,-0.466
2020-07-13,-0.467
2020-07-10,-0.464
2020-07-09,-0.464
2020-07-08,-0.464
2020-07-07,-0.465
2020-07-06,-0.465
2020-07-03,-0.464
2020-07-02,-0.463
2020-07-01,-0.463
2020-06-30,-0.47
2020-06-29,-0.46
2020-06-26,-0.462
2020-06-25,-0.462
2020-06-24,-0.461
2020-06-23,-0.459
2020-06-22,-0.46
2020-06-19,-0.461
2020-06-18,-0.459
2020-06-17,-0.459
2020-06-16,-0.461
2020-06-15,-0.462
2020-06-12,-0.461
2020-06-11,-0.462
2020-06-10,-0.463
2020-06-09,-0.457
2020-06-08,-0.462
2020-06-05,-0.459
2020-06-04,-0.46
2020-06-03,-0.458
2020-06-02,-0.457
2020-06-01,-0.461
2020-05-29,-0.455
2020-05-28,-0.456
2020-05-27,-0.456
2020-05-26,-0.456
2020-05-25,-0.455
2020-05-22,-0.454
2020-05-21,-0.46
2020-05-20,-0.46
2020-05-19,-0.457
2020-05-18,-0.457
2020-05-15,-0.458
2020-05-14,-0.456
2020-05-13,-0.457
2020-05-12,-0.458
2020-05-11,-0.459
2020-05-08,-0.456
2020-05-07,-0.456
2020-05-06,-0.457
2020-05-05,-0.454
2020-05-04,-0.458
2020-04-30,-0.446
2020-04-29,-0.458
2020-04-28,-0.456
2020-04-27,-0.454
2020-04-24,-0.454
2020-04-23,-0.454
2020-04-22,-0.454
2020-04-21,-0.456
2020-04-20,-0.456
2020-04-17,-0.453
2020-04-16,-0.449
2020-04-15,-0.45
2020-04-14,-0.449
2020-04-09,-0.451
2020-04-08,-0.45
2020-04-07,-0.448
2020-04-06,-0.448
2020-04-03,-0.454
2020-04-02,-0.449
2020-04-01,-0.442
2020-03-31,-0.437
2020-03-30,-0.443
2020-03-27,-0.445
2020-03-26,-0.444
2020-03-25,-0.442
2020-03-24,-0.442
2020-03-23,-0.44
2020-03-20,-0.439
2020-03-19,-0.441
2020-03-18,-0.444
2020-03-17,-0.446
2020-03-16,-0.451
2020-03-13,-0.456
2020-03-12,-0.455
2020-03-11,-0.458
2020-03-10,-0.456
2020-03-09,-0.454
2020-03-06,-0.456
2020-03-05,-0.455
2020-03-04,-0.456
2020-03-03,-0.457
2020-03-02,-0.457
2020-02-28,-0.455
2020-02-27,-0.453
2020-02-26,-0.454
2020-02-25,-0.454
2020-02-24,-0.455
