date,1w,1m,3m,6m,12m
2021-10-08,-0.568,-0.561,-0.548,-0.518,-0.482
2021-10-07,-0.574,-0.562,-0.547,-0.526,-0.482
2021-10-06,-0.567,-0.564,-0.551,-0.53,-0.487
2021-10-05,-0.576,-0.567,-0.551,-0.525,-0.491
2021-10-04,-0.572,-0.559,-0.548,-0.527,-0.488
2021-10-01,-0.562,-0.557,-0.547,-0.526,-0.488
2021-09-30,-0.568,-0.563,-0.545,-0.528,-0.488
2021-09-29,-0.568,-0.558,-0.543,-0.523,-0.491
2021-09-28,-0.568,-0.558,-0.543,-0.523,-0.489
2021-09-27,-0.571,-0.561,-0.542,-0.517,-0.486
2021-09-24,-0.567,-0.553,-0.543,-0.523,-0.488
2021-09-23,-0.576,-0.557,-0.543,-0.528,-0.495
2021-09-22,-0.565,-0.561,-0.544,-0.523,-0.491
2021-09-21,-0.569,-0.563,-0.546,-0.53,-0.497
2021-09-20,-0.565,-0.558,-0.545,-0.528,-0.489
2021-09-17,-0.563,-0.562,-0.548,-0.526,-0.49
2021-09-16,-0.574,-0.559,-0.545,-0.522,-0.493
2021-09-15,-0.564,-0.557,-0.543,-0.524,-0.488
2021-09-14,-0.576,-0.556,-0.548,-0.522,-0.488
2021-09-13,-0.574,-0.557,-0.544,-0.52,-0.489
2021-09-10,-0.568,-0.558,-0.544,-0.519,-0.495
2021-09-09,-0.577,-0.558,-0.543,-0.522,-0.489
2021-09-08,-0.574,-0.557,-0.541,-0.517,-0.494
2021-09-07,-0.575,-0.552,-0.543,-0.518,-0.496
2021-09-06,-0.572,-0.555,-0.549,-0.52,-0.5
2021-09-03,-0.567,-0.553,-0.548,-0.519,-0.5
2021-09-02,-0.56,-0.558,-0.551,-0.52,-0.499
2021-09-01,-0.573,-0.554,-0.55,-0.521,-0.496
2021-08-31,-0.565,-0.554,-0.548,-0.522,-0.501
2021-08-30,-0.563,-0.559,-0.549,-0.529,-0.5
2021-08-27,-0.565,-0.556,-0.55,-0.529,-0.502
2021-08-26,-0.566,-0.56,-0.55,-0.53,-0.501
2021-08-25,-0.576,-0.559,-0.55,-0.528,-0.498
2021-08-24,-0.573,-0.557,-0.549,-0.527,-0.495
2021-08-23,-0.575,-0.557,-0.549,-0.529,-0.494
2021-08-20,-0.574,-0.552,-0.548,-0.528,-0.494
2021-08-19,-0.564,-0.56,-0.55,-0.529,-0.494
2021-08-18,-0.569,-0.558,-0.548,-0.527,-0.493
2021-08-17,-0.573,-0.565,-0.55,-0.527,-0.491
2021-08-16,-0.57,-0.564,-0.55,-0.527,-0.493
2021-08-13,-0.574,-0.561,-0.552,-0.528,-0.496
2021-08-12,-0.578,-0.566,-0.553,-0.527,-0.497
2021-08-11,-0.575,-0.565,-0.549,-0.53,-0.498
2021-08-10,-0.569,-0.561,-0.547,-0.528,-0.498
2021-08-09,-0.574,-0.561,-0.543,-0.527,-0.502
2021-08-06,-0.566,-0.561,-0.541,-0.524,-0.501
2021-08-05,-0.573,-0.568,-0.54,-0.527,-0.504
2021-08-04,-0.572,-0.56,-0.543,-0.531,-0.502
2021-08-03,-0.573,-0.563,-0.545,-0.525,-0.505
2021-08-02,-0.571,-0.556,-0.543,-0.523,-0.502
2021-07-30,-0.564,-0.556,-0.544,-0.523,-0.502
2021-07-29,-0.574,-0.558,-0.544,-0.524,-0.502
2021-07-28,-0.565,-0.558,-0.547,-0.524,-0.498
2021-07-27,-0.568,-0.557,-0.543,-0.523,-0.494
2021-07-26,-0.562,-0.558,-0.544,-0.519,-0.493
2021-07-23,-0.563,-0.56,-0.544,-0.519,-0.493
2021-07-22,-0.568,-0.553,-0.549,-0.517,-0.485
2021-07-21,-0.564,-0.553,-0.546,-0.513,-0.484
2021-07-20,-0.566,-0.558,-0.543,-0.518,-0.486
2021-07-19,-0.56,-0.56,-0.548,-0.515,-0.488
2021-07-16,-0.562,-0.557,-0.548,-0.515,-0.488
2021-07-15,-0.57,-0.557,-0.548,-0.513,-0.487
2021-07-14,-0.573,-0.559,-0.546,-0.513,-0.488
2021-07-13,-0.565,-0.56,-0.546,-0.513,-0.49
2021-07-12,-0.571,-0.549,-0.543,-0.511,-0.493
2021-07-09,-0.564,-0.552,-0.543,-0.514,-0.494
2021-07-08,-0.568,-0.556,-0.546,-0.515,-0.493
2021-07-07,-0.575,-0.554,-0.547,-0.511,-0.491
2021-07-06,-0.565,-0.553,-0.539,-0.513,-0.489
2021-07-05,-0.558,-0.553,-0.542,-0.513,-0.488
2021-07-02,-0.562,-0.555,-0.546,-0.512,-0.485
2021-07-01,-0.567,-0.561,-0.54,-0.513,-0.485
2021-06-30,-0.575,-0.569,-0.542,-0.515,-0.483
2021-06-29,-0.575,-0.555,-0.541,-0.513,-0.48
2021-06-28,-0.566,-0.564,-0.543,-0.513,-0.48
2021-06-25,-0.566,-0.562,-0.538,-0.513,-0.478
2021-06-24,-0.564,-0.558,-0.538,-0.508,-0.478
2021-06-23,-0.569,-0.553,-0.538,-0.509,-0.478
2021-06-22,-0.564,-0.553,-0.54,-0.508,-0.477
2021-06-21,-0.558,-0.55,-0.542,-0.511,-0.48
2021-06-18,-0.56,-0.548,-0.544,-0.513,-0.485
2021-06-17,-0.573,-0.555,-0.543,-0.513,-0.486
2021-06-16,-0.562,-0.548,-0.547,-0.519,-0.485
2021-06-15,-0.568,-0.547,-0.542,-0.522,-0.488
2021-06-14,-0.566,-0.55,-0.546,-0.522,-0.488
2021-06-11,-0.559,-0.551,-0.548,-0.521,-0.489
2021-06-10,-0.564,-0.549,-0.545,-0.519,-0.488
2021-06-09,-0.563,-0.547,-0.542,-0.518,-0.485
2021-06-08,-0.573,-0.553,-0.543,-0.516,-0.488
2021-06-07,-0.566,-0.557,-0.546,-0.513,-0.486
2021-06-04,-0.571,-0.558,-0.546,-0.513,-0.486
2021-06-03,-0.568,-0.558,-0.542,-0.517,-0.485
2021-06-02,-0.571,-0.556,-0.543,-0.516,-0.485
2021-06-01,-0.57,-0.56,-0.545,-0.517,-0.487
2021-05-31,-0.574,-0.563,-0.544,-0.513,-0.483
2021-05-28,-0.567,-0.558,-0.543,-0.512,-0.481
2021-05-27,-0.563,-0.557,-0.54,-0.509,-0.48
2021-05-26,-0.568,-0.561,-0.537,-0.507,-0.48
2021-05-25,-0.568,-0.557,-0.538,-0.505,-0.476
2021-05-24,-0.559,-0.561,-0.542,-0.509,-0.478
2021-05-21,-0.563,-0.563,-0.543,-0.513,-0.479
2021-05-20,-0.563,-0.562,-0.545,-0.517,-0.482
2021-05-19,-0.56,-0.562,-0.552,-0.515,-0.479
2021-05-18,-0.563,-0.559,-0.553,-0.515,-0.476
