date,euribor
2024-10-24,3.2000
2024-10-29,3.1987
2024-11-03,3.1947
2024-11-08,3.1882
2024-11-13,3.1792
2024-11-18,3.1679
2024-11-23,3.1544
2024-11-28,3.1388
2024-12-03,3.1211
2024-12-08,3.1015
2024-12-13,3.0800
2024-12-18,3.0568
2024-12-23,3.0320
2024-12-28,3.0056
2025-01-02,2.9778
2025-01-07,2.9487
2025-01-12,2.9183
2025-01-17,2.8868
2025-01-22,2.8543
2025-01-27,2.8208
2025-02-01,2.7865
2025-02-06,2.7515
2025-02-11,2.7158
2025-02-16,2.6795
2025-02-21,2.6429
2025-02-26,2.6059
2025-03-03,2.5686
2025-03-08,2.5313
2025-03-13,2.4938
2025-03-18,2.4565
2025-03-23,2.4193
2025-03-28,2.3823
2025-04-02,2.3457
2025-04-07,2.3096
2025-04-12,2.2741
2025-04-17,2.2392
2025-04-22,2.2050
2025-04-27,2.1717
2025-05-02,2.1394
2025-05-07,2.1081
2025-05-12,2.0780
2025-05-17,2.0492
2025-05-22,2.0217
2025-05-27,1.9956
2025-06-01,1.9711
2025-06-06,1.9483
2025-06-11,1.9273
2025-06-16,1.9080
2025-06-21,1.8908
2025-06-26,1.8756
2025-07-01,1.8625
2025-07-06,1.8517
2025-07-11,1.8433
2025-07-16,1.8373
2025-07-21,1.8339
2025-07-26,1.8330
2025-07-31,1.8331
2025-08-05,1.8332
2025-08-10,1.8333
2025-08-15,1.8335
2025-08-20,1.8338
2025-08-25,1.8341
2025-08-30,1.8345
2025-09-04,1.8349
2025-09-09,1.8353
2025-09-14,1.8358
2025-09-19,1.8364
2025-09-24,1.8370
2025-09-29,1.8377
2025-10-04,1.8384
2025-10-09,1.8391
2025-10-14,1.8399
2025-10-19,1.8407
2025-10-24,1.8416
2025-10-29,1.8425
2025-11-03,1.8434
2025-11-08,1.8444
2025-11-13,1.8454
2025-11-18,1.8465
2025-11-23,1.8476
2025-11-28,1.8487
2025-12-03,1.8498
2025-12-08,1.8510
2025-12-13,1.8523
2025-12-18,1.8535
2025-12-23,1.8548
2025-12-28,1.8561
2026-01-02,1.8574
2026-01-07,1.8588
2026-01-12,1.8602
2026-01-17,1.8616
2026-01-22,1.8631
2026-01-27,1.8645
2026-02-01,1.8660
2026-02-06,1.8675
2026-02-11,1.8691
2026-02-16,1.8706
2026-02-21,1.8722
2026-02-26,1.8737
2026-03-03,1.8753
2026-03-08,1.8770
2026-03-13,1.8786
2026-03-18,1.8802
2026-03-23,1.8819
2026-03-28,1.8836
2026-04-02,1.8852
2026-04-07,1.8869
