t,s,trend
0,100,100
0.002,98.91025435100094,100.02
0.004,99.00455456083282,100.0397820508702
0.006,97.41107013404978,100.05958296178237
0.008,97.70592415227483,100.07906517580918
0.01,96.58137136118802,100.09860636063964
0.012,99.65403001650951,100.11792263491188
0.014,100.95161050126605,100.13785344091518
0.016,102.61546381087582,100.15804376301543
0.018000000000000002,103.34121338296495,100.1785668557776
0.020000000000000004,106.47159240427449,100.1992350984542
0.022,105.28204924764285,100.22052941693505
0.024,104.4336704931629,100.24158582678459
0.026000000000000002,107.13029862436017,100.26247256088323
0.028000000000000004,105.90472691218608,100.2838986206081
0.03,105.53302890685667,100.30507956599054
0.032,104.81258005028587,100.32618617177191
0.034,104.23357371941388,100.34714868778197
0.036000000000000004,103.73398943948996,100.36799540252585
0.038000000000000006,104.67177682205947,100.38874220041374
0.04,104.36067303098746,100.40967655577816
0.042,103.43699317875587,100.43054869038436
0.044000000000000004,105.94275525662006,100.45123608902011
0.046,105.55728114818982,100.47242464007144
0.048,105.23934210480135,100.49353609630107
0.05,105.07177302961585,100.51458396472204
0.052000000000000005,106.43230144575915,100.53559831932796
0.054000000000000006,106.31352724752743,100.5568847796171
0.056,106.26321750430435,100.57814748506661
0.058,104.9887056818413,100.59940012856747
0.060000000000000005,104.40069302585538,100.62039786970384
0.062,104.53392738154703,100.641278008309
0.064,103.45362518623212,100.66218479378531
0.066,104.45792121224952,100.68287551882256
0.068,101.64154146198138,100.703767103065
0.07,102.2192591489777,100.7240954113574
0.07200000000000001,99.43022199643845,100.74453926318719
0.07400000000000001,98.91477327627564,100.76442530758648
0.076,97.99979597318564,100.78420826224173
0.078,96.87622575857597,100.80380822143637
0.08,96.79700033235021,100.82318346658809
0.082,93.50153653690757,100.84254286665455
0.084,95.48819754387895,100.86124317396194
0.08600000000000001,92.66328116424523,100.88034081347071
0.08800000000000001,91.91346065139712,100.89887346970356
0.09,90.09704977379624,100.91725616183383
0.092,88.90497042821539,100.9352755717886
0.094,92.24214031181643,100.95305656587423
0.096,92.2892928617338,100.97150499393659
0.098,90.18417008579982,100.98996285250894
0.1,87.55547792859653,101.0079996865261
0.10200000000000001,88.27809007130317,101.02551078211182
0.10400000000000001,88.26643662357206,101.04316640012608
0.10600000000000001,87.78187330020093,101.0608196874508
0.108,86.34006169323098,101.07837606211085
0.11,84.05995026565749,101.0956440744495
0.112,82.45998473572503,101.11245606450262
0.114,83.95160827105659,101.12894806144976
0.116,83.03539765144684,101.14573838310397
0.11800000000000001,80.9956015276998,101.16234546263426
0.12000000000000001,83.72020343212063,101.17854458293981
0.122,84.3735916255038,101.19528862362623
0.124,84.03027133656333,101.21216334195132
0.126,85.63816708368735,101.22896939621863
0.128,87.01324289916411,101.24609702963537
0.13,86.06676884432453,101.2634996782152
0.132,89.48051777345279,101.28071303198406
0.134,89.0901981888823,101.29860913553875
0.136,86.8378077736168,101.31642717517653
0.138,86.63086471486368,101.33379473673125
0.14,86.96981305618613,101.35112090967422
0.14200000000000002,90.57787513664849,101.36851487228546
0.14400000000000002,90.76742295371264,101.38663044731278
0.14600000000000002,91.52760403815459,101.40478393190352
0.148,91.41958740080334,101.42308945271115
0.15,90.89165860010287,101.44137337019131
0.152,90.8533752080906,101.45955170191134
0.154,92.1516450096191,101.47772237695295
0.156,95.59103111044219,101.49615270595488
0.158,97.36697430704425,101.51527091217697
0.16,99.49032624539224,101.53474430703838
0.162,97.31879238357838,101.55464237228746
0.164,99.0511115592005,101.57410613076418
0.166,99.46060217551153,101.59391635307603
0.168,96.86995520851292,101.61380847351113
0.17,97.79218993994007,101.63318246455283
0.17200000000000001,97.53402944246729,101.65274090254081
0.17400000000000002,100.10886289216288,101.67224770842931
0.17600000000000002,98.7569836557509,101.69226948100774
0.178,98.01671495329457,101.7120208777389
0.18,96.41249985188391,101.73162422072956
0.182,96.12633482829803,101.75090672069993
0.184,96.83684353223742,101.7701319876656
0.186,95.58862540607684,101.78949935637203
0.188,97.0276325173512,101.80861708145325
0.19,94.95018922137564,101.82802260795673
0.192,93.18915612399469,101.847012645801
0.194,95.61023022985502,101.8656504770258
0.196,93.89192012243326,101.88477252307176
0.198,94.60264700123703,101.90355090709625
0.2,93.97667115885538,101.9224714364965
0.202,94.68371430028888,101.94126677072826
0.20400000000000001,97.5631865425953,101.96020351358833
0.20600000000000002,100.35171380478658,101.97971615089685
0.20800000000000002,99.77775632291909,101.99978649365781
0.21000000000000002,95.71884349137471,102.0197420449224
0.212,100.01466008428773,102.03888581362067
0.214,101.22812218828157,102.05888874563752
