x,y
-5,2.866515718791939e-7
-4.99,3.0189646252084834e-7
-4.98,3.179213661852815e-7
-4.97,3.347645082736173e-7
-4.96,3.5246589817642397e-7
-4.95,3.710674079633326e-7
-4.94,3.9061285431832547e-7
-4.93,4.111480838439306e-7
-4.92,4.327210618617019e-7
-4.91,4.5538196484073173e-7
-4.9,4.79183276590319e-7
-4.89,5.04179888357536e-7
-4.88,5.30429202975094e-7
-4.87,5.57991243209782e-7
-4.86,5.869287644666381e-7
-4.85,6.173073720091976e-7
-4.84,6.491956428613351e-7
-4.83,6.826652525616633e-7
-4.82,7.177911069468993e-7
-4.81,7.546514791463719e-7
-4.8,7.933281519755952e-7
-4.79,8.339065659229106e-7
-4.78,8.764759729292034e-7
-4.77,9.21129596167143e-7
-4.76,9.679647960327328e-7
-4.75,1.0170832425687034e-6
-4.74,1.0685910945459334e-6
-4.73,1.1225991854361711e-6
-4.72,1.1792232165163977e-6
-4.71,1.2385839573524706e-6
-4.7,1.3008074539172811e-6
-4.69,1.3660252446061362e-6
-4.68,1.4343745844201348e-6
-4.67,1.5059986775961558e-6
-4.66,1.5810469189705104e-6
-4.65,1.6596751443714612e-6
-4.64,1.7420458903446584e-6
-4.63,1.8283286635241616e-6
-4.62,1.918700219970897e-6
-4.61,2.0133448548093376e-6
-4.6,2.1124547025028537e-6
-4.59,2.2162300481175417e-6
-4.58,2.3248796499344088e-6
-4.57,2.4386210737794223e-6
-4.56,2.55768103945153e-6
-4.55,2.682295779638856e-6
-4.54,2.8127114117242083e-6
-4.53,2.949184322891514e-6
-4.52,3.0919815689561827e-6
-4.51,3.2413812873533906e-6
-4.5,3.39767312473006e-6
-4.49,3.561158679597556e-6
-4.48,3.732151960514471e-6
-4.47,3.910979860280704e-6
-4.46,4.097982646636357e-6
-4.45,4.293514469971867e-6
-4.4399999999999995,4.497943888567924e-6
-4.43,4.711654411897237e-6
-4.42,4.9350450625332695e-6
-4.41,5.168530957224133e-6
-4.4,5.412543907703849e-6
-4.39,5.667533041826738e-6
-4.38,5.933965445624664e-6
-4.37,6.212326826901502e-6
-4.36,6.503122200992792e-6
-4.35,6.806876599334062e-6
-4.34,7.124135801495341e-6
-4.33,7.455467091355126e-6
-4.32,7.801460038101338e-6
-4.31,8.162727302763082e-6
-4.3,8.539905470991811e-6
-4.29,8.933655912827001e-6
-4.28,9.344665670196362e-6
-4.27,9.773648372917585e-6
-4.26,1.022134518398407e-5
-4.25,1.0688525774934417e-5
-4.24,1.1175989332120554e-5
-4.23,1.1684565594707407e-5
-4.22,1.2215115925253032e-5
-4.21,1.2768534413734952e-5
-4.2,1.3345749015906329e-5
-4.1899999999999995,1.3947722726881284e-5
-4.18,1.4575454790867035e-5
-4.17,1.5229981947977881e-5
-4.16,1.5912379719082166e-5
-4.15,1.6623763729652223e-5
-4.14,1.7365291073604066e-5
-4.13,1.813816171813091e-5
-4.12,1.8943619950553246e-5
-4.11,1.9782955868224028e-5
-4.1,2.065750691254677e-5
-4.09,2.15686594481806e-5
-4.08,2.2517850388525434e-5
-4.07,2.350656886859556e-5
-4.06,2.4536357966409773e-5
-4.05,2.5608816474041503e-5
-4.04,2.6725600719492083e-5
-4.03,2.788842644056391e-5
-4.02,2.9099070711931035e-5
-4.01,3.0359373926618224e-5
-4,3.1671241833119924e-5
-3.99,3.3036647629402404e-5
-3.98,3.4457634115053075e-5
-3.9699999999999998,3.593631590285384e-5
-3.96,3.747488169107344e-5
-3.95,3.907559659778749e-5
-3.94,4.074080455855072e-5
-3.9299999999999997,4.247293078876124e-5
-3.92,4.427448431207073e-5
-3.91,4.614806055620876e-5
-3.9,4.8096344017602736e-5
-3.8899999999999997,5.0122110996188456e-5
-3.88,5.222823240182016e-5
-3.87,5.4417676633699744e-5
-3.86,5.6693512534256634e-5
-3.8499999999999996,5.905891241892262e-5
-3.84,6.151715518325528e-5
-3.83,6.407162948887454e-5
-3.8200000000000003,6.672583702968463e-5
-3.81,6.948339587986517e-5
-3.8,7.234804392512006e-5
-3.79,7.532364237868328e-5
-3.7800000000000002,7.841417938358494e-5
-3.77,8.162377370268608e-5
-3.76,8.495667849799794e-5
-3.75,8.841728520080388e-5
-3.74,9.201012747410542e-5
-3.73,9.573988526891452e-5
-3.7199999999999998,9.961138897591672e-5
-3.71,1.0362962367403109e-4
-3.7,1.0779973347738828e-4
-3.69,1.1212702598224708e-4
-3.6799999999999997,1.1661697681536837e-4
-3.67,1.2127523428535795e-4
-3.66,1.2610762413848672e-4
-3.65,1.3112015442048465e-4
-3.6399999999999997,1.3631902044580218e-4
-3.63,1.4171060987581925e-4
-3.62,1.4730150790747255e-4
-3.61,1.5309850257375532e-4
-3.5999999999999996,1.591085901575341e-4
-3.59,1.6533898072010976e-4
-3.58,1.7179710374593072e-4
-3.5700000000000003,1.7849061390484719e-4
-3.56,1.8542739693327786e-4
-3.55,1.9261557563563338e-4
-3.54,2.0006351600732012e-4
-3.5300000000000002,2.0777983348062106e-4
-3.52,2.157733992947175e-4
-3.51,2.24053346991093e-4
-3.5,2.3262907903552494e-4
-3.49,2.41510273567836e-4
-3.48,2.5070689128053766e-4
-3.4699999999999998,2.60229182427467e-4
-3.46,2.7008769396347465e-4
-3.45,2.802932768161772e-4
-3.44,2.908570932907433e-4
-3.4299999999999997,3.017906246086377e-4
-3.42,3.1310567858120007e-4
-3.41,3.248143974188778e-4
-3.4,3.369292656768811e-4
-3.3899999999999997,3.4946311833797174e-4
-3.38,3.6242914903304393e-4
-3.37,3.758409184000832e-4
-3.36,3.8971236258203196e-4
-3.3499999999999996,4.040578018640216e-4
-3.34,4.1889194945036995e-4
-3.33,4.342299203816554e-4
-3.3200000000000003,4.5008724059211703e-4
-3.31,4.664798561075493e-4
-3.3,4.8342414238377744e-4
-3.29,5.009369137857221e-4
-3.2800000000000002,5.190354332069724e-4
-3.27,5.37737421829695e-4
-3.26,5.57061069024622e-4
-3.25,5.770250423907671e-4
-3.24,5.976484979344154e-4
-3.23,6.18951090386835e-4
-3.2199999999999998,6.409529836600567e-4
-3.21,6.636748614399678e-4
-3.2,6.871379379158481e-4
-3.19,7.113639686453639e-4
-3.1799999999999997,7.363752615539316e-4
-3.17,7.621946880672349e-4
-3.16,7.888456943755729e-4
-3.15,8.163523128285624e-4
-3.1399999999999997,8.44739173458628e-4
-3.13,8.740315156315677e-4
-3.12,9.042551998223397e-4
-3.11,9.354367195140998e-4
-3.0999999999999996,9.676032132183579e-4
-3.09,0.0010007824766140106
-3.08,0.001035002974802841
-3.0700000000000003,0.001070293854678923
-3.06,0.0011066849574092466
-3.05,0.001144206831022699
-3.04,0.0011828907431044066
-3.0300000000000002,0.0012227686935922587
-3.02,0.0012638734276722986
-3.01,0.001306238448769469
-3,0.0013498980316300946
-2.9899999999999998,0.0013948872354922512
-2.98,0.0014412419173400147
-2.9699999999999998,0.0014889987452374668
-2.96,0.0015381952117380592
-2.95,0.0015888696473648678
-2.94,0.001641061234156998
-2.93,0.0016948100192772616
-2.92,0.0017501569286761005
-2.91,0.0018071437808064288
-2.9,0.0018658133003840384
-2.89,0.0019262091321878604
-2.88,0.0019883758548943256
-2.87,0.002052358994939753
-2.86,0.0021182050404046204
-2.85,0.0021859614549132396
-2.84,0.0022556766915423237
-2.83,0.0023274002067315545
-2.82,0.0024011824741892525
-2.81,0.0024770749987858606
-2.8,0.002555130330427934
-2.79,0.0026354020779049523
-2.78,0.0027179449227012595
-2.77,0.0028028146327650277
-2.76,0.0028900680762261478
-2.75,0.0029797632350545564
-2.7399999999999998,0.0030719592186504957
-2.73,0.0031667162773577943
-2.7199999999999998,0.0032640958158913153
-2.71,0.0033641604066691933
-2.6999999999999997,0.00346697380304067
-2.69,0.0035726009523997385
-2.68,0.0036811080091749813
-2.67,0.0037925623476854895
-2.66,0.003907032574852778
-2.65,0.004024588542758309
-2.64,0.00414530136103604
-2.63,0.004269243409089353
-2.62,0.004396488348121312
-2.61,0.004527111132967326
-2.6,0.004661188023718748
-2.59,0.004798796597126183
-2.58,0.004940015757770644
-2.57,0.005084925748991041
-2.56,0.005233608163555787
-2.55,0.005386145954066692
-2.54,0.005542623443082603
-2.53,0.0057031263329506985
-2.52,0.005867741715332563
-2.51,0.006036558080412663
-2.5,0.006209665325776135
-2.4899999999999998,0.0063871547649431825
-2.48,0.006569119135546761
-2.4699999999999998,0.0067556526071406555
-2.46,0.006946850788624318
-2.4499999999999997,0.007142810735271425
-2.44,0.007343630955348349
-2.43,0.007549411416309206
-2.42,0.007760253550553646
-2.41,0.007976260260733727
-2.4,0.008197535924596135
-2.39,0.008424186399345689
-2.38,0.008656319025516548
-2.37,0.008894042630336777
-2.36,0.009137467530572678
-2.35,0.009386705534838575
-2.34,0.009641869945358332
-2.33,0.009903075559164249
-2.32,0.010170438668719682
-2.31,0.010444077061951088
-2.3,0.01072411002167581
-2.29,0.011010658324411386
-2.28,0.011303844238552796
-2.27,0.011603791521903536
-2.26,0.011910625418547073
-2.25,0.012224472655044706
-2.2399999999999998,0.012545461435946578
-2.23,0.01287372143860202
-2.2199999999999998,0.013209383807256295
-2.21,0.013552581146419985
-2.1999999999999997,0.013903447513498618
-2.19,0.014262118410668878
-2.18,0.014628730775989257
-2.17,0.015003422973732208
-2.16,0.015386334783925445
-2.15,0.015777607391090517
-2.14,0.016177383372166093
-2.13,0.016585806683605014
-2.12,0.017003022647632798
-2.11,0.01742917793765709
-2.1,0.017864420562816556
-2.09,0.01830889985165897
-2.08,0.018762766434937746
-2.07,0.019226172227517296
-2.06,0.019699270409376905
-2.05,0.020182215405704407
-2.04,0.020675162866070053
-2.03,0.02117826964267229
-2.02,0.02169169376764679
-2.01,0.02221559442943149
-2,0.022750131948179212
-1.9899999999999998,0.02329546775021183
-1.98,0.02385176434150852
-1.9699999999999998,0.024419185280222563
-1.96,0.024997895148220428
-1.9499999999999997,0.025588059521638645
-1.94,0.026189844940452695
-1.9299999999999997,0.026803418877054987
-1.92,0.02742894970383682
-1.9100000000000001,0.028066606659772498
-1.9,0.028716559816001803
-1.8900000000000001,0.029378980040409418
-1.88,0.0300540389611998
-1.87,0.03074190892946596
-1.8599999999999999,0.03144276298075272
-1.85,0.032156774795613706
-1.8399999999999999,0.032884118659163894
-1.83,0.03362496941962833
-1.8199999999999998,0.034379502445890005
-1.81,0.035147893584038796
-1.7999999999999998,0.03593031911292582
-1.79,0.0367269556987263
-1.7799999999999998,0.03753798034851681
-1.77,0.03836357036287123
-1.7599999999999998,0.03920390328748267
-1.75,0.0400591568638171
-1.7399999999999998,0.040929508978807386
-1.73,0.04181513761359495
-1.7199999999999998,0.04271622079132895
-1.71,0.043632936524031905
-1.6999999999999997,0.04456546275854307
-1.69,0.045513977321549805
-1.6799999999999997,0.04647865786372007
-1.67,0.04745968180294732
-1.6600000000000001,0.0484572262667228
-1.65,0.04947146803364811
-1.6400000000000001,0.05050258347410369
-1.63,0.05155074849008936
-1.62,0.052616138454252045
-1.6099999999999999,0.05369892814811971
-1.6,0.054799291699557974
-1.5899999999999999,0.055917402519469465
-1.58,0.05705343323775422
-1.5699999999999998,0.05820755563855304
-1.56,0.059379940594793026
-1.5499999999999998,0.06057075800205902
-1.54,0.0617801767118119
-1.5299999999999998,0.06300836446397844
-1.52,0.06425548781893585
-1.5099999999999998,0.06552171208891651
-1.5,0.06680720126885807
-1.4899999999999998,0.06811211796672548
-1.48,0.06943662333333174
-1.4699999999999998,0.07078087699168557
-1.46,0.07214503696589378
-1.4499999999999997,0.0735292596096484
-1.44,0.07493369953432706
-1.4299999999999997,0.07635850953673914
-1.42,0.0778038405265464
-1.4100000000000001,0.07926984145339237
-1.4,0.08075665923377105
-1.3900000000000001,0.08226443867766893
-1.38,0.08379332241501429
-1.37,0.08534345082196697
-1.3599999999999999,0.08691496194708505
-1.35,0.08850799143740201
-1.3399999999999999,0.09012267246445248
-1.33,0.0917591356502808
-1.3199999999999998,0.09341750899347182
-1.31,0.09509791779523902
-1.2999999999999998,0.09680048458561037
-1.29,0.09852532904974784
-1.2799999999999998,0.10027256795444214
-1.27,0.10204231507481912
-1.2599999999999998,0.10383468112130044
-1.25,0.10564977366685524
-1.2399999999999998,0.10748769707458694
-1.23,0.10934855242569191
-1.2199999999999998,0.11123243744783466
-1.21,0.11313944644397728
-1.1999999999999997,0.11506967022170833
-1.19,0.11702319602310875
-1.1799999999999997,0.11900010745520079
-1.17,0.12100048442101824
-1.1600000000000001,0.12302440305134334
-1.15,0.12507193563715027
-1.1400000000000001,0.12714315056279824
-1.13,0.12923811224001788
-1.12,0.1313568810427307
-1.1099999999999999,0.13349951324274723
-1.1,0.13566606094638264
-1.0899999999999999,0.1378565720320355
-1.08,0.14007109008876903
-1.0699999999999998,0.14230965435593926
-1.06,0.1445722996639096
-1.0499999999999998,0.14685905637589597
-1.04,0.1491699503309814
-1.0299999999999998,0.15150500278834372
-1.02,0.15386423037273486
-1.0099999999999998,0.15624764502125466
-1,0.15865525393145705
-0.9900000000000002,0.16108705951083088
-0.9799999999999995,0.16354305932769242
-0.9699999999999998,0.1660232460635297
-0.96,0.1685276074668378
-0.9500000000000002,0.17105612630848174
-0.9399999999999995,0.17360878033862467
-0.9299999999999997,0.176185542245258
-0.9199999999999999,0.17878637961437174
-0.9100000000000001,0.18141125489179716
-0.9000000000000004,0.18406012534675936
-0.8899999999999997,0.18673294303717272
-0.8799999999999999,0.1894296547767122
-0.8700000000000001,0.19215020210369615
-0.8600000000000003,0.19489452125180826
-0.8499999999999996,0.19766254312269246
-0.8399999999999999,0.20045419326044972
-0.8300000000000001,0.20326939182806844
-0.8200000000000003,0.20610805358581297
-0.8099999999999996,0.20897008787160168
-0.7999999999999998,0.21185539858339666
-0.79,0.2147638841636371
-0.7800000000000002,0.2176954375857331
-0.7699999999999996,0.22064994634264973
-0.7599999999999998,0.22362729243759952
-0.75,0.22662735237686824
-0.7400000000000002,0.2296499971647905
-0.7299999999999995,0.23269509230089758
-0.7199999999999998,0.2357624977792512
