x,norm_density,lognorm_density
-5,1.4867195147342977e-6,0
-4.99,1.5628671089492902e-6,0
-4.98,1.6427505880450713e-6,0
-4.97,1.7265445216770734e-6,0
-4.96,1.8144311901820303e-6,0
-4.95,1.9066009031228108e-6,0
-4.94,2.0032523299484894e-6,0
-4.93,2.1045928431831295e-6,0
-4.92,2.2108388745684212e-6,0
-4.91,2.322216284597997e-6,0
-4.9,2.438960745893352e-6,0
-4.89,2.5613181408845443e-6,0
-4.88,2.6895449742715233e-6,0
-4.87,2.823908800755821e-6,0
-4.86,2.964688668545273e-6,0
-4.85,3.1121755791489445e-6,0
-4.84,3.266672963993275e-6,0
-4.83,3.428497178405039e-6,0
-4.82,3.5979780135212474e-6,0
-4.81,3.775459226701349e-6,0
-4.8,3.961299091032075e-6,0
-4.79,4.155870964531201e-6,0
-4.78,4.359563879671637e-6,0
-4.77,4.5727831538641446e-6,0
-4.76,4.795951021552522e-6,0
-4.75,5.029507288592445e-6,0
-4.74,5.273910009601303e-6,0
-4.73,5.5296361889840515e-6,0
-4.72,5.797182506357287e-6,0
-4.71,6.077066067111115e-6,0
-4.7,6.36982517886709e-6,0
-4.69,6.676020154607461e-6,0
-4.68,6.996234143270405e-6,0
-4.67,7.331073988623945e-6,0
-4.66,7.681171117250455e-6,0
-4.65,8.047182456492295e-6,0
-4.64,8.429791383228772e-6,0
-4.63,8.829708704374098e-6,0
-4.62,9.247673670005617e-6,0
-4.61,9.684455020051437e-6,0
-4.6,1.0140852065486758e-5,0
-4.59,1.0617695805008393e-5,0
-4.58,1.111585007817779e-5,0
-4.57,1.1636212756042667e-5,0
-4.56,1.21797169702687e-5,0
-4.55,1.2747332381833466e-5,0
-4.54,1.334006649035584e-5,0
-4.53,1.3958965985154772e-5,0
-4.52,1.4605118139152942e-5,0
-4.51,1.527965224676162e-5,0
-4.5,1.5983741106905475e-5,0
-4.49,1.671860255236507e-5,0
-4.48,1.7485501026639135e-5,0
-4.47,1.828574920954738e-5,0
-4.46,1.9120709692817737e-5,0
-4.45,1.999179670692279e-5,0
-4.4399999999999995,2.0900477900450482e-05,0
-4.43,2.184827617331647e-5,0
-4.42,2.283677156514692e-5,0
-4.41,2.38676032001796e-5,0
-4.4,2.4942471290053535e-5,0
-4.39,2.6063139195878342e-5,0
-4.38,2.723143555099261e-5,0
-4.37,2.8449256445844305e-5,0
-4.36,2.97185676764422e-5,0
-4.35,3.1041407057850266e-5,0
-4.34,3.241988680421378e-5,0
-4.33,3.385619597682789e-5,0
-4.32,3.5352603001773097e-05,0
-4.31,3.6911458258666195e-5,0
-4.3,3.853519674208713e-5,0
-4.29,4.022634079726497e-5,0
-4.28,4.198750293161732e-5,0
-4.27,4.382138870375812e-5,0
-4.26,4.5730799691601314e-5,0
-4.25,4.771863654120495e-5,0
-4.24,4.978790209801209e-5,0
-4.23,5.194170462215977e-5,0
-4.22,5.4183261089540144e-5,0
-4.21,5.651590058030741e-5,0
-4.2,5.8943067756539855e-5,0
-4.1899999999999995,6.146832643076943e-5,0
-4.18,6.40953632271061e-5,0
-4.17,6.682799133669061e-5,0
-4.16,6.967015436921433e-5,0
-4.15,7.262593030225232e-5,0
-4.14,7.569953553016121e-5,0
-4.13,7.889532901429309e-5,0
-4.12,8.2217816536286e-5,0
-4.11,8.567165505618186e-5,0
-4.1,8.926165717713293e-5,0
-4.09,9.299279571844591e-5,0
-4.08,9.687020839871926e-5,0
-4.07,1.0089920263081441e-4,0
-4.06,1.0508526043040047e-4,0
-4.05,1.0943404343980055e-4,0
-4.04,1.1395139806886461e-4,0
-4.03,1.1864336075456578e-4,0
-4.02,1.2351616334102368e-4,0
-4.01,1.2857623858162108e-4,0
-4,1.3383022576488537e-4,0
-3.99,1.3928497646575994e-4,0
-3.98,1.4494756042389106e-4,0
-3.9699999999999998,1.5082527155051807e-4,0
-3.96,1.5692563406553226e-4,0
-3.95,1.63256408766242e-4,0
-3.94,1.6982559942934359e-4,0
-3.9299999999999997,1.7664145934757122e-4,0
-3.92,1.837124980024571e-4,0
-3.91,1.9104748787459762e-4,0
-3.9,1.9865547139277272e-4,0
-3.8899999999999997,2.0654576802322586e-4,0
-3.88,2.1472798150036704e-4,0
-3.87,2.2321200720010206e-4,0
-3.86,2.3200803965694238e-4,0
-3.8499999999999996,2.4112658022599367e-4,0
-3.84,2.5057844489086075e-4,0
-3.83,2.6037477221844247e-4,0
-3.8200000000000003,2.7052703146152073e-4,0
-3.81,2.810470308099863e-4,0
-3.8,2.9194692579146027e-4,0
-3.79,3.0323922782200417e-4,0
-3.7800000000000002,3.1493681290752155e-4,0
-3.77,3.27052930496375e-4,0
-3.76,3.396012124836548e-4,0
-3.75,3.525956823674454e-4,0
-3.74,3.6605076455733496e-4,0
-3.73,3.799812938353214e-4,0
-3.7199999999999998,3.944025249691569e-4,0
-3.71,0.00040933014247807883,0
-3.7,4.2478027055075143e-4,0
-3.69,4.407694831151325e-4,0
-3.6799999999999997,4.573148140598576e-4,0
-3.67,4.7443376760662064e-4,0
-3.66,4.921443288328931e-4,0
-3.65,5.104649743441856e-4,0
-3.6399999999999997,5.294146830949356e-4,0
-3.63,5.490129473569587e-4,0
-3.62,5.692797838342526e-4,0
-3.61,5.902357449227856e-4,0
-3.5999999999999996,6.11901930113773e-4,0
-3.59,6.342999975387576e-4,0
-3.58,6.574521756546765e-4,0
-3.5700000000000003,6.813812750668915e-4,0
-3.56,7.061107004880362e-4,0
-3.55,7.316644628303109e-4,0
-3.54,7.580671914287103e-4,0
-3.5300000000000002,7.853441463924686e-4,0
-3.52,8.135212310818084e-4,0
-3.51,8.426250047069027e-4,0
-3.5,8.726826950457602e-4,0
-3.49,9.037222112775245e-4,0
-3.48,9.357721569274798e-4,0
-3.4699999999999998,9.688618429198468e-4,0
-3.46,0.0010030213007342376,0
-3.45,0.0010382812956614103,0
-3.44,0.0010746733401537356,0
-3.4299999999999997,0.001112229707265567,0
-3.42,0.0011509834441784845,0
-3.41,0.0011909683858061166,0
-3.4,0.00123221916847302,0
-3.3899999999999997,0.0012747712436618351,0
-3.38,0.0013186608918227423,0
-3.37,0.0013639252362389036,0
-3.36,0.0014106022569413848,0
-3.3499999999999996,0.0014587308046667472,0
-3.34,0.0015083506148503073,0
-3.33,0.0015595023216476915,0
-3.3200000000000003,0.0016122274719771231,0
-3.31,0.0016665685395745797,0
-3.3,0.0017225689390536812,0
-3.29,0.0017802730399618786,0
-3.2800000000000002,0.0018397261808242775,0
-3.27,0.0019009746831660803,0
-3.26,0.001964065865504376,0
-3.25,0.002029048057299768,0
-3.24,0.002095970612857942,0
-3.23,0.002164883925171062,0
-3.2199999999999998,0.0022358394396885424,0
-3.21,0.0023088896680064958,0
-3.2,0.0023840882014648404,0
-3.19,0.0024614897246407006,0
-3.1799999999999997,0.002541150028726526,0
-3.17,0.0026231260247810244,0
-3.16,0.0027074757568407,0
-3.15,0.002794258414879447,0
-3.1399999999999997,0.0028835343476034414,0
-3.13,0.0029753650750682535,0
-3.12,0.0030698133011047403,0
-3.11,0.003166942925540081,0
-3.0999999999999996,0.0032668190561999247,0
-3.09,0.0033695080206774812,0
-3.08,0.0034750773778549375,0
-3.0700000000000003,0.0035835959291623588,0
-3.06,0.003695133729559035,0
-3.05,0.0038097620982218104,0
-3.04,0.003927553628924779,0
-3.0300000000000002,0.0040485822000944265,0
-3.02,0.004172922984523962,0
-3.01,0.00430065245873045,0
-3,0.0044318484119380075,0
-2.9899999999999998,0.004566589954670149,0
-2.98,0.004704957526933979,0
-2.9699999999999998,0.004847032905978953,0
-2.96,0.004992899213612376,0
-2.95,0.005142640923053939,0
-2.94,0.00529634386531102,0
-2.93,0.005454095235056545,0
-2.92,0.005615983595990969,0
-2.91,0.005782098885669473,0
-2.9,0.005952532419775854,0
-2.89,0.006127376895823687,0
-2.88,0.0063067263962659275,0
-2.87,0.006490676390993364,0
-2.86,0.00667932373920262,0
-2.85,0.006872766690613971,0
-2.84,0.007071104886019449,0
-2.83,0.007274439357141218,0
-2.82,0.007482872525780564,0
-2.81,0.007696508202237322,0
-2.8,0.007915451582979969,0
-2.79,0.008139809247546021,0
-2.78,0.008369689154653033,0
-2.77,0.008605200637499671,0
-2.76,0.008846454398237232,0
-2.75,0.009093562501591053,0
-2.7399999999999998,0.009346638367612292,0
-2.73,0.009605796763539587,0
-2.7199999999999998,0.009871153794751144,0
-2.71,0.010142826894787077,0
-2.6999999999999997,0.010420934814422605,0
-2.69,0.010705597609772187,0
-2.68,0.010996936629405572,0
-2.67,0.011295074500456135,0
-2.66,0.01160013511370256,0
-2.65,0.01191224360760518,0
-2.64,0.012231526351277971,0
-2.63,0.012558110926378211,0
-2.62,0.012892126107895304,0
-2.61,0.013233701843821374,0
-2.6,0.013582969233685613,0
-2.59,0.013940060505935825,0
-2.58,0.01430510899414969,0
-2.57,0.014678249112060044,0
-2.56,0.01505961632737745,0
-2.55,0.015449347134395174,0
-2.54,0.015847579025360818,0
-2.53,0.016254450460600506,0
-2.52,0.016670100837381057,0
-2.51,0.017094670457496956,0
-2.5,0.01752830049356854,0
-2.4899999999999998,0.01797113295403965,0
-2.48,0.01842331064686205,0
-2.4699999999999998,0.018884977141856187,0
-2.46,0.01935627673173696,0
-2.4499999999999997,0.019837354391795337,0
-2.44,0.020328355738225837,0
-2.43,0.020829426985092186,0
-2.42,0.021340714899922782,0
-2.41,0.021862366757929387,0
-2.4,0.0223945302948429,0
-2.39,0.022937353658360693,0
-2.38,0.023490985358201363,0
-2.37,0.02405557421476297,0
-2.36,0.024631269306382507,0
-2.35,0.025218219915194382,0
-2.34,0.02581657547158769,0
-2.33,0.02642648549726172,0
-2.32,0.027048099546881785,0
-2.31,0.027681567148336573,0
-2.3,0.028327037741601186,0
-2.29,0.028984660616209412,0
-2.28,0.029654584847341278,0
-2.27,0.030336959230531636,0
-2.26,0.03103193221500827,0
-2.25,0.03173965183566742,0
-2.2399999999999998,0.03246026564369747,0
-2.23,0.03319392063586112,0
-2.2199999999999998,0.033940763182449214,0
-2.21,0.03470093895391882,0
-2.1999999999999997,0.03547459284623146,0
-2.19,0.03626186890490622,0
-2.18,0.037062910247806474,0
-2.17,0.03787785898667748,0
-2.16,0.03870685614745561,0
-2.15,0.03955004158937022,0
-2.14,0.04040755392286031,0
-2.13,0.04127953042633042,0
-2.12,0.04216610696177031,0
-2.11,0.043067417889265734,0
-2.1,0.04398359598042719,0
-2.09,0.0449147723307671,0
-2.08,0.04586107627105489,0
-2.07,0.04682263527768316,0
-2.06,0.047799574882077034,0
-2.05,0.048792018579182764,0
-2.04,0.049800087735070775,0
-2.03,0.050823901493691204,0
-2.02,0.051863576682820565,0
-2.01,0.05291922771924031,0
-2,0.05399096651318806,0
-1.9899999999999998,0.05507890237212579,0
-1.98,0.05618314190386805,0
-1.9699999999999998,0.05730378891911715,0
-1.96,0.05844094433345147,0
-1.9499999999999997,0.05959470606881611,0
-1.94,0.060765168954564776,0
-1.9299999999999997,0.06195242462810519,0
-1.92,0.06315656143519865,0
-1.9100000000000001,0.06437766432996934,0
-1.9,0.0656158147746766,0
-1.8900000000000001,0.06687109063930714,0
-1.88,0.06814356610104458,0
-1.87,0.06943331154367419,0
-1.8599999999999999,0.0707403934569834,0
-1.85,0.072064874336217985,0
-1.8399999999999999,0.07340681258165692,0
-1.83,0.0747662623983676,0
-1.8199999999999998,0.07614327369620735,0
-1.81,0.07753789199013399,0
-1.7999999999999998,0.07895015830089418,0
-1.79,0.08038010905615417,0
-1.7799999999999998,0.08182777599214285,0
-1.77,0.08329318605587446,0
-1.7599999999999998,0.084776361308022255,0
-1.75,0.08627731882651153,0
-1.7399999999999998,0.08779607061090566,0
-1.73,0.089332623487655,0
-1.7199999999999998,0.0908869790162829,0
-1.71,0.09245913339658068,0
-1.6999999999999997,0.09404907737688697,0
-1.69,0.09565679616352402,0
-1.6799999999999997,0.09728226933146754,0
-1.67,0.09892547073632371,0
-1.6600000000000001,0.10058636842769055,0
-1.65,0.10226492456397804,0
-1.6400000000000001,0.10396109532876419,0
-1.63,0.10567483084876363,0
-1.62,0.1074060751134838,0
-1.6099999999999999,0.1091547658966474,0
-1.6,0.11092083467945554,0
-1.5899999999999999,0.1127042065757706,0
-1.58,0.11450480025929236,0
-1.5699999999999998,0.11632252789280711,0
-1.56,0.11815729505958227,0
-1.5499999999999998,0.12000900069698565,0
-1.54,0.12187753703240178,0
-1.5299999999999998,0.12376278952152316,0
-1.52,0.12566463678908815,0
-1.5099999999999998,0.12758295057214192,0
-1.5,0.12951759566589174,0
-1.4899999999999998,0.13146842987223106,0
-1.48,0.1334353039510023,0
-1.4699999999999998,0.13541806157407132,0
-1.46,0.13741653928228179,0
-1.4499999999999997,0.1394305664453603,0
-1.44,0.14145996522483878,0
-1.4299999999999997,0.14350455054006248,0
-1.42,0.1455641300373476,0
-1.4100000000000001,0.14763850406235568,0
-1.4,0.14972746563574488,0
-1.3900000000000001,0.15183080043216163,0
-1.38,0.15394828676263372,0
-1.37,0.15607969556042084,0
-1.3599999999999999,0.15822479037038306,0
-1.35,0.1603833273419196,0
-1.3399999999999999,0.16255505522553418,0
-1.33,0.1647397153730768,0
-1.3199999999999998,0.16693704174171387,0
-1.31,0.16914676090167238,0
-1.2999999999999998,0.1713685920478074,0
-1.29,0.173602247015033,0
-1.2799999999999998,0.17584743029766242,0
-1.27,0.1781038390726936,0
-1.2599999999999998,0.18037116322708038,0
-1.25,0.18264908538902191,0
-1.2399999999999998,0.18493728096330536,0
-1.23,0.18723541817072956,0
-1.2199999999999998,0.1895431580916403,0
-1.21,0.19186015471359938,0
-1.1999999999999997,0.19418605498321304,0
-1.19,0.19652049886213654,0
-1.1799999999999997,0.19886311938727594,0
-1.17,0.2012135427351974,0
-1.1600000000000001,0.20357138829075938,0
-1.15,0.20593626871997478,0
-1.1400000000000001,0.2083077900471083,0
-1.13,0.21068555173601533,0
-1.12,0.21306914677571784,0
-1.1099999999999999,0.21545816177021973,0
-1.1,0.21785217703255053,0
-1.0899999999999999,0.22025076668303334,0
-1.08,0.22265349875176113,0
-1.0699999999999998,0.2250599352852697,0
-1.06,0.2274696324573859,0
-1.0499999999999998,0.2298821406842331,0
-1.04,0.2322970047433662,0
-1.0299999999999998,0.23471376389701187,0
-1.02,0.2371319520193796,0
-1.0099999999999998,0.2395510977280134,0
-1,0.24197072451914337,0
-0.9900000000000002,0.24439035090699954,0
-0.9799999999999995,0.24680949056704282,0
-0.9699999999999998,0.249227652483066,0
-0.96,0.2516443410981171,0
-0.9500000000000002,0.25405905646918897,0
-0.9399999999999995,0.2564712944256205,0
-0.9299999999999997,0.2588805467311489,0
-0.9199999999999999,0.26128630124955315,0
-0.9100000000000001,0.26368804211381813,0
-0.9000000000000004,0.26608524989875476,0
-0.8899999999999997,0.2684774017970024,0
-0.8799999999999999,0.27086397179833804,0
-0.8700000000000001,0.2732444308722162,0
-0.8600000000000003,0.2756182471534566,0
-0.8499999999999996,0.2779848861309966,0
-0.8399999999999999,0.2803438108396206,0
-0.8300000000000001,0.28269448205458025,0
-0.8200000000000003,0.28503635848900716,0
-0.8099999999999996,0.2873688969940284,0
-0.7999999999999998,0.2896915527614828,0
-0.79,0.2920037795291414,0
-0.7800000000000002,0.29430502978832507,0
-0.7699999999999996,0.2965947549938158,0
-0.7599999999999998,0.29887240577595287,0
-0.75,0.30113743215480443,0
-0.7400000000000002,0.3033892837563001,0
-0.7299999999999995,0.30562741003021,0
-0.7199999999999998,0.307851260469853,0
-0.71,0.31006028483341613,0
-0.7000000000000002,0.3122539333667612,0
-0.6899999999999995,0.3144316570275974,0
-0.6799999999999997,0.3165929077108929,0
-0.6699999999999999,0.3187371384754016,0
-0.6600000000000001,0.32086380377117246,0
-0.6499999999999995,0.32297235966791443,0
-0.6399999999999997,0.3250622640840822,0
-0.6299999999999999,0.32713297701655447,0
-0.6200000000000001,0.3291839607707648,0
-0.6100000000000003,0.33121468019115285,0
-0.5999999999999996,0.3332246028917997,0
-0.5899999999999999,0.33521319948710615,0
-0.5800000000000001,0.33717994382238053,0
-0.5700000000000003,0.3391243132041921,0
-0.5599999999999996,0.3410457886303527,0
-0.5499999999999998,0.3429438550193839,0
-0.54,0.34481800143933333,0
-0.5300000000000002,0.3466677213357916,0
-0.5199999999999996,0.3484925127589746,0
-0.5099999999999998,0.3502918785897259,0
-0.5,0.3520653267642995,0
-0.4900000000000002,0.35381237049777964,0
-0.47999999999999954,0.35553252850599715,0
-0.46999999999999975,0.35722532522580086,0
-0.45999999999999996,0.35889029103354464,0
-0.4500000000000002,0.36052696246164795,0
-0.4399999999999995,0.36213488241309233,0
-0.4299999999999997,0.3637136003737135,0
-0.41999999999999993,0.3652626726221539,0
-0.41000000000000014,0.3667816624373361,0
-0.39999999999999947,0.3682701403033234,0
-0.3899999999999997,0.3697276841114324,0
-0.3799999999999999,0.37115387935946603,0
-0.3700000000000001,0.3725483193479334,0
-0.3600000000000003,0.37391060537312837,0
-0.34999999999999964,0.375240346916938,0
-0.33999999999999986,0.376537161833254,0
-0.33000000000000007,0.3778006765308646,0
-0.3200000000000003,0.37903052615270166,0
-0.3099999999999996,0.380226354751325,0
-0.2999999999999998,0.38138781546052414,0
-0.29000000000000004,0.38251457066292405,0
-0.28000000000000025,0.3836062921534785,0
-0.2699999999999996,0.3846626612987428,0
-0.2599999999999998,0.3856833691918161,0
-0.25,0.38666811680284924,0
-0.2400000000000002,0.3876166151250141,0
-0.22999999999999954,0.38852858531583595,0
-0.21999999999999975,0.38940375883379047,0
-0.20999999999999996,0.3902418775700743,0
-0.20000000000000018,0.3910426939754559,0
-0.1899999999999995,0.3918059711821211,0
-0.17999999999999972,0.39253148312042896,0
-0.16999999999999993,0.3932190146304972,0
-0.16000000000000014,0.3938683615685408,0
-0.14999999999999947,0.39447933090788895,0
-0.13999999999999968,0.3950517408346113,0
-0.1299999999999999,0.3955854208376874,0
-0.1200000000000001,0.3960802117936561,0
-0.11000000000000032,0.39653596604568575,0
-0.09999999999999964,0.3969525474770118,0
-0.08999999999999986,0.39732983157868834,0
-0.08000000000000007,0.39766770551160885,0
-0.07000000000000028,0.39796606816275104,0
-0.05999999999999961,0.39822483019560695,0
-0.04999999999999982,0.39844391409476404,0
-0.040000000000000036,0.39862325420460504,0
-0.03000000000000025,0.3987627967620997,0
-0.019999999999999574,0.3988624999236661,0
-0.009999999999999787,0.39892233378608216,0
0,0.3989422804014327,0
0.009999999999999787,0.39892233378608216,9.902386649591006e-4
0.020000000000000462,0.3988624999236661,0.009477094232346307
0.03000000000000025,0.3987627967620997,0.028428736991359924
0.040000000000000036,0.39862325420460504,0.05609865194197916
0.04999999999999982,0.39844391409476404,0.08977828149896792
0.0600000000000005,0.3982248301956069,0.12705086676108215
0.07000000000000028,0.39796606816275104,0.16604267119190436
0.08000000000000007,0.39766770551160885,0.20538634140584125
0.08999999999999986,0.39732983157868834,0.24412034656279283
0.10000000000000053,0.39695254747701175,0.28159018901526994
0.11000000000000032,0.39653596604568575,0.31736749345402604
0.1200000000000001,0.3960802117936561,0.35118795009457904
0.1299999999999999,0.3955854208376874,0.38290505478968423
0.13999999999999968,0.3950517408346113,0.41245607701966897
0.15000000000000036,0.3944793309078889,0.4398371796316794
0.16000000000000014,0.3938683615685408,0.46508528570535773
0.16999999999999993,0.3932190146304972,0.48826488849184047
0.17999999999999972,0.39253148312042896,0.50945847576765
0.1900000000000004,0.39180597118212107,0.5287595977366077
0.20000000000000018,0.3910426939754559,0.5462678707581804
0.20999999999999996,0.3902418775700743,0.5620854007394899
0.21999999999999975,0.38940375883379047,0.5763142489661988
0.23000000000000043,0.3885285853158359,0.5890546639160471
0.2400000000000002,0.3876166151250141,0.600403875828965
0.25,0.38666811680284924,0.6104553041901832
0.2599999999999998,0.3856833691918161,0.6192980673392766
0.27000000000000046,0.38466266129874277,0.6270167121041906
0.28000000000000025,0.3836062921534785,0.6336911025101627
0.29000000000000004,0.38251457066292405,0.6393964222665754
0.2999999999999998,0.38138781546052414,0.6442032573591996
0.3100000000000005,0.3802263547513249,0.6481777337348908
