Strike,Last,Theor.,IV,Delta,Gamma,Theta,Vega,Rho,Volume,"Open Int",Vol/OI,Type,"Last Trade","Avg IV"
200.00,"5,413.04",0.00,0.00%,0.00000,0.00000,0.00000,0.00000,0.00000,11,443,0.02,Call,"14:54 ET",17.95%
400.00,"5,703.84",0.00,0.00%,0.00000,0.00000,0.00000,0.00000,0.00000,0,34,0.00,Call,02/14/25,17.95%
600.00,"5,255.88",0.00,0.00%,0.00000,0.00000,0.00000,0.00000,0.00000,0,3,0.00,Call,11/15/24,17.95%
800.00,"4,820.39","4,823.60",107.91%,0.99994,0.00000,-0.09796,0.00687,2.03637,6,111,0.05,Call,"14:54 ET",17.95%
"1,000.00","4,549.72",0.00,0.00%,0.00000,0.00000,0.00000,0.00000,0.00000,0,"1,880",0.00,Call,03/11/25,17.95%
"1,200.00","4,428.71","4,428.50",102.14%,0.99944,0.00000,-0.17142,0.05662,3.04658,0,65,0.00,Call,03/14/25,17.95%
"1,400.00",0.00,"4,230.90",94.69%,0.99919,0.00000,-0.20376,0.07895,3.55192,0,0,0.00,Call,N/A,17.95%
"1,600.00",0.00,"4,033.40",88.68%,0.99881,0.00000,-0.24027,0.11246,4.05505,0,0,0.00,Call,N/A,17.95%
"1,800.00","4,063.21","3,835.90",82.75%,0.99839,0.00000,-0.27592,0.14880,4.55751,0,1,0.00,Call,10/28/24,17.95%
"1,900.00",0.00,"3,737.20",80.16%,0.99810,0.00000,-0.29560,0.17270,4.80754,0,0,0.00,Call,N/A,17.95%
"2,000.00","3,812.00",0.00,0.00%,0.00000,0.00000,0.00000,0.00000,0.00000,0,"2,252",0.00,Call,03/05/25,17.95%
"2,100.00","3,075.80","3,539.90",75.42%,0.99736,0.00000,-0.33818,0.23242,5.30498,0,4,0.00,Call,04/29/24,17.95%
"2,200.00","3,714.43","3,441.20",72.83%,0.99702,0.00000,-0.35698,0.25953,5.55419,0,4,0.00,Call,01/08/25,17.95%
"2,300.00","3,221.90","3,342.60",70.62%,0.99654,0.00001,-0.37937,0.29689,5.80116,0,2,0.00,Call,09/09/24,17.95%
"2,400.00","3,238.55","3,244.00",68.38%,0.99603,0.00001,-0.40134,0.33569,6.04773,0,351,0.00,Call,03/12/25,17.95%
"2,500.00","3,580.14","3,145.40",66.14%,0.99549,0.00001,-0.42291,0.37610,6.29387,0,1,0.00,Call,02/12/25,17.95%
"2,600.00",0.00,"3,046.90",64.14%,0.99479,0.00001,-0.44760,0.42723,6.53751,0,0,0.00,Call,N/A,17.95%
"2,700.00","2,909.60","2,948.40",62.10%,0.99406,0.00001,-0.47173,0.48033,6.78057,0,1,0.00,Call,03/10/25,17.95%
"2,800.00","2,840.95","2,849.90",60.05%,0.99328,0.00001,-0.49533,0.53562,7.02299,1,9,0.11,Call,"10:23 ET",17.95%
"2,900.00",0.00,"2,751.50",58.15%,0.99233,0.00001,-0.52159,0.60226,7.26258,0,0,0.00,Call,N/A,17.95%
"3,000.00","2,722.59",0.00,0.00%,0.00000,0.00000,0.00000,0.00000,0.00000,0,"2,666",0.00,Call,03/17/25,17.95%
"3,100.00","2,541.99",0.00,0.00%,0.00000,0.00000,0.00000,0.00000,0.00000,42,3,14.00,Call,"15:08 ET",17.95%
"3,150.00",0.00,"2,505.70",53.53%,0.98940,0.00002,-0.59010,0.79905,7.85332,0,0,0.00,Call,N/A,17.95%
"3,200.00",0.00,"2,456.50",52.53%,0.98882,0.00002,-0.60204,0.83741,7.97154,0,0,0.00,Call,N/A,17.95%
"3,250.00","2,721.00","2,407.40",51.65%,0.98807,0.00002,-0.61665,0.88549,8.08725,0,4,0.00,Call,12/23/24,17.95%
"3,300.00","2,321.64","2,358.30",50.75%,0.98731,0.00002,-0.63101,0.93457,8.20262,0,2,0.00,Call,03/10/25,17.95%
"3,350.00",0.00,"2,309.20",49.85%,0.98652,0.00002,-0.64512,0.98470,8.31763,0,0,0.00,Call,N/A,17.95%
"3,400.00","2,522.81","2,260.20",49.03%,0.98556,0.00003,-0.66166,1.04462,8.42999,0,1,0.00,Call,10/28/24,17.95%
"3,450.00",0.00,"2,211.10",48.11%,0.98471,0.00003,-0.67522,1.09708,8.54420,0,0,0.00,Call,N/A,17.95%
"3,500.00","2,075.00","2,162.00",47.18%,0.98384,0.00003,-0.68853,1.15082,8.65797,0,27,0.00,Call,03/13/25,17.95%
"3,550.00",0.00,"2,113.00",46.33%,0.98279,0.00003,-0.70414,1.21454,8.76897,0,0,0.00,Call,N/A,17.95%
"3,600.00","2,040.00","2,054.95",30.09%,0.99889,0.00000,-0.43942,0.10558,9.15132,0,50,0.00,Call,03/12/25,17.95%
"3,650.00","2,339.20","2,005.95",31.98%,0.99747,0.00001,-0.46551,0.22400,9.25690,0,7,0.00,Call,12/23/24,17.95%
"3,700.00","2,400.50","1,956.95",32.68%,0.99614,0.00001,-0.48915,0.32680,9.36399,0,411,0.00,Call,02/05/25,17.95%
"3,725.00","2,274.71","1,932.45",32.84%,0.99550,0.00001,-0.50038,0.37531,9.41775,0,1,0.00,Call,02/27/25,17.95%
"3,750.00","2,188.32","1,907.95",32.92%,0.99486,0.00002,-0.51130,0.42258,9.47159,0,36,0.00,Call,10/28/24,17.95%
"3,775.00",0.00,"1,883.45",32.93%,0.99422,0.00002,-0.52194,0.46893,9.52544,0,0,0.00,Call,N/A,17.95%
"3,800.00","2,109.26","1,859.05",33.09%,0.99333,0.00002,-0.53575,0.53199,9.57548,0,124,0.00,Call,01/10/25,17.95%
"3,825.00",0.00,"1,834.55",33.00%,0.99270,0.00002,-0.54583,0.57672,9.62935,0,0,0.00,Call,N/A,17.95%
"3,850.00","1,785.43","1,810.15",33.04%,0.99181,0.00002,-0.55894,0.63750,9.67945,0,74,0.00,Call,03/10/25,17.95%
"3,875.00",0.00,"1,785.65",32.88%,0.99117,0.00003,-0.56857,0.68145,9.73320,0,0,0.00,Call,N/A,17.95%
"3,900.00","1,886.41","1,761.25",32.83%,0.99028,0.00003,-0.58109,0.74087,9.78324,0,12,0.00,Call,03/07/25,17.95%
"3,925.00",0.00,"1,736.75",32.62%,0.98962,0.00003,-0.59032,0.78455,9.83680,0,0,0.00,Call,N/A,17.95%
"3,950.00","1,213.15","1,712.35",32.52%,0.98873,0.00003,-0.60233,0.84326,9.88667,0,5,0.00,Call,01/31/24,17.95%
"3,975.00",0.00,"1,687.95",32.38%,0.98782,0.00003,-0.61408,0.90163,9.93644,0,0,0.00,Call,N/A,17.95%
