Strike,Latest,Theor.,IV,Delta,Gamma,Theta,Vega,Rho,Volume,"Open Int",Vol/OI,"ITM Prob",Type,"Last Trade"
200.00,"6,361.66","6,322.60",361.90%,0.9978,0.0000,-0.4700,0.2227,0.4134,2,"1,874",0.00,97.43%,Call,03/20/26
400.00,"6,092.36","6,126.60",285.50%,0.9964,0.0000,-0.5887,0.3444,0.8695,10,24,0.42,97.61%,Call,03/20/26
600.00,0.00,"5,928.70",240.93%,0.9954,0.0000,-0.6376,0.4298,1.3361,0,0,0.00,97.74%,Call,N/A
800.00,0.00,"5,730.70",210.76%,0.9945,0.0000,-0.6740,0.5055,1.8044,0,0,0.00,97.80%,Call,N/A
"1,000.00","5,500.46","5,531.40",185.83%,0.9940,0.0000,-0.6696,0.5500,2.2817,"1,019",11,92.64,97.94%,Call,03/20/26
"1,200.00","5,500.00","5,334.45",169.69%,0.9928,0.0000,-0.7266,0.6420,2.7436,0,77,0.00,97.82%,Call,03/13/26
"1,400.00","5,534.85","5,137.30",155.89%,0.9916,0.0000,-0.7760,0.7330,3.2057,0,3,0.00,97.70%,Call,01/16/26
"1,600.00","4,788.90","4,938.80",142.35%,0.9909,0.0000,-0.7870,0.7918,3.6775,0,2,0.00,97.70%,Call,08/20/25
"1,800.00",0.00,"4,741.80",132.27%,0.9895,0.0000,-0.8372,0.8940,4.1362,0,0,0.00,97.54%,Call,N/A
"2,000.00","4,724.95","4,542.90",121.26%,0.9888,0.0000,-0.8353,0.9433,4.6106,0,"1,966",0.00,97.56%,Call,03/17/26
"2,200.00","4,521.11","4,346.10",113.43%,0.9872,0.0000,-0.8883,1.0618,5.0646,0,4,0.00,97.36%,Call,03/12/26
"2,300.00","3,944.91","4,247.40",109.48%,0.9865,0.0000,-0.9063,1.1138,5.2937,0,2,0.00,97.28%,Call,07/01/25
"2,400.00","4,284.54","4,148.80",105.78%,0.9857,0.0000,-0.9265,1.1708,5.5213,0,3,0.00,97.19%,Call,03/18/26
"2,500.00","4,176.92","4,050.45",102.42%,0.9847,0.0000,-0.9527,1.2383,5.7458,0,0,0.00,97.07%,Call,10/17/25
"2,600.00","3,990.20","3,951.85",98.97%,0.9838,0.0000,-0.9720,1.2992,5.9722,0,39,0.00,96.97%,Call,03/19/26
"2,700.00",0.00,"3,852.95",95.43%,0.9831,0.0000,-0.9835,1.3511,6.2014,0,1,0.00,96.90%,Call,N/A
"2,800.00",0.00,"3,754.70",92.46%,0.9819,0.0000,-1.0107,1.4289,6.4227,0,0,0.00,96.76%,Call,N/A
"2,900.00","3,442.65","3,656.20",89.41%,0.9808,0.0000,-1.0312,1.4999,6.6461,0,1,0.00,96.64%,Call,07/09/25
"3,000.00","3,525.46","3,556.55",85.70%,0.9804,0.0000,-1.0237,1.5287,6.8822,408,"4,506",0.09,96.63%,Call,03/20/26
"3,100.00","3,186.77","3,459.00",83.44%,0.9787,0.0000,-1.0660,1.6417,7.0927,0,4,0.00,96.40%,Call,07/01/25
"3,200.00","3,397.21","3,360.70",80.75%,0.9774,0.0000,-1.0897,1.7285,7.3111,2,17,0.12,96.24%,Call,03/20/26
"3,300.00","3,298.18","3,262.55",78.20%,0.9758,0.0000,-1.1161,1.8245,7.5266,0,4,0.00,96.06%,Call,03/19/26
"3,350.00","3,123.81","3,213.45",76.93%,0.9751,0.0000,-1.1285,1.8728,7.6342,0,2,0.00,95.97%,Call,07/25/25
"3,400.00","3,503.04","3,164.00",75.48%,0.9745,0.0000,-1.1328,1.9078,7.7460,0,348,0.00,95.92%,Call,02/26/26
"3,450.00","3,455.48","3,115.25",74.42%,0.9735,0.0000,-1.1526,1.9721,7.8485,0,41,0.00,95.79%,Call,03/04/26
"3,500.00","3,215.50","3,066.25",73.23%,0.9726,0.0000,-1.1665,2.0273,7.9538,0,4,0.00,95.68%,Call,03/18/26
"3,550.00","3,074.33","3,017.05",71.95%,0.9718,0.0000,-1.1758,2.0753,8.0614,0,3,0.00,95.59%,Call,03/19/26
"3,600.00","3,235.52","2,968.30",70.90%,0.9707,0.0000,-1.1947,2.1428,8.1628,0,5,0.00,95.45%,Call,12/18/25
"3,650.00",0.00,"2,919.15",69.67%,0.9699,0.0000,-1.2047,2.1949,8.2690,0,0,0.00,95.36%,Call,N/A
"3,700.00","3,138.79","2,869.80",68.36%,0.9691,0.0000,-1.2103,2.2397,8.3775,0,2,0.00,95.28%,Call,12/18/25
"3,750.00","3,096.00","2,820.95",67.28%,0.9680,0.0000,-1.2262,2.3066,8.4789,0,3,0.00,95.14%,Call,12/19/25
"3,800.00",0.00,"2,771.80",66.07%,0.9671,0.0000,-1.2356,2.3620,8.5839,0,0,0.00,95.04%,Call,N/A
"3,850.00","2,546.99","2,723.15",65.09%,0.9657,0.0000,-1.2550,2.4397,8.6815,0,3,0.00,94.87%,Call,07/15/25
"3,875.00",0.00,"2,698.65",64.52%,0.9652,0.0000,-1.2609,2.4717,8.7326,0,0,0.00,94.81%,Call,N/A
"3,900.00",0.00,"2,673.40",63.66%,0.9652,0.0000,-1.2517,2.4722,8.7940,0,0,0.00,94.83%,Call,N/A
"3,925.00",0.00,"2,649.70",63.42%,0.9640,0.0000,-1.2737,2.5388,8.8336,0,0,0.00,94.67%,Call,N/A
"3,950.00",0.00,"2,624.90",62.74%,0.9637,0.0000,-1.2735,2.5590,8.8885,0,0,0.00,94.64%,Call,N/A
"3,975.00",0.00,"2,600.80",62.34%,0.9628,0.0000,-1.2872,2.6093,8.9334,0,0,0.00,94.53%,Call,N/A
"4,000.00","2,544.31","2,575.95",61.64%,0.9625,0.0000,-1.2859,2.6281,8.9888,"6,003","4,438",1.35,94.50%,Call,03/20/26
"4,025.00",0.00,"2,551.60",61.15%,0.9618,0.0000,-1.2944,2.6685,9.0369,0,0,0.00,94.42%,Call,N/A
"4,050.00",0.00,"2,527.45",60.72%,0.9609,0.0000,-1.3067,2.7178,9.0820,0,0,0.00,94.31%,Call,N/A
"4,075.00",0.00,"2,502.90",60.15%,0.9603,0.0000,-1.3112,2.7505,9.1327,0,0,0.00,94.24%,Call,N/A
"4,100.00","2,776.17","2,478.45",59.61%,0.9597,0.0000,-1.3174,2.7878,9.1818,0,144,0.00,94.17%,Call,12/16/25
"4,125.00",0.00,"2,454.00",59.08%,0.9590,0.0000,-1.3236,2.8254,9.2308,0,0,0.00,94.09%,Call,N/A
"4,150.00",0.00,"2,429.60",58.57%,0.9583,0.0000,-1.3307,2.8657,9.2788,0,6,0.00,94.00%,Call,N/A
"4,175.00",0.00,"2,405.20",58.05%,0.9575,0.0000,-1.3377,2.9063,9.3267,0,0,0.00,93.92%,Call,N/A
"4,200.00","2,508.00","2,380.55",57.45%,0.9570,0.0000,-1.3398,2.9366,9.3781,0,2,0.00,93.86%,Call,09/11/25
"4,225.00",0.00,"2,356.50",57.06%,0.9560,0.0001,-1.3531,2.9931,9.4205,0,0,0.00,93.73%,Call,N/A
"4,250.00","2,279.29","2,331.95",56.49%,0.9553,0.0001,-1.3570,3.0286,9.4700,0,1,0.00,93.66%,Call,07/25/25
"4,275.00",0.00,"2,307.65",56.01%,0.9545,0.0001,-1.3654,3.0752,9.5157,0,0,0.00,93.56%,Call,N/A
"4,300.00","2,232.93","2,283.35",55.53%,0.9536,0.0001,-1.3737,3.1222,9.5612,0,10,0.00,93.45%,Call,07/25/25
"4,325.00",0.00,"2,258.85",54.99%,0.9529,0.0001,-1.3782,3.1612,9.6094,0,0,0.00,93.37%,Call,N/A
"4,350.00","2,544.87","2,234.45",54.47%,0.9521,0.0001,-1.3844,3.2050,9.6560,0,2,0.00,93.28%,Call,02/19/26
"4,375.00",0.00,"2,209.80",53.88%,0.9514,0.0001,-1.3861,3.2385,9.7061,0,1,0.00,93.21%,Call,N/A
"4,400.00","2,625.02","2,185.75",53.48%,0.9503,0.0001,-1.3983,3.2982,9.7469,0,89,0.00,93.07%,Call,02/02/26
"4,425.00","2,212.92","2,161.35",52.97%,0.9494,0.0001,-1.4042,3.3434,9.7928,0,3,0.00,92.98%,Call,03/19/26
"4,450.00",0.00,"2,136.90",52.44%,0.9486,0.0001,-1.4092,3.3870,9.8393,0,0,0.00,92.88%,Call,N/A
"4,475.00","2,216.23","2,112.75",52.01%,0.9475,0.0001,-1.4192,3.4439,9.8809,0,10,0.00,92.75%,Call,11/21/25
