strike,implied_density,lognormal_density
48,5.560282944828839e-5,2.892665583264342e-9
48.1,6.760019265659648e-5,3.3899360900358146e-9
48.2,8.132604815717089e-5,3.968438926532726e-9
48.3,9.681920787641046e-5,4.640720302354535e-9
48.4,1.1414363632304994e-4,5.421146774743478e-9
48.5,1.3324867262450124e-4,6.326151274041908e-9
48.6,1.5405085161450751e-4,7.374509742747913e-9
48.7,1.765305952105416e-4,8.587651835388226e-9
48.8,2.0040052612652884e-4,9.990009467991151e-9
48.9,2.2526545955399777e-4,1.1609407375736798e-8
49,2.508114919603834e-4,1.3477500237095594e-8
49.1,2.766890628617101e-4,1.5630261354167248e-8
49.2,3.025216502082303e-4,1.81085283437552e-8
49.3,3.278830694337651e-4,2.0958611793753706e-8
49.4,3.522499329579866e-4,2.423297337642691e-8
49.5,3.751896432350628e-4,2.799098048594127e-8
49.6,3.9642729943526297e-4,3.229974508380127e-8
49.7,4.1569575820948055e-4,3.7235055094367275e-08
49.8,4.327915335154877e-4,4.288240739508195e-8
49.9,4.475820618340163e-4,4.933815219399674e-8
50,4.599379315909537e-4,5.671075938224083e-8
50.1,4.697226723836849e-4,6.51222182925316e-8
50.2,4.7728095740826254e-4,7.470958318813783e-8
50.3,4.829231897252746e-4,8.562667775086531e-8
50.4,4.869117913733587e-4,9.804597283271447e-8
50.5,4.895373447639594e-4,1.1216065278458639e-7
50.6,4.911027754948747e-4,1.281868867773621e-7
50.7,4.918905640558329e-4,1.463663226860997e-7
50.8,4.921758132188707e-4,1.66968822316979e-7
50.9,4.922727460293918e-4,1.9029545801879557e-7
51,4.922870323094911e-4,2.1668179203527002e-7
51.1,4.922506943647038e-4,2.465014613206254e-7
51.2,4.921213606277819e-4,2.801700919567713e-7
51.3,4.917843851366553e-4,3.181495687746264e-7
51.4,4.910042239664189e-4,3.609526872917242e-7
51.5,4.894224938697017e-4,4.0914821663072526e-7
51.6,4.8678266862398187e-4,4.6336640367517724e-7
51.7,4.8278318628008194e-4,5.24304950345407e-7
51.8,4.77137105751933e-4,5.927354975350174e-7
51.9,4.6958792179735675e-4,6.69510650930343e-7
52,4.5992427690369193e-4,7.555715856366913e-7
52.1,4.47768682431769e-4,8.519562682488078e-7
52.2,4.3309834966440895e-4,9.598083367210475e-7
52.3,4.16143984485479e-4,1.0803866801075213e-6
52.4,3.9707655909160456e-4,1.2150757619444878e-6
52.5,3.761215941709203e-4,1.3653967327268533e-6
52.6,3.5357220862119125e-4,1.5330193785768017e-6
52.7,3.297804433762499e-4,1.7197749548041968e-6
52.8,3.0512648357435685e-4,1.927669954602874e-6
52.9,2.802233438206994e-4,2.1589008646002096e-6
53,2.555837611154822e-4,2.415869960368701e-6
53.1,2.3170805485467935e-4,2.701202196295652e-6
53.2,2.0901842532258344e-4,3.0177632453859824e-6
