x,norm_cdf,norm_density,mixture_density,norm_density_one_two
-8,6.220960574271785e-16,5.052271083536893e-15,7.310638155233769e-23,7.991870553452737e-6
-7.95,9.32557577168123e-16,7.527687289030978e-15,1.203814753578356e-22,8.940686216162184e-6
-7.9,1.3945171466592643e-15,1.1187956214351806e-14,1.9773260968747014e-22,9.995898353461396e-6
-7.85,2.080186352139391e-15,1.6586479270623168e-14,3.2397477631526928e-22,1.1168667846038016e-5
-7.8,3.0953587719587e-15,2.452855285696432e-14,5.294907321586945e-22,1.2471235645026768e-5
-7.75,4.5946274357785954e-15,3.618294451112517e-14,8.63216614980903e-22,1.391701711460744e-5
-7.7,6.80331154077396e-15,5.324148372252952e-14,1.4037684676183239e-21,1.5520703528925133e-5
-7.65,1.0048965656526307e-14,7.814670251770007e-14,2.277117486711312e-21,1.729837115532447e-5
-7.6,1.4806537490048088e-14,1.144156490180139e-13,3.684594146352794e-21,1.9267598371043565e-5
-7.55,2.176291209708581e-14,1.6709923570383759e-13,5.947139709614026e-21,2.14475912750636e-5
-7.5,3.1908916729108963e-14,2.4343205330290096e-13,9.57504641812444e-21,2.3859318270602476e-5
-7.45,4.667011588719034e-14,3.5374908476098846e-13,1.5377576592450032e-20,2.6525654106597175e-5
-7.4,6.809224890620017e-14,5.127753636796662e-13,2.4634807525154705e-20,2.9471533878269927e-5
-7.35,9.910342749547568e-14,7.414352699704358e-13,3.936631033560711e-20,3.272411749731039e-5
-7.3,1.4388386381575877e-13,1.0693837871541648e-12,6.275011325688404e-20,3.631296515112616e-5
-7.25,2.0838581586720695e-13,1.538537950561275e-12,9.977427483454848e-20,4.027022427779707e-5
-7.2,3.0106279811174334e-13,2.2079899631371405e-12,1.5824751895641699e-19,4.4630828588566464e-5
-7.15,4.338895027178059e-13,3.160823461469059e-12,2.5036262900519466e-19,4.943270967268459e-5
-7.1,6.237844463331591e-13,4.5135436772055215e-12,3.9510848900573027e-19,5.471702171990028e-5
-7.05,8.945889558769922e-13,6.429087290753655e-12,6.219815207550662e-19,6.0528379893622196e-5
-7,1.2798125438858352e-12,9.134720408364594e-12,9.766812870442638e-19,6.691511288244268e-5
-6.95,1.8264310619769615e-12,1.2946591938319174e-11,1.5298276835313113e-18,7.392953014903679e-5
-6.9,2.6001269656381665e-12,1.830332217015573e-11,2.390267068681531e-18,8.1628204383121e-5
-6.85,3.692499427235611e-12,2.5811821449986696e-11,3.725328753531187e-18,9.007226964884439e-5
-6.8,5.230957544144594e-12,3.630961501791796e-11,5.791579798897251e-18,9.932773569638636e-5
-6.75,7.392257778017823e-12,5.094937958843684e-11,8.9813939981959e-18,1.0946581888230605e-4
-6.7,1.0420976987965181e-11,7.131328123996069e-11,1.3893277692613724e-17,1.2056329011299662e-4
-6.65,1.4654650977302757e-11,9.956717905497001e-11,2.1437786814071525e-17,1.3270284019011416e-4
-6.6,2.055788909399523e-11,1.3866799941653172e-10,3.299661907412754e-17,1.4597346289573014e-4
-6.55,2.8768541736043296e-11,1.9264181479359113e-10,5.066093515905806e-17,1.604708561078703e-4
-6.5,4.016000583859118e-11,2.669556614762852e-10,7.75874047364924e-17,1.762978411837227e-4
-6.45,5.5925075759426786e-11,3.6901326161245615e-10,1.1852869746051836e-16,1.935648007877945e-4
-6.4,7.768847581709813e-11,5.088140281645047e-10,1.8062175691663528e-16,2.1239013527537572e-4
-6.35,1.0765746385121649e-10,6.998265948579812e-10,2.745559605984208e-16,2.329007376675185e-4
-6.3,1.4882282217623127e-10,9.601433370312336e-10,4.162995627677417e-16,2.552324871720928e-4
-6.25,2.0522634252189388e-10,1.314001818155884e-9,6.296443296915911e-16,2.7953076111608243e-4
-6.2,2.8231580370432713e-10,1.793783907964082e-9,9.499459648947201e-16,3.0595096505688595e-4
-6.15,3.874147346675666e-10,2.4426348268070457e-9,1.429607348267954e-15,3.3465908073482877e-4
-6.1,5.303423262948842e-10,3.3178842435473016e-9,2.1460948139369086e-15,3.6583223141515545e-4
-6.05,7.242291705137639e-10,4.495501831013248e-9,3.2136257759828963e-15,3.9965926404537694e-4
-6,9.86587645037698e-10,6.075882849823286e-9,4.800162756468401e-15,4.363413475228801e-4
-5.949999999999999,1.340712444091879e-9,8.191338403479222e-9,7.152055693308382e-15,4.7609258622813554e-4
-5.9,1.8175078630994284e-9,1.1015763624682298e-8,1.062967719925565e-14,5.191406478307052e-4
-5.85,2.4578650618080334e-9,1.477707958648006e-8,1.5758813955019072e-14,5.657274042186047e-4
