date,vix,rvol
1990-01-31,25.36,nan
1990-02-28,21.99,nan
1990-03-31,19.73,nan
1990-04-30,19.52,nan
1990-05-31,17.37,nan
1990-06-30,15.5,nan
1990-07-31,21.11,nan
1990-08-31,29.9,nan
1990-09-30,29.11,nan
1990-10-31,30.04,nan
1990-11-30,22.16,nan
1990-12-31,26.38,nan
1991-01-31,20.91,nan
1991-02-28,21.23,nan
1991-03-31,16.88,nan
1991-04-30,18.24,nan
1991-05-31,15.93,nan
1991-06-30,19.55,nan
1991-07-31,15.18,nan
1991-08-31,14.46,nan
1991-09-30,15.85,nan
1991-10-31,15.48,nan
1991-11-30,20.26,nan
1991-12-31,19.31,nan
1992-01-31,17.4,nan
1992-02-29,16.68,nan
1992-03-31,16.18,nan
1992-04-30,15.53,nan
1992-05-31,13.86,nan
1992-06-30,13.35,nan
1992-07-31,13.17,nan
1992-08-31,13.58,nan
1992-09-30,14.28,nan
1992-10-31,16.15,nan
1992-11-30,13.01,nan
1992-12-31,12.57,nan
1993-01-31,12.42,nan
1993-02-28,13.16,nan
1993-03-31,12.53,nan
1993-04-30,12.42,nan
1993-05-31,13.47,nan
1993-06-30,11.26,nan
1993-07-31,11.73,nan
1993-08-31,11.85,nan
1993-09-30,12.99,nan
1993-10-31,11.46,nan
1993-11-30,13.76,nan
1993-12-31,11.66,nan
1994-01-31,10.63,nan
1994-02-28,14.87,nan
1994-03-31,20.45,nan
1994-04-30,13.77,nan
1994-05-31,13.03,nan
1994-06-30,14.97,nan
1994-07-31,11.13,nan
1994-08-31,11.97,nan
1994-09-30,14.28,nan
1994-10-31,14.56,nan
1994-11-30,15.95,nan
1994-12-31,13.2,nan
1995-01-31,11.96,nan
1995-02-28,11.75,nan
1995-03-31,13.37,nan
1995-04-30,11.75,nan
1995-05-31,12.85,nan
1995-06-30,11.38,nan
1995-07-31,13.49,nan
1995-08-31,11.52,nan
1995-09-30,12.74,nan
1995-10-31,13.83,nan
1995-11-30,11.58,nan
1995-12-31,12.52,nan
1996-01-31,12.53,nan
1996-02-29,17.04,nan
1996-03-31,18.88,nan
1996-04-30,15.83,nan
1996-05-31,16.07,nan
1996-06-30,13.68,nan
1996-07-31,19.46,nan
1996-08-31,17.01,nan
1996-09-30,16.95,nan
1996-10-31,18.11,nan
1996-11-30,17.14,nan
1996-12-31,20.92,nan
1997-01-31,19.47,nan
1997-02-28,21.1,nan
1997-03-31,22.14,nan
1997-04-30,20.06,nan
1997-05-31,19.19,nan
1997-06-30,21.53,nan
1997-07-31,21.48,nan
1997-08-31,24.76,nan
1997-09-30,22.91,nan
1997-10-31,35.09,nan
1997-11-30,27.43,nan
1997-12-31,24.01,nan
1998-01-31,21.47,nan
