DATE,DLTIIT
2000-01-03,4.30
2000-01-04,4.30
2000-01-05,4.30
2000-01-06,4.32
2000-01-07,4.32
2000-01-10,4.34
2000-01-11,4.35
2000-01-12,4.34
2000-01-13,4.33
2000-01-14,4.38
2000-01-17,
2000-01-18,4.40
2000-01-19,4.40
2000-01-20,4.39
2000-01-21,4.37
2000-01-24,4.36
2000-01-25,4.34
2000-01-26,4.32
2000-01-27,4.32
2000-01-28,4.29
2000-01-31,4.26
2000-02-01,4.27
2000-02-02,4.18
2000-02-03,4.14
2000-02-04,4.11
2000-02-07,4.16
2000-02-08,4.15
2000-02-09,4.14
2000-02-10,4.15
2000-02-11,4.17
2000-02-14,4.16
2000-02-15,4.17
2000-02-16,4.17
2000-02-17,4.18
2000-02-18,4.16
2000-02-21,
2000-02-22,4.15
2000-02-23,4.16
2000-02-24,4.14
2000-02-25,4.15
2000-02-28,4.15
2000-02-29,4.16
2000-03-01,4.16
2000-03-02,4.16
2000-03-03,4.14
2000-03-06,4.14
2000-03-07,4.14
2000-03-08,4.13
2000-03-09,4.13
2000-03-10,4.14
2000-03-13,4.13
2000-03-14,4.13
2000-03-15,4.12
2000-03-16,4.11
2000-03-17,4.11
2000-03-20,4.11
2000-03-21,4.08
2000-03-22,4.07
2000-03-23,4.04
2000-03-24,4.01
2000-03-27,4.01
2000-03-28,4.00
2000-03-29,3.98
2000-03-30,3.94
2000-03-31,3.92
2000-04-03,3.90
2000-04-04,3.88
2000-04-05,3.88
2000-04-06,3.90
2000-04-07,3.88
2000-04-10,3.90
2000-04-11,3.88
2000-04-12,3.88
2000-04-13,3.90
2000-04-14,3.89
2000-04-17,3.88
2000-04-18,3.88
2000-04-19,3.88
2000-04-20,3.88
2000-04-21,
2000-04-24,3.88
2000-04-25,3.88
2000-04-26,3.88
2000-04-27,3.87
2000-04-28,3.87
2000-05-01,3.85
2000-05-02,3.85
2000-05-03,3.86
2000-05-04,3.89
2000-05-05,3.93
2000-05-08,3.94
2000-05-09,3.94
2000-05-10,3.95
2000-05-11,3.97
2000-05-12,3.99
2000-05-15,3.99
2000-05-16,3.99
2000-05-17,4.00
2000-05-18,4.04
2000-05-19,4.04
2000-05-22,4.02
2000-05-23,4.02
2000-05-24,4.01
2000-05-25,3.98
2000-05-26,4.00
2000-05-29,
2000-05-30,4.00
2000-05-31,3.99
2000-06-01,3.95
2000-06-02,3.92
2000-06-05,3.92
2000-06-06,3.93
2000-06-07,3.92
2000-06-08,3.92
2000-06-09,3.93
2000-06-12,3.93
2000-06-13,3.92
2000-06-14,3.92
2000-06-15,3.92
2000-06-16,3.91
2000-06-19,3.91
2000-06-20,3.91
2000-06-21,3.92
2000-06-22,3.91
2000-06-23,3.91
2000-06-26,3.92
2000-06-27,3.92
2000-06-28,3.92
2000-06-29,3.91
2000-06-30,3.89
2000-07-03,3.88
2000-07-04,
2000-07-05,3.86
2000-07-06,3.87
2000-07-07,3.85
2000-07-10,3.85
2000-07-11,3.85
2000-07-12,3.87
2000-07-13,3.85
2000-07-14,3.86
2000-07-17,3.87
2000-07-18,3.86
2000-07-19,3.87
2000-07-20,3.85
2000-07-21,3.85
2000-07-24,3.85
2000-07-25,3.85
2000-07-26,3.85
2000-07-27,3.85
2000-07-28,3.85
2000-07-31,3.86
2000-08-01,3.85
2000-08-02,3.85
2000-08-03,3.85
2000-08-04,3.85
2000-08-07,3.85
2000-08-08,3.84
2000-08-09,3.87
2000-08-10,3.87
2000-08-11,3.87
2000-08-14,3.87
2000-08-15,3.88
2000-08-16,3.89
2000-08-17,3.89
2000-08-18,3.89
2000-08-21,3.89
2000-08-22,3.89
2000-08-23,3.90
2000-08-24,3.90
2000-08-25,3.89
2000-08-28,3.89
2000-08-29,3.89
2000-08-30,3.89
2000-08-31,3.90
2000-09-01,3.89
2000-09-04,
2000-09-05,3.90
2000-09-06,3.90
2000-09-07,3.91
2000-09-08,3.89
2000-09-11,3.90
2000-09-12,3.90
2000-09-13,3.89
2000-09-14,3.91
2000-09-15,3.95
2000-09-18,3.96
2000-09-19,3.96
2000-09-20,3.96
2000-09-21,3.96
2000-09-22,3.96
2000-09-25,3.96
2000-09-26,3.96
2000-09-27,3.92
2000-09-28,3.92
2000-09-29,3.92
2000-10-02,3.92
2000-10-03,3.93
2000-10-04,3.94
2000-10-05,3.93
2000-10-06,3.93
2000-10-09,
2000-10-10,3.93
2000-10-11,3.94
2000-10-12,3.91
2000-10-13,3.91
2000-10-16,3.92
2000-10-17,3.90
2000-10-18,3.88
2000-10-19,3.89
2000-10-20,3.88
2000-10-23,3.86
2000-10-24,3.85
2000-10-25,3.86
2000-10-26,3.85
2000-10-27,3.84
2000-10-30,3.84
2000-10-31,3.84
2000-11-01,3.85
2000-11-02,3.85
2000-11-03,3.86
2000-11-06,3.87
2000-11-07,3.87
2000-11-08,3.87
2000-11-09,3.87
2000-11-10,3.87
2000-11-13,3.88
2000-11-14,3.87
2000-11-15,3.85
2000-11-16,3.84
2000-11-17,3.85
2000-11-20,3.85
2000-11-21,3.84
2000-11-22,3.83
2000-11-23,
2000-11-24,3.83
2000-11-27,3.82
2000-11-28,3.82
2000-11-29,3.80
2000-11-30,3.78
2000-12-01,3.79
2000-12-04,3.79
2000-12-05,3.79
2000-12-06,3.78
2000-12-07,3.77
2000-12-08,3.76
2000-12-11,3.76
2000-12-12,3.77
2000-12-13,3.77
2000-12-14,3.74
2000-12-15,3.74
2000-12-18,3.73
2000-12-19,3.73
2000-12-20,3.71
2000-12-21,3.71
2000-12-22,3.72
2000-12-25,
2000-12-26,3.72
2000-12-27,3.73
2000-12-28,3.74
2000-12-29,3.73
2001-01-01,
2001-01-02,3.65
2001-01-03,3.67
2001-01-04,3.64
2001-01-05,3.59
2001-01-08,3.60
2001-01-09,3.61
2001-01-10,3.63
2001-01-11,3.63
2001-01-12,3.65
2001-01-15,
2001-01-16,3.65
2001-01-17,3.65
2001-01-18,3.61
2001-01-19,3.60
2001-01-22,3.61
2001-01-23,3.61
2001-01-24,3.63
2001-01-25,3.63
2001-01-26,3.64
2001-01-29,3.65
2001-01-30,3.66
2001-01-31,3.61
2001-02-01,3.56
2001-02-02,3.56
2001-02-05,3.53
2001-02-06,3.53
2001-02-07,3.53
2001-02-08,3.53
2001-02-09,3.51
2001-02-12,3.51
2001-02-13,3.51
2001-02-14,3.51
2001-02-15,3.51
2001-02-16,3.52
2001-02-19,
2001-02-20,3.51
2001-02-21,3.55
2001-02-22,3.54
2001-02-23,3.53
2001-02-26,3.50
2001-02-27,3.47
2001-02-28,3.47
2001-03-01,3.45
2001-03-02,3.46
2001-03-05,3.46
2001-03-06,3.47
2001-03-07,3.43
2001-03-08,3.42
2001-03-09,3.43
2001-03-12,3.43
2001-03-13,3.45
2001-03-14,3.45
