;RGBI Index
31.01.1997;
28.02.1997;
31.03.1997;
30.04.1997;
31.05.1997;
30.06.1997;
31.07.1997;
31.08.1997;
30.09.1997;
31.10.1997;
30.11.1997;
31.12.1997;
31.01.1998;
28.02.1998;
31.03.1998;
30.04.1998;
31.05.1998;
30.06.1998;
31.07.1998;
31.08.1998;
30.09.1998;
31.10.1998;
30.11.1998;
31.12.1998;
31.01.1999;
28.02.1999;
31.03.1999;
30.04.1999;
31.05.1999;
30.06.1999;
31.07.1999;
31.08.1999;
30.09.1999;
31.10.1999;
30.11.1999;
31.12.1999;
31.01.2000;
29.02.2000;
31.03.2000;
30.04.2000;
31.05.2000;
30.06.2000;
31.07.2000;
31.08.2000;
30.09.2000;
31.10.2000;
30.11.2000;
31.12.2000;
31.01.2001;
28.02.2001;
31.03.2001;
30.04.2001;
31.05.2001;
30.06.2001;
31.07.2001;
31.08.2001;
30.09.2001;
31.10.2001;
30.11.2001;
31.12.2001;
31.01.2002;
28.02.2002;
31.03.2002;
30.04.2002;
31.05.2002;
30.06.2002;
31.07.2002;
31.08.2002;
30.09.2002;
31.10.2002;
30.11.2002;
31.12.2002;
31.01.2003;
28.02.2003;7.77
31.03.2003;0.37
30.04.2003;3.38
31.05.2003;3.13
30.06.2003;-0.34
31.07.2003;-3.25
31.08.2003;-0.43
30.09.2003;-0.58
31.10.2003;1.03
30.11.2003;-0.56
31.12.2003;0.98
31.01.2004;2.19
29.02.2004;0.08
31.03.2004;1.94
30.04.2004;-1.59
31.05.2004;-1.4
30.06.2004;-0.56
31.07.2004;-0.16
31.08.2004;-0.35
30.09.2004;-0.01
31.10.2004;0.27
30.11.2004;-0.25
31.12.2004;0.4
31.01.2005;-0.64
28.02.2005;-0.12
31.03.2005;-0.53
30.04.2005;0
31.05.2005;-0.2
30.06.2005;0.17
31.07.2005;-0.01
31.08.2005;2.16
30.09.2005;2.14
31.10.2005;-1.63
30.11.2005;0.75
31.12.2005;1.07
31.01.2006;0
28.02.2006;-0.35
31.03.2006;-0.24
30.04.2006;-0.9
31.05.2006;0.29
30.06.2006;-0.09
31.07.2006;0.07
31.08.2006;0.59
30.09.2006;0.38
31.10.2006;-0.32
30.11.2006;-0.28
31.12.2006;0.27
31.01.2007;-0.6
28.02.2007;0.11
31.03.2007;0.15
30.04.2007;0.26
31.05.2007;0.6
30.06.2007;-0.14
31.07.2007;-0.17
31.08.2007;-0.94
30.09.2007;0.45
31.10.2007;0.2
30.11.2007;-0.26
31.12.2007;0.21
31.01.2008;-0.07
29.02.2008;-1.36
31.03.2008;-0.77
30.04.2008;-0.65
31.05.2008;0.48
30.06.2008;-0.41
31.07.2008;-1.92
31.08.2008;-3.34
30.09.2008;-1.34
31.10.2008;-2.91
30.11.2008;-1.01
31.12.2008;-0.14
31.01.2009;-1.69
28.02.2009;7.61
31.03.2009;3.75
30.04.2009;1.77
31.05.2009;0.52
30.06.2009;0.18
31.07.2009;0.87
31.08.2009;0.66
30.09.2009;2.24
31.10.2009;4.63
30.11.2009;1.71
31.12.2009;0.42
31.01.2010;2.46
28.02.2010;0.73
31.03.2010;2.29
30.04.2010;-0.88
31.05.2010;-1.12
30.06.2010;0.77
31.07.2010;-0.02
31.08.2010;-0.46
30.09.2010;-0.01
31.10.2010;0.17
30.11.2010;-1.1
31.12.2010;-0.31
31.01.2011;-0.18
28.02.2011;0.18
31.03.2011;0.91
30.04.2011;0.16
31.05.2011;-0.53
30.06.2011;0.4
31.07.2011;0.86
