DATE,SP500
2020-01-31,3225.52
2020-02-03,3248.92
2020-02-04,3297.59
2020-02-05,3334.69
2020-02-06,3345.78
2020-02-07,3327.71
2020-02-10,3352.09
2020-02-11,3357.75
2020-02-12,3379.45
2020-02-13,3373.94
2020-02-14,3380.16
2020-02-18,3370.29
2020-02-19,3386.15
2020-02-20,3373.23
2020-02-21,3337.75
2020-02-24,3225.89
2020-02-25,3128.21
2020-02-26,3116.39
2020-02-27,2978.76
2020-02-28,2954.22
2020-03-02,3090.23
2020-03-03,3003.37
2020-03-04,3130.12
2020-03-05,3023.94
2020-03-06,2972.37
2020-03-09,2746.56
2020-03-10,2882.23
2020-03-11,2741.38
2020-03-12,2480.64
2020-03-13,2711.02
2020-03-16,2386.13
2020-03-17,2529.19
2020-03-18,2398.1
2020-03-19,2409.39
2020-03-20,2304.92
2020-03-23,2237.4
2020-03-24,2447.33
2020-03-25,2475.56
2020-03-26,2630.07
2020-03-27,2541.47
2020-03-30,2626.65
2020-03-31,2584.59
2020-04-01,2470.5
2020-04-02,2526.9
2020-04-03,2488.65
2020-04-06,2663.68
2020-04-07,2659.41
2020-04-08,2749.98
2020-04-09,2789.82
2020-04-13,2761.63
2020-04-14,2846.06
2020-04-15,2783.36
2020-04-16,2799.55
2020-04-17,2874.56
2020-04-20,2823.16
2020-04-21,2736.56
2020-04-22,2799.31
2020-04-23,2797.8
2020-04-24,2836.74
2020-04-27,2878.48
2020-04-28,2863.39
2020-04-29,2939.51
2020-04-30,2912.43
