date	cbr_rate	source
2004-06-15	0.13	refinancing rate
2005-12-26	0.12	refinancing rate
2006-06-26	0.115	refinancing rate
2006-10-23	0.11	refinancing rate
2007-01-29	0.105	refinancing rate
2007-06-19	0.1	refinancing rate
2008-02-04	0.1025	refinancing rate
2008-04-29	0.105	refinancing rate
2008-06-10	0.1075	refinancing rate
2008-07-14	0.11	refinancing rate
2008-11-12	0.12	refinancing rate
2008-12-01	0.13	refinancing rate
2009-04-24	0.125	refinancing rate
2009-05-14	0.12	refinancing rate
2009-06-05	0.115	refinancing rate
2009-07-13	0.11	refinancing rate
2009-08-10	0.1075	refinancing rate
2009-09-15	0.105	refinancing rate
2009-09-30	0.1	refinancing rate
2009-10-30	0.095	refinancing rate
2009-11-25	0.09	refinancing rate
2009-12-28	0.0875	refinancing rate
2010-02-24	0.085	refinancing rate
2010-03-29	0.0825	refinancing rate
2010-04-30	0.08	refinancing rate
2010-06-01	0.0775	refinancing rate
2011-02-28	0.08	refinancing rate
2011-05-03	0.0825	refinancing rate
2011-12-26	0.08	refinancing rate
2012-09-14	0.0825	refinancing rate
2013-09-17	0.055	key rate
2014-03-03	0.07	key rate
2014-04-28	0.075	key rate
2014-07-28	0.08	key rate
2014-11-05	0.095	key rate
2014-12-12	0.105	key rate
2014-12-16	0.17	key rate
2015-02-02	0.15	key rate
2015-03-16	0.14	key rate
2015-05-05	0.125	key rate
2015-06-16	0.115	key rate
2015-08-03	0.11	key rate
2016-06-14	0.105	key rate
2016-09-19	0.1	key rate
2017-03-27	0.0975	key rate
2017-05-02	0.0925	key rate
2017-06-19	0.09	key rate
2017-09-18	0.085	key rate
2017-10-30	0.0825	key rate
2017-12-18	0.0775	key rate
2018-02-12	0.075	key rate
2018-03-26	0.0725	key rate
2018-09-17	0.075	key rate
2018-12-17	0.0775	key rate
2019-06-17	0.075	key rate
2019-07-29	0.0725	key rate
2019-09-09	0.07	key rate
2019-10-28	0.065	key rate
2019-12-16	0.0625	key rate
2020-02-10	0.06	key rate
2020-04-27	0.055	key rate
2020-06-22	0.045	key rate
2020-07-27	0.0425	key rate
2021-03-22	0.045	key rate
2021-04-26	0.050	key rate
2021-06-15	0.055	key rate
2021-07-26	0.065	key rate
2021-09-13	0.0675	key rate
2021-10-25	0.075	key rate
2021-12-20	0.085	key rate
2021-02-14	0.095	key rate
2021-02-28	0.20	key rate
2021-04-11	0.14	key rate
