date	green_share_price
2015-10-30	7262.91
2015-11-02	7340.18
2015-11-03	7470.21
2015-11-05	7544.13
2015-11-06	7502.49
2015-11-09	7487.87
2015-11-10	7512.99
2015-11-11	7514.42
2015-11-12	7499.02
2015-11-13	7477.44
2015-11-16	7503.7
2015-11-17	7626.57
2015-11-18	7739.86
2015-11-19	7807.63
2015-11-20	7762.35
2015-11-23	7870.15
2015-11-24	7879.35
2015-11-25	7840.05
2015-11-26	7876.23
2015-11-27	7839.99
2015-11-30	7784.11
2015-12-01	7757.61
2015-12-02	7750.82
2015-12-03	7789.97
2015-12-04	7757.22
2015-12-07	7655.48
2015-12-08	7547.58
2015-12-09	7535.79
2015-12-10	7560.27
2015-12-11	7507.74
2015-12-14	7385.51
2015-12-15	7521.74
2015-12-16	7611.38
2015-12-17	7689.91
2015-12-18	7553.06
2015-12-21	7464.02
2015-12-22	7480.7
2015-12-23	7485.84
2015-12-24	7534.59
2015-12-25	7441.49
2015-12-28	7420.42
2015-12-29	7461.19
2015-12-30	7551.92
2015-12-31	7575.45
2016-01-11	7323.06
2016-01-12	7314.96
2016-01-13	7289.83
2016-01-14	7238.88
2016-01-15	6958.82
2016-01-18	7017.41
2016-01-19	7109.66
2016-01-20	7040.52
2016-01-21	7178.3
2016-01-22	7363.85
2016-01-25	7361.14
2016-01-26	7263.09
2016-01-27	7465.95
2016-01-28	7537.3
2016-01-29	7647.67
2016-02-01	7613.72
2016-02-02	7565.94
2016-02-03	7409.95
2016-02-04	7597.99
2016-02-05	7598.85
2016-02-08	7423.1
2016-02-09	7333.42
2016-02-10	7354.15
2016-02-11	7273.13
2016-02-12	7280.81
2016-02-15	7278.57
2016-02-16	7358.29
2016-02-17	7391.72
2016-02-18	7575.49
2016-02-19	7496.38
2016-02-20	7489.07
2016-02-24	7467.23
2016-02-25	7503.72
2016-02-26	7616.53
2016-02-29	7694.53
2016-03-01	7730.19
2016-03-02	7656.65
2016-03-03	7735.22
2016-03-04	7817.49
2016-03-09	7805.86
2016-03-10	7822.99
2016-03-11	7800.69
2016-03-14	7811.87
2016-03-15	7744.12
2016-03-16	7792.31
2016-03-17	7908.05
2016-03-18	8074.01
2016-03-21	8007.09
2016-03-22	7963.69
2016-03-23	7894.62
2016-03-24	7834.43
2016-03-25	7836.13
2016-03-28	7775.02
2016-03-29	7739.63
2016-03-30	7806.97
2016-03-31	7795.58
2016-04-01	7741.9
2016-04-04	7784.64
2016-04-05	7745.23
2016-04-06	7743.7
2016-04-07	7741.19
2016-04-08	7789.66
2016-04-11	7912.18
2016-04-12	7910.13
2016-04-13	8107.99
2016-04-14	8079.21
2016-04-15	8052.22
2016-04-18	8007.2
2016-04-19	8130.53
2016-04-20	8195.89
2016-04-21	8258.2
2016-04-22	8308.88
2016-04-25	8191.99
2016-04-26	8131.96
2016-04-27	8034.61
2016-04-28	8156.06
2016-04-29	8099.78
2016-05-04	8049.27
2016-05-05	7991.51
2016-05-06	7970.42
2016-05-10	7947.26
2016-05-11	7987.06
2016-05-12	7958.62
2016-05-13	8012.58
2016-05-16	8060.59
2016-05-17	8020.04
2016-05-18	8090.54
2016-05-19	8007.69
2016-05-20	8029.56
2016-05-23	7967.93
2016-05-24	8016.83
2016-05-25	8067.69
2016-05-26	8127.25
2016-05-27	8185.12
2016-05-30	8178.42
2016-05-31	8086.32
2016-06-01	8073.8
2016-06-02	8026.87
2016-06-03	8015.43
2016-06-06	8084.32
2016-06-07	8172.57
2016-06-08	8149.66
2016-06-09	8078.9
2016-06-10	8037.36
2016-06-14	8013.88
2016-06-15	8007.67
2016-06-16	7934.77
2016-06-17	7984.31
2016-06-20	8067.99
2016-06-21	8073.15
2016-06-22	8046.66
2016-06-23	8092.49
2016-06-24	8006.23
2016-06-27	7857.31
2016-06-28	7892.37
2016-06-29	8004.17
2016-06-30	8065.33
2016-07-01	8080.7
2016-07-04	8160.44
2016-07-05	8132.18
2016-07-06	8059.08
2016-07-07	8067.71
2016-07-08	8157.18
2016-07-11	8212.94
2016-07-12	8337.2
2016-07-13	8377.83
2016-07-14	8393.34
2016-07-15	8372.78
2016-07-18	8395.94
2016-07-19	8401.14
2016-07-20	8488.83
2016-07-21	8537.18
2016-07-22	8526.06
2016-07-25	8572.5
2016-07-26	8614.41
2016-07-27	8607.1
2016-07-28	8660.8
2016-07-29	8607.14
2016-08-01	8617
2016-08-02	8487.7
2016-08-03	8510.09
2016-08-04	8607.14
2016-08-05	8623.45
2016-08-08	8689.87
2016-08-09	8691.73
2016-08-10	8638.98
2016-08-11	8654.12
2016-08-12	8707.39
2016-08-15	8726.09
2016-08-16	8708.21
2016-08-17	8716.88
2016-08-18	8682.09
2016-08-19	8637.6
2016-08-22	8705.13
2016-08-23	8721.69
2016-08-24	8677.19
2016-08-25	8661.91
2016-08-26	8694.99
2016-08-29	8684.01
2016-08-30	8688.86
2016-08-31	8662.63
2016-09-01	8680.48
2016-09-02	8764.26
2016-09-05	8811.84
2016-09-06	8893.29
2016-09-07	8942.27
2016-09-08	8941.41
2016-09-09	8874.23
2016-09-12	8835.99
2016-09-13	8791.4
2016-09-14	8772.98
2016-09-15	8728.19
2016-09-16	8691.88
2016-09-19	8660.37
2016-09-20	8680.56
2016-09-21	8702.47
2016-09-22	8800.26
2016-09-23	8767.73
2016-09-26	8719.14
2016-09-27	8667.62
2016-09-28	8692.33
2016-09-29	8731.66
2016-09-30	8673.81
2016-10-03	8661.16
2016-10-04	8653.65
2016-10-05	8602.03
2016-10-06	8608.61
2016-10-07	8574.64
2016-10-10	8653.75
2016-10-11	8642.92
2016-10-12	8618.92
2016-10-13	8569.71
2016-10-14	8539.89
2016-10-17	8496.33
2016-10-18	8543.68
2016-10-19	8505.06
2016-10-20	8473.79
2016-10-21	8470.66
2016-10-24	8470.82
2016-10-25	8522.16
2016-10-26	8505.65
2016-10-27	8539.29
2016-10-28	8566.87
2016-10-31	8621.49
2016-11-01	8647.26
2016-11-02	8566.15
2016-11-03	8537.95
2016-11-07	8474.11
2016-11-08	8539.74
2016-11-09	8727.08
2016-11-10	8853.37
2016-11-11	8813.96
2016-11-14	8752.29
2016-11-15	8707.5
2016-11-16	8742.17
2016-11-17	8794.6
2016-11-18	8784.57
2016-11-21	8858.6
2016-11-22	8905.17
2016-11-23	8965.73
2016-11-24	9036.28
2016-11-25	9022.37
2016-11-28	8986.47
2016-11-29	8986.68
2016-11-30	9029.38
2016-12-01	9077.42
2016-12-02	9122.2
2016-12-05	9262.37
2016-12-06	9240.62
2016-12-07	9270.7
2016-12-08	9444.89
2016-12-09	9417.58
2016-12-12	9463.32
2016-12-13	9530.58
2016-12-14	9551.08
2016-12-15	9554.02
2016-12-16	9531.7
2016-12-19	9494
2016-12-20	9522.68
2016-12-21	9456.34
2016-12-22	9331.37
2016-12-23	9358.28
2016-12-26	9355.69
2016-12-27	9387.47
2016-12-28	9401.77
2016-12-29	9528.71
2016-12-30	9642.01
2017-01-09	9625.5
2017-01-10	9702.24
2017-01-11	9623.91
2017-01-12	9554.87
2017-01-13	9504.88
2017-01-16	9485.14
2017-01-17	9470.34
2017-01-18	9439.46
2017-01-19	9433.11
2017-01-20	9438.74
2017-01-23	9382.22
2017-01-24	9478.27
2017-01-25	9458.26
2017-01-26	9693.17
2017-01-27	9812.98
2017-01-30	9679.51
2017-01-31	9626.84
2017-02-01	9659.93
2017-02-02	9608.59
2017-02-03	9646.54
2017-02-06	9591.33
2017-02-07	9633.03
2017-02-08	9528.99
2017-02-09	9490.58
2017-02-10	9465.19
2017-02-13	9455.68
2017-02-14	9371.8
2017-02-15	9366.47
2017-02-16	9409.34
2017-02-17	9300.33
2017-02-20	9248
2017-02-21	9314.03
2017-02-22	9268.63
2017-02-27	9072.98
2017-02-28	8956.36
2017-03-01	9095.16
2017-03-02	9064.15
2017-03-03	9095.82
2017-03-06	9061.99
2017-03-07	8968.81
2017-03-09	8734.42
2017-03-10	8751.06
2017-03-13	8852.33
2017-03-14	8861.02
2017-03-15	8835.69
2017-03-16	8928.09
2017-03-17	9016.38
2017-03-20	9052.83
2017-03-21	9060.95
