date,moex_index
2004-12-31,552.22
2005-01-31,575.74
2005-02-28,635.38
2005-03-31,598.04
2005-04-30,593.88
2005-05-31,603.89
2005-06-30,639.98
2005-07-31,700.65
2005-08-31,784.28
2005-09-30,892.5
2005-10-31,842.52
2005-11-30,944.55
2005-12-31,1011
2006-01-31,1171.44
2006-02-28,1320.83
2006-03-31,1299.19
2006-04-30,1486.85
2006-05-31,1281.5
2006-06-30,1331.39
2006-07-31,1380.24
2006-08-31,1448.72
2006-09-30,1367.24
2006-10-31,1426.86
2006-11-30,1550.58
2006-12-31,1693.47
2007-01-31,1656.94
2007-02-28,1655.25
2007-03-31,1698.08
2007-04-30,1697.28
2007-05-31,1570.34
2007-06-30,1665.96
2007-07-31,1734.42
2007-08-31,1677.02
2007-09-30,1759.44
2007-10-31,1874.73
2007-11-30,1850.64
2007-12-31,1888.86
2008-01-31,1574.33
2008-02-29,1660.42
2008-03-31,1628.43
2008-04-30,1667.35
2008-05-31,1925.24
2008-06-30,1753.67
2008-07-31,1495.33
2008-08-31,1348.92
2008-09-30,1027.66
2008-10-31,731.96
2008-11-30,611.32
2008-12-31,619.53
2009-01-31,624.9
2009-02-28,666.05
2009-03-31,772.93
2009-04-30,920.35
2009-05-31,1123.38
2009-06-30,971.55
2009-07-31,1053.3
2009-08-31,1091.98
2009-09-30,1197.2
2009-10-31,1237.18
2009-11-30,1284.95
2009-12-31,1370.01
2010-01-31,1419.42
2010-02-28,1332.64
2010-03-31,1450.15
2010-04-30,1436.04
2010-05-31,1332.62
2010-06-30,1309.31
2010-07-31,1397.12
2010-08-31,1368.9
2010-09-30,1440.3
2010-10-31,1523.39
2010-11-30,1565.52
2010-12-31,1687.99
2011-01-31,1723.42
2011-02-28,1777.84
2011-03-31,1813.59
2011-04-30,1741.84
2011-05-31,1666.3
2011-06-30,1666.59
2011-07-31,1705.18
2011-08-31,1546.05
2011-09-30,1366.54
2011-10-31,1498.6
2011-11-30,1499.62
2011-12-31,1402.23
2012-01-31,1514.03
2012-02-29,1597.67
2012-03-31,1517.34
2012-04-30,1473.5
2012-05-31,1306.42
2012-06-30,1387.52
2012-07-31,1407.02
2012-08-31,1422.91
2012-09-30,1458.26
2012-10-31,1425.7
2012-11-30,1405.97
2012-12-31,1474.72
2013-01-31,1546.76
2013-02-28,1486.04
2013-03-31,1438.57
2013-04-30,1385.88
2013-05-31,1350.17
2013-06-30,1330.46
2013-07-31,1375.79
2013-08-31,1364.65
2013-09-30,1462.82
2013-10-31,1510.21
2013-11-30,1479.35
2013-12-30,1504.08
2014-01-31,1454.45
2014-02-28,1444.71
2014-03-31,1369.29
2014-04-30,1306.01
2014-05-31,1432.03
2014-06-30,1476.38
2014-07-31,1379.61
2014-08-31,1400.71
2014-09-30,1411.07
2014-10-31,1488.47
2014-11-30,1533.68
2014-12-31,1396.61
2015-01-31,1647.69
2015-02-28,1758.97
2015-03-31,1626.18
2015-04-30,1688.34
2015-05-31,1609.19
2015-06-30,1654.55
2015-07-31,1669
2015-08-31,1733.17
2015-09-30,1642.97
2015-10-31,1711.53
2015-11-30,1771.05
2015-12-31,1761.36
2016-01-31,1784.92
2016-02-29,1840.17
2016-03-31,1871.15
2016-04-29,1953.05
2016-05-31,1899.01
2016-06-30,1891.09
2016-07-29,1944.62
2016-08-31,1971.59
2016-09-30,1978
2016-10-31,1989.64
2016-11-30,2104.91
2016-12-30,2232.72
2017-01-31,2217.39
2017-02-28,2035.77
2017-03-31,1995.9
2017-04-28,2016.71
2017-05-31,1900.38
2017-06-30,1879.5
2017-07-31,1919.53
2017-08-31,2022.22
2017-09-29,2077.19
2017-10-31,2064.31
2017-11-30,2100.62
2017-12-29,2109.74
2018-01-31,2289.99
2018-02-28,2296.8
2018-03-31,2270.98
2018-04-30,2307.02
2018-05-31,2302.88
2018-06-30,2295.95
2018-07-31,2321.11
2018-08-31,2345.85
2018-09-30,2475.36
2018-10-31,2352.71
2018-11-30,2392.5
2018-12-31,2369.33
2019-01-31,2521.1
2019-02-28,2485.27
2019-03-31,2497.1
2019-04-30,2559.32
2019-05-31,2665.33
2019-06-30,2765.85
2019-07-31,2739.5
2019-08-31,2740.04
2019-09-30,2747.18
2019-10-31,2893.98
2019-11-30,2935.37
2019-12-31,3045.87
2020-01-31,3076.65
2020-02-29,2785.08
2020-03-31,2508.81
2020-04-30,2650.56
2020-05-31,2734.83
2020-06-30,2743.2
2020-07-31,2911.57
2020-08-31,2966.2
2020-09-30,2905.81
2020-10-31,2690.59
2020-11-30,3107.58
2020-12-31,3289.02
2021-01-31,3277.08
2021-02-28,3346.64
2021-03-31,3541.72
2021-04-30,3544
2021-05-31,3721.63
2021-06-30,3841.85
2021-07-31,3771.58
2021-08-31,3918.96
2021-09-30,4103.52
2021-10-31,4150
2021-11-30,3890.59
2021-12-31,3787.26
2022-01-31,3530.38
2022-02-28,2470.48
2022-03-31,2703.51
