month,personal_share_price
2015-10-01,1
2015-11-01,1.0178428831
2015-12-01,1.0183684816
2016-01-01,1.0457762427
2016-02-01,1.0226814013
2016-03-01,1.0221389726
2016-04-01,1.0207486638
2016-05-01,1.0340788359
2016-06-01,1.0300641237
2016-07-01,1.1097782835
2016-08-01,1.117263105
2016-09-01,1.1164105645
2016-10-01,1.0873238774
2016-11-01,1.1242850045
2016-12-01,1.19919016
2017-01-01,1.228071015
2017-02-01,1.1595201958
2017-03-01,1.1248230071
2017-04-01,1.1367109291
2017-05-01,1.1092144468
2017-06-01,1.1301964533
2017-07-01,1.1567318454
2017-08-01,1.2148241052
2017-09-01,1.2374625709
2017-10-01,1.2582924245
2017-11-01,1.2734509308
2017-12-01,1.2458310001
2018-01-01,1.3258997082
2018-02-01,1.3596664443
2018-03-01,1.3884417959
2018-04-01,1.3985449479
2018-05-01,1.3820519988
2018-06-01,1.3920834679
2018-07-01,1.4114447296
2018-08-01,1.4604753193
2018-09-01,1.4732865469
2018-10-01,1.424098161
2018-11-01,1.4532311266
2018-12-01,1.4413130748
2019-01-01,1.5463337265
2019-02-01,1.578052608
2019-03-01,1.6306110088
2019-04-01,1.6219002746
2019-05-01,1.5792760407
2019-06-01,1.6802394118
2019-07-01,1.7409482836
2019-08-01,1.7959939704
2019-09-01,1.8082782866
2019-10-01,1.8498433277
2019-11-01,1.8845200132
2019-12-01,1.942972074
2020-01-01,2.0558894457
2020-02-01,1.9343662964
2020-03-01,1.8146692162
2020-04-01,1.8870411978
2020-05-01,1.9312752804
2020-06-01,1.9242303979
2020-07-01,2.0157032707
2020-08-01,2.0306774049
2020-09-01,1.9965484464
2020-10-01,1.8929650852
2020-11-01,2.0795632814
2020-12-01,2.143129609
2021-01-01,2.1599705062773
2021-02-01,2.19837095446637
2021-03-01,2.31647411968603
2021-04-01,2.27136035422182
2021-05-01,2.31522245116556
2021-06-01,2.34507453058373
2021-07-01,2.35417710927582
2021-08-01,2.49874579972999
2021-09-01,2.53778867996779
2021-10-01,2.74131540984851
2021-11-01,2.66903692266443
2021-12-01,2.72859648547278
2022-01-01,2.75694244250949
2022-02-01,2.33050034446389
2022-03-01,3.0151766158178
