date	red_share_price
2015-10-30	3010.32
2015-11-02	3012.7599999999998
2015-11-03	3040.8900000000003
2015-11-05	3048.03
2015-11-06	3031.1
2015-11-09	3039.3
2015-11-10	3044.17
2015-11-11	3033.3700000000003
2015-11-12	3034.77
2015-11-13	3029.07
2015-11-16	3044.51
2015-11-17	3074.25
2015-11-18	3073.96
2015-11-19	3089.29
2015-11-20	3084.07
2015-11-23	3114.36
2015-11-24	3105.74
2015-11-25	3098.55
2015-11-26	3107.86
2015-11-27	3089.2599999999998
2015-11-30	3074.2
2015-12-01	3073.74
2015-12-02	3069.18
2015-12-03	3082.22
2015-12-07	3069.96
2015-12-08	3062.77
2015-12-09	3076.67
2015-12-10	3061.79
2015-12-11	3065.38
2015-12-14	3045.04
2015-12-15	3095.08
2015-12-16	3127.4
2015-12-17	3143.4300000000003
2015-12-18	3111.19
2015-12-21	3095.65
2015-12-22	3097.8300000000004
2015-12-23	3115.82
2015-12-24	3129.3100000000004
2015-12-25	3065.68
2015-12-28	3069.9700000000003
2015-12-29	3098.34
2015-12-30	3164.19
2015-12-31	3162.3300000000004
2016-01-11	3099.3100000000004
2016-01-12	3168.98
2016-01-13	3156.66
2016-01-14	3164.27
2016-01-15	3078.52
2016-01-18	3099.69
2016-01-19	3173.54
2016-01-20	3171.74
2016-01-21	3249.4900000000002
2016-01-22	3383.27
2016-01-25	3300.9900000000002
2016-01-26	3253.9500000000003
2016-01-27	3339.29
2016-01-28	3295.9700000000003
2016-01-29	3292.01
2016-02-01	3258.13
2016-02-02	3273.57
2016-02-03	3301.74
2016-02-04	3350.69
2016-02-05	3286.29
2016-02-08	3257.02
2016-02-09	3222.64
2016-02-10	3241.7
2016-02-11	3245.3
2016-02-12	3263.3300000000004
2016-02-15	3277.11
2016-02-16	3284.7599999999998
2016-02-17	3286.06
2016-02-18	3329.4700000000003
2016-02-19	3309.23
2016-02-20	3319.14
2016-02-24	3322.38
2016-02-25	3330.3100000000004
2016-02-26	3341.96
2016-02-29	3360.68
2016-03-01	3388.11
2016-03-02	3369.56
2016-03-03	3394.04
2016-03-04	3421.8
2016-03-09	3414.71
2016-03-10	3398.9900000000002
2016-03-11	3387.25
2016-03-14	3387.75
2016-03-15	3389.88
2016-03-16	3392.3900000000003
2016-03-17	3418.53
2016-03-18	3434.36
2016-03-21	3429.79
2016-03-22	3429.36
2016-03-23	3396.98
2016-03-24	3373.44
2016-03-25	3378.69
2016-03-28	3360.08
2016-03-29	3338.8100000000004
2016-03-30	3370.16
2016-03-31	3344.7599999999998
2016-04-01	3333.2
2016-04-04	3338.02
2016-04-05	3352.4
2016-04-06	3360.5
2016-04-07	3338.66
2016-04-08	3351.14
2016-04-11	3362.44
2016-04-12	3357.8500000000004
2016-04-13	3399.09
2016-04-14	3388.62
2016-04-15	3369.7599999999998
2016-04-18	3366.4700000000003
2016-04-19	3449.02
2016-04-20	3481.9900000000002
2016-04-21	3485.3
2016-04-22	3491.56
2016-04-25	3465.8700000000003
2016-04-26	3446.7599999999998
2016-04-27	3412.46
2016-04-28	3420.4
2016-04-29	3386.96
2016-05-04	3321.74
2016-05-05	3320.68
2016-05-06	3317.4700000000003
2016-05-10	3304.51
2016-05-11	3324.55
2016-05-12	3345.48
2016-05-13	3334.9900000000002
2016-05-16	3352.9100000000003
2016-05-17	3358.24
2016-05-18	3379.2799999999997
2016-05-19	3359.88
2016-05-20	3357.4
2016-05-23	3346.27
2016-05-24	3364.7
2016-05-25	3362.63
2016-05-26	3368.8300000000004
2016-05-27	3384.59
2016-05-30	3396.18
2016-05-31	3348.2799999999997
2016-06-01	3335.3700000000003
2016-06-02	3346.29
2016-06-03	3321.64
2016-06-06	3359.88
2016-06-07	3385.16
2016-06-08	3371.8300000000004
2016-06-09	3342.79
2016-06-10	3295.65
2016-06-14	3286.64
2016-06-15	3290.8900000000003
2016-06-16	3280.18
2016-06-17	3297.3300000000004
2016-06-20	3304.9300000000003
2016-06-21	3308.92
2016-06-22	3289.15
2016-06-23	3313.23
2016-06-24	3283.3
2016-06-27	3249.32
2016-06-28	3271.64
2016-06-29	3312.86
2016-06-30	3333.7
2016-07-01	3334.08
2016-07-04	3361.01
2016-07-05	3335.7599999999998
2016-07-06	3340.38
2016-07-07	3317.9
2016-07-08	3337.4
2016-07-11	3362.8100000000004
2016-07-12	3408.11
2016-07-13	3417.05
2016-07-14	3436.29
2016-07-15	3455.8700000000003
2016-07-18	3442.64
2016-07-19	3438.94
2016-07-20	3461.13
2016-07-21	3468.9
2016-07-22	3472.82
2016-07-25	3472.2
2016-07-26	3509.53
2016-07-27	3512.8500000000004
2016-07-28	3566.12
2016-07-29	3571.36
2016-08-01	3592.9500000000003
2016-08-02	3555.65
2016-08-03	3591.46
2016-08-04	3611.3700000000003
2016-08-05	3610.2799999999997
2016-08-08	3614.24
2016-08-09	3615.09
2016-08-10	3598.2
2016-08-11	3607.34
2016-08-12	3622.05
2016-08-15	3638.67
2016-08-16	3634.9
2016-08-17	3616.67
2016-08-18	3631.42
2016-08-19	3622.64
2016-08-22	3642.57
2016-08-23	3659.86
2016-08-24	3652.4300000000003
2016-08-25	3638.57
2016-08-26	3626.84
2016-08-29	3614.4700000000003
2016-08-30	3623.92
2016-08-31	3580.03
2016-09-01	3587.71
2016-09-02	3614.54
2016-09-05	3636.25
2016-09-06	3658.4500000000003
2016-09-07	3659.74
2016-09-08	3640.8
2016-09-09	3605.23
2016-09-12	3596.66
2016-09-13	3587.9
2016-09-14	3581.9100000000003
2016-09-15	3581.82
2016-09-16	3549.48
2016-09-19	3572.92
2016-09-20	3601.34
2016-09-21	3602.55
2016-09-22	3640.7599999999998
2016-09-23	3604.7599999999998
2016-09-26	3587.55
2016-09-27	3573.7
2016-09-28	3585.14
2016-09-29	3584.1
2016-09-30	3556.61
2016-10-03	3559.86
2016-10-04	3562.4
2016-10-05	3552.9900000000002
2016-10-06	3563.72
2016-10-07	3558.7799999999997
2016-10-10	3580.17
2016-10-11	3586.7
2016-10-12	3569.4900000000002
2016-10-13	3544.21
2016-10-14	3533.74
2016-10-17	3533.56
2016-10-18	3544.61
2016-10-19	3540.22
2016-10-20	3505.42
2016-10-21	3501.92
2016-10-24	3507.14
2016-10-25	3539.7
2016-10-26	3546.36
2016-10-27	3574.73
2016-10-28	3570.3100000000004
2016-10-31	3595.55
2016-11-01	3561.9900000000002
2016-11-02	3503.8300000000004
2016-11-03	3488.11
2016-11-07	3508.8
2016-11-08	3530.54
2016-11-09	3587.66
2016-11-10	3689.08
2016-11-11	3703.18
2016-11-14	3691.21
2016-11-15	3680.54
2016-11-16	3676.15
2016-11-17	3696.9
2016-11-18	3691.62
2016-11-21	3709.88
2016-11-22	3745.18
2016-11-23	3778.1
2016-11-24	3816.52
2016-11-25	3807.64
2016-11-28	3815.54
2016-11-29	3788.04
2016-11-30	3815.9700000000003
2016-12-01	3833.46
2016-12-02	3838.72
2016-12-05	3889.61
2016-12-06	3879.88
2016-12-07	3908.52
2016-12-08	3961.48
2016-12-09	3931.15
2016-12-12	3955.2
2016-12-13	3986.9500000000003
2016-12-14	3955.44
2016-12-15	3981.4700000000003
2016-12-16	3955.1
2016-12-19	3933.05
2016-12-20	3946.5
2016-12-21	3927.2
2016-12-22	3865.46
2016-12-23	3876.9100000000003
2016-12-26	3902.05
2016-12-27	3901.13
2016-12-28	3894.3
2016-12-29	3923.8700000000003
2016-12-30	3956.72
2017-01-09	3988.52
2017-01-10	4036.38
2017-01-11	4037.94
2017-01-12	4019.18
2017-01-13	3983.75
2017-01-16	3976.66
2017-01-17	3946.73
2017-01-18	3940.74
2017-01-19	3920.4100000000003
2017-01-20	3900.4700000000003
2017-01-23	3883.42
2017-01-24	3936.9100000000003
2017-01-25	3948.55
2017-01-26	4035.51
2017-01-27	4094.56
2017-01-30	4039.09
2017-01-31	4012.54
2017-02-01	4022.48
2017-02-02	4012.52
2017-02-03	4016.98
2017-02-06	3991.94
2017-02-07	3998.72
2017-02-08	3962.6
2017-02-09	3932.8300000000004
2017-02-10	3923
2017-02-13	3910.73
2017-02-14	3874.54
2017-02-15	3882.72
2017-02-16	3881.4700000000003
2017-02-17	3867.27
2017-02-20	3853.12
2017-02-21	3865.64
2017-02-22	3836.44
2017-02-27	3747.53
2017-02-28	3708.54
2017-03-01	3759.42
2017-03-02	3729.22
2017-03-03	3732.8300000000004
2017-03-06	3711.56
2017-03-07	3673.82
2017-03-09	3605.9
2017-03-10	3611.8
2017-03-13	3635.65
2017-03-14	3640.8300000000004
2017-03-15	3631.65
2017-03-16	3667.16
2017-03-17	3684.75
2017-03-20	3698.13
2017-03-21	3690.42
2017-03-22	3696.1
2017-03-23	3687.64
2017-03-24	3680.84
2017-03-27	3644.51
2017-03-28	3664.61
2017-03-29	3660.63
2017-03-30	3648.62
2017-03-31	3605.51
2017-04-03	3628.42
2017-04-04	3644.4100000000003
2017-04-05	3687.03
2017-04-06	3675.65
2017-04-07	3621.01
2017-04-10	3534.09
2017-04-11	3538.2799999999997
2017-04-12	3474.3
2017-04-13	3473.9
2017-04-14	3423.11
2017-04-17	3470.58
2017-04-18	3400.34
2017-04-19	3396.2
2017-04-20	3408.74
2017-04-21	3420.5
2017-04-24	3447.84
2017-04-25	3489.4100000000003
2017-04-26	3522.54
2017-04-27	3497.05
2017-04-28	3519
2017-05-02	3518.03
2017-05-03	3486.59
2017-05-04	3489.79
2017-05-05	3491.4300000000003
2017-05-10	3521.14
2017-05-11	3479.3900000000003
2017-05-12	3464.57
2017-05-15	3461.3
2017-05-16	3457.77
2017-05-17	3458.5
2017-05-18	3436.71
2017-05-19	3432.23
2017-05-22	3408.67
2017-05-23	3413.71
2017-05-24	3399.79
2017-05-25	3390.8300000000004
2017-05-26	3380.18
2017-05-29	3381.16
2017-05-30	3372.98
2017-05-31	3314.03
2017-06-01	3282.94
2017-06-02	3314.77
2017-06-05	3303.03
2017-06-06	3297.46
2017-06-07	3280.42
2017-06-08	3277.46
2017-06-09	3288.03
2017-06-13	3261.11
2017-06-14	3249.3100000000004
2017-06-15	3217.25
2017-06-16	3238.54
2017-06-19	3275.34
2017-06-20	3313.4300000000003
2017-06-21	3310.92
2017-06-22	3344.59
2017-06-23	3381.4500000000003
2017-06-26	3362.4100000000003
2017-06-27	3354.8500000000004
2017-06-28	3365.8100000000004
2017-06-29	3352.96
2017-06-30	3358.57
2017-07-03	3382.7
2017-07-04	3396.88
2017-07-05	3406.71
2017-07-06	3420.42
2017-07-07	3428.32
2017-07-10	3466.3
2017-07-11	3482.55
2017-07-12	3502.06
2017-07-13	3525.64
2017-07-14	3514.22
2017-07-17	3532.52
2017-07-18	3508.58
2017-07-19	3520.07
2017-07-20	3515.65
2017-07-21	3488.7
2017-07-24	3505.74
2017-07-25	3496.57
2017-07-26	3511.4700000000003
2017-07-27	3537.03
2017-07-28	3505.75
2017-07-31	3540.63
2017-08-01	3576.94
2017-08-02	3612.05
