month-01,cape_excess_yield
1881-01-01,-0.0104887448
1881-02-01,-0.0113928396
1881-03-01,-0.0131231181
1881-04-01,-0.0075035017
1881-05-01,-0.00888109
1881-06-01,-0.0077324654
1881-07-01,-0.0040478721
1881-08-01,0.0021436052
1881-09-01,0.0055640506
1881-10-01,0.0067240357
1881-11-01,0.0050693074
1881-12-01,0.0048775071
1882-01-01,0.0060631781
1882-02-01,0.0091749224
1882-03-01,0.0079781281
1882-04-01,0.0074981727
1882-05-01,0.0099918348
1882-06-01,0.0127292763
1882-07-01,0.0090931419
1882-08-01,0.0080445141
1882-09-01,0.0024137829
1882-10-01,0.0049450109
1882-11-01,0.0035008618
1882-12-01,0.0031815143
1883-01-01,0.003649445
1883-02-01,0.0047305376
1883-03-01,0.0024952796
1883-04-01,-0.000275395
1883-05-01,0.0015315856
1883-06-01,-0.0007597697
1883-07-01,-0.0028937843
1883-08-01,0.0002171206
1883-09-01,-0.0020348484
1883-10-01,0.0021206135
1883-11-01,0.0026325882
1883-12-01,0.0035706001
1884-01-01,0.0042286422
1884-02-01,0.0025658227
1884-03-01,0.0029697008
1884-04-01,0.0043444055
1884-05-01,0.0077210795
1884-06-01,0.0133359591
1884-07-01,0.0107765829
1884-08-01,0.0071264007
1884-09-01,0.0076948439
1884-10-01,0.0099265401
1884-11-01,0.0084526608
1884-12-01,0.0067139154
1885-01-01,0.0085123158
1885-02-01,0.008292951
1885-03-01,0.0042926132
1885-04-01,0.0057379375
1885-05-01,0.0051448214
1885-06-01,0.0032111126
1885-07-01,0.0027569142
1885-08-01,-0.0016484218
1885-09-01,-0.0017970461
1885-10-01,-0.0052907838
1885-11-01,-0.0062733325
1885-12-01,-0.0011325526
1886-01-01,-0.0038685591
1886-02-01,-0.0051008241
1886-03-01,-0.0058162973
1886-04-01,-0.0061157463
1886-05-01,-0.0053582071
1886-06-01,-0.0072154381
1886-07-01,-0.0061632867
1886-08-01,-0.0056081304
1886-09-01,-0.0079534563
1886-10-01,-0.0110920026
1886-11-01,-0.0132473919
1886-12-01,-0.0116704753
1887-01-01,-0.0090202887
1887-02-01,-0.0041399718
1887-03-01,-0.0009743604
1887-04-01,-0.004920784
1887-05-01,-0.0075842112
1887-06-01,-0.0023459262
1887-07-01,-0.0036613785
1887-08-01,0.0034779576
1887-09-01,0.0033621785
1887-10-01,0.0074165025
1887-11-01,0.0101223849
1887-12-01,0.0142970283
1888-01-01,0.0187204156
1888-02-01,0.0185459736
1888-03-01,0.0234847757
1888-04-01,0.022632996
1888-05-01,0.0233200272
1888-06-01,0.0258985373
1888-07-01,0.0252590129
1888-08-01,0.0229745752
1888-09-01,0.0216148865
1888-10-01,0.0251568771
1888-11-01,0.0296777256
1888-12-01,0.0333778407
1889-01-01,0.0252788756
1889-02-01,0.0214483016
1889-03-01,0.02189543
1889-04-01,0.0231285368
1889-05-01,0.0175118182
1889-06-01,0.0176552251
1889-07-01,0.0176535496
1889-08-01,0.0168399635
1889-09-01,0.0139601013
1889-10-01,0.0095907593
1889-11-01,0.0050333918
1889-12-01,0.0043897649
1890-01-01,-0.002955559
1890-02-01,-0.0024631021
1890-03-01,-0.003114404
1890-04-01,-0.000757033
1890-05-01,0.0014888374
1890-06-01,0.0036494746
1890-07-01,0.00378843
1890-08-01,0.0105999423
1890-09-01,0.0121801076
1890-10-01,0.0147569778
1890-11-01,0.0144792932
1890-12-01,0.0147437831
1891-01-01,0.0099493808
1891-02-01,0.0099700471
1891-03-01,0.012986888
1891-04-01,0.0116487527
1891-05-01,0.0108227411
1891-06-01,0.0080978879
1891-07-01,0.0061039371
1891-08-01,0.0020408967
1891-09-01,-0.0082668332
1891-10-01,-0.009170423
1891-11-01,-0.0093283282
1891-12-01,-0.0109731545
1892-01-01,-0.0157807154
1892-02-01,-0.0168609614
1892-03-01,-0.0213941004
1892-04-01,-0.0242210727
1892-05-01,-0.0251435802
1892-06-01,-0.0257769788
1892-07-01,-0.0209981018
1892-08-01,-0.0207150909
1892-09-01,-0.0167745114
1892-10-01,-0.0169715207
1892-11-01,-0.0120595269
1892-12-01,-0.008686893
1893-01-01,-0.0041021548
1893-02-01,-0.0020583818
1893-03-01,-0.002664984
1893-04-01,-0.0035887992
1893-05-01,0.0010804606
1893-06-01,0.0030336803
1893-07-01,0.0073343908
1893-08-01,0.0023197397
1893-09-01,0.0053443004
1893-10-01,0.005529562
1893-11-01,0.0012583785
1893-12-01,0.0003074989
1894-01-01,-0.0028314225
1894-02-01,-0.0058029214
1894-03-01,-0.0119050717
1894-04-01,-0.0105147834
1894-05-01,-0.0061149548
1894-06-01,-0.0051897331
1894-07-01,-0.0027700207
1894-08-01,-0.0004167758
1894-09-01,0.0019768624
1894-10-01,0.0005772498
1894-11-01,0.0028246637
1894-12-01,0.0022655091
1895-01-01,0.0030027892
1895-02-01,0.0024857878
1895-03-01,0.004490944
1895-04-01,0.0073255558
1895-05-01,0.0083761114
1895-06-01,0.011519127
1895-07-01,0.0077553381
1895-08-01,0.0046143263
1895-09-01,0.0052937748
1895-10-01,0.0059598073
1895-11-01,0.0065966071
1895-12-01,0.0055613476
1896-01-01,0.0062604116
1896-02-01,0.0017805234
1896-03-01,0.00405987
1896-04-01,0.0026304574
1896-05-01,0.0031802127
1896-06-01,0.0032653673
1896-07-01,0.0060532997
1896-08-01,0.0085761667
1896-09-01,0.0055058694
1896-10-01,0.0089894799
1896-11-01,0.0096930201
1896-12-01,0.0107363382
1897-01-01,0.0038227048
1897-02-01,0.0031669328
1897-03-01,0.0029851887
1897-04-01,0.0025014578
1897-05-01,-0.0001568868
1897-06-01,-0.001598516
1897-07-01,-0.0027943488
1897-08-01,-0.0005732139
1897-09-01,0.0024584612
1897-10-01,0.0008620891
1897-11-01,0.0016591271
1897-12-01,-0.0017115718
1898-01-01,-0.0041739014
1898-02-01,-0.0005501052
1898-03-01,0.0022245766
1898-04-01,0.0046218682
1898-05-01,0.0130362337
1898-06-01,0.0020330446
1898-07-01,-0.0011232274
1898-08-01,-0.0025961972
1898-09-01,-0.0021445693
1898-10-01,-0.0018673158
1898-11-01,-0.0042081024
1898-12-01,-0.0046050712
1899-01-01,-0.0040674293
1899-02-01,-0.0004102599
1899-03-01,0.0003139377
1899-04-01,0.0018540733
1899-05-01,0.0063341791
1899-06-01,0.0095015041
1899-07-01,0.010012959
1899-08-01,0.0109207747
1899-09-01,0.0159898219
1899-10-01,0.0182436473
