date	total_return_net_index
2015-10-30	2228.12
2015-11-02	2259.65
2015-11-03	2295.9
2015-11-05	2299.39
2015-11-06	2283.87
2015-11-09	2280.07
2015-11-10	2274.21
2015-11-11	2265.91
2015-11-12	2265.13
2015-11-13	2249.78
2015-11-16	2264.92
2015-11-17	2326.66
2015-11-18	2356.93
2015-11-19	2357.87
2015-11-20	2378.07
2015-11-23	2431.9
2015-11-24	2356.37
2015-11-25	2386.94
2015-11-26	2380.13
2015-11-27	2337.69
2015-11-30	2305.6
2015-12-01	2308.1
2015-12-02	2304.4
2015-12-03	2326.66
2015-12-04	2284.99
2015-12-07	2266.66
2015-12-08	2237.54
2015-12-09	2256.18
2015-12-10	2256.47
2015-12-11	2240.09
2015-12-14	2224.97
2015-12-15	2268.93
2015-12-16	2284.88
2015-12-17	2319.07
2015-12-18	2239.15
2015-12-21	2237.67
2015-12-22	2246.06
2015-12-23	2284.14
2015-12-24	2277.42
2015-12-25	2266.32
2015-12-28	2262.38
2015-12-29	2308.14
2015-12-30	2305.5
2016-01-04	2270.42
2016-01-05	2298.66
2016-01-06	2291.37
2016-01-11	2204.85
2016-01-12	2215.02
2016-01-13	2207.78
2016-01-14	2202.53
2016-01-15	2107.64
2016-01-18	2126.08
2016-01-19	2156.39
2016-01-20	2136.51
2016-01-21	2197.84
2016-01-22	2251.29
2016-01-25	2249.8
2016-01-26	2234.67
2016-01-27	2290.45
2016-01-28	2322.37
2016-01-29	2339.4
2016-02-01	2324.05
2016-02-02	2304.46
2016-02-03	2288.85
2016-02-04	2343.34
2016-02-05	2333.72
2016-02-08	2286.12
2016-02-09	2258.72
2016-02-10	2268.51
2016-02-11	2243.28
2016-02-12	2262.23
2016-02-15	2278.61
2016-02-16	2298.69
2016-02-17	2320.25
2016-02-18	2368.61
2016-02-19	2350.47
2016-02-20	2346.25
2016-02-22	2388.5
2016-02-24	2355.59
2016-02-25	2364.26
2016-02-26	2381.09
2016-02-29	2411.81
2016-03-01	2417.06
2016-03-02	2402.21
2016-03-03	2436.09
2016-03-04	2461.78
2016-03-07	2502.77
2016-03-09	2467.95
2016-03-10	2470.08
2016-03-11	2459.48
2016-03-14	2444.76
2016-03-15	2431.33
2016-03-16	2452.48
2016-03-17	2478.16
2016-03-18	2508.6
2016-03-21	2496.13
2016-03-22	2494.78
2016-03-23	2463.87
2016-03-24	2446.55
