date,yellow_share_price
2015-10-30,21530.3
2015-11-02,21617.29
2015-11-03,21888.47
2015-11-05,22083.74
2015-11-06,21999.31
2015-11-09,22015.67
2015-11-10,21996.17
2015-11-11,21953.13
2015-11-12,21927.34
2015-11-13,21825.63
2015-11-16,21904.13
2015-11-17,22268.99
2015-11-18,22468.55
2015-11-19,22626.3
2015-11-20,22487.28
2015-11-23,22884.11
2015-11-24,22703.16
2015-11-25,22863.9
2015-11-26,23094.88
2015-11-27,22935.61
2015-11-30,22764.05
2015-12-01,22681.55
2015-12-02,22789.19
2015-12-03,22831.31
2015-12-04,22745.63
2015-12-07,22794.93
2015-12-08,22592.59
2015-12-09,22595.26
2015-12-10,22670.29
2015-12-11,22660.38
2015-12-14,22433.77
2015-12-15,22670.7
2015-12-16,22873.46
2015-12-17,23000.41
2015-12-18,22586.99
2015-12-21,22532.48
2015-12-22,22438.26
2015-12-23,22458.98
2015-12-24,22505.23
2015-12-25,22450.23
2015-12-28,22464.65
2015-12-29,22476.03
2015-12-30,22707.53
2015-12-31,22679.95
2016-01-11,22506.81
2016-01-12,22618.24
2016-01-13,22690.45
2016-01-14,22546.34
2016-01-15,21896.4
2016-01-18,22219.63
2016-01-19,22578.86
2016-01-20,22400.22
2016-01-21,22845.05
2016-01-22,22995.87
2016-01-25,23108.57
2016-01-26,22803.86
2016-01-27,23250.19
2016-01-28,23290.81
2016-01-29,23468.09
2016-02-01,23400.86
2016-02-02,23239.01
2016-02-03,23027.88
2016-02-04,23145.65
2016-02-05,23234.96
2016-02-08,22639.64
2016-02-09,22431.51
2016-02-10,22523.43
2016-02-11,22242.67
2016-02-12,22404.7
2016-02-15,22423.44
2016-02-16,22565.47
2016-02-17,22782.93
2016-02-18,23206.73
2016-02-19,23147.72
2016-02-20,23146.17
2016-02-24,23067.95
2016-02-25,23300.11
2016-02-26,23524.19
2016-02-29,23872.29
2016-03-01,23665.78
2016-03-02,23619.3
2016-03-03,23667.56
2016-03-04,23744.99
2016-03-09,23936.88
2016-03-10,24049.83
2016-03-11,23941.06
2016-03-14,23876.07
2016-03-15,23852.03
2016-03-16,23874.62
2016-03-17,24015.8
2016-03-18,24343.69
2016-03-21,24272.48
2016-03-22,24203.75
2016-03-23,24090.59
2016-03-24,23993.86
2016-03-25,23996.79
2016-03-28,23854.65
2016-03-29,23631.15
2016-03-30,23740.19
2016-03-31,23782.96
2016-04-01,23581.51
2016-04-04,23479.29
2016-04-05,23361.45
2016-04-06,23443.13
2016-04-07,23397.32
2016-04-08,23516.97
2016-04-11,23770.14
2016-04-12,23676.46
2016-04-13,23871.57
2016-04-14,23867.21
2016-04-15,23872.1
2016-04-18,23781.97
2016-04-19,24115.79
2016-04-20,24258.28
2016-04-21,24217.48
2016-04-22,24286.85
2016-04-25,24177.81
2016-04-26,23904.4
2016-04-27,23796.96
2016-04-28,23938.08
2016-04-29,23769.15
2016-05-04,23847.09
2016-05-05,23755.77
2016-05-06,23899.94
2016-05-10,23590.11
2016-05-11,23724.91
2016-05-12,23649.68
2016-05-13,23793.9
2016-05-16,23874.48
2016-05-17,23989.96
2016-05-18,24392.12
2016-05-19,24124.23
2016-05-20,24144.08
2016-05-23,23929.05
2016-05-24,23932.85
2016-05-25,24036.59
2016-05-26,24090
2016-05-27,24282.31
2016-05-30,24281.55
2016-05-31,24270.53
2016-06-01,24301.88
2016-06-02,24219.25
2016-06-03,23947.07
2016-06-06,24248.29
2016-06-07,24385.79
2016-06-08,24244.5
2016-06-09,24356.94
2016-06-10,24323.92
2016-06-14,24369.58
2016-06-15,24442.87
2016-06-16,24285.39
2016-06-17,24062.86
2016-06-20,24426.71
2016-06-21,24186.66
2016-06-22,24358.76
2016-06-23,24243
2016-06-24,23937.72
2016-06-27,23606.01
2016-06-28,23759.72
2016-06-29,23914.27
2016-06-30,23937.97
2016-07-01,24032.51
2016-07-04,24075.99
2016-07-05,23912.77
2016-07-06,23911.91
2016-07-07,24014.78
2016-07-08,24063.06
2016-07-11,24382.56
2016-07-12,24609.09
2016-07-13,24793.15
2016-07-14,24825.71
2016-07-15,24921.92
2016-07-18,24896.27
2016-07-19,25022.19
2016-07-20,25056.68
2016-07-21,25106.62
2016-07-22,25158.48
2016-07-25,25168.76
2016-07-26,25248.06
2016-07-27,25248.41
2016-07-28,25422.5
2016-07-29,25538.92
2016-08-01,25586.33
2016-08-02,25314.05
2016-08-03,25245.54
2016-08-04,25528.21
2016-08-05,25468.38
2016-08-08,25572.55
2016-08-09,25691.14
2016-08-10,25673.35
2016-08-11,25676.84
2016-08-12,25860.48
2016-08-15,25848.26
2016-08-16,25807.55
2016-08-17,25837.37
2016-08-18,25924.49
2016-08-19,25892.77
2016-08-22,26068.82
2016-08-23,26066.33
2016-08-24,26174.01
2016-08-25,26298.6
2016-08-26,26348.57
2016-08-29,26330.5
2016-08-30,26450.02
2016-08-31,26344.38
2016-09-01,26300.6
2016-09-02,26388.94
2016-09-05,26457.45
2016-09-06,26604.37
2016-09-07,26574.36
2016-09-08,26463.31
2016-09-09,26601.61
2016-09-12,26238.62
2016-09-13,25968.66
2016-09-14,25879.68
2016-09-15,25742.7
2016-09-16,25573.61
2016-09-19,25843.48
2016-09-20,25849.77
2016-09-21,25880.43
2016-09-22,26327.64
2016-09-23,26304.65
2016-09-26,26201.06
2016-09-27,26060.7
2016-09-28,26003.26
2016-09-29,26098.58
2016-09-30,26115.04
2016-10-03,26131.95
2016-10-04,26050.86
2016-10-05,25922.3
2016-10-06,25814.51
2016-10-07,25739.27
2016-10-10,25874.71
2016-10-11,25784.65
2016-10-12,25713.31
2016-10-13,25574.43
2016-10-14,25386.14
2016-10-17,25503.07
2016-10-18,25426.05
2016-10-19,25411.11
2016-10-20,25430.43
2016-10-21,25313.26
2016-10-24,25306.76
2016-10-25,25455.38
2016-10-26,25594.16
2016-10-27,25750.09
2016-10-28,25719.75
2016-10-31,25958.3
2016-11-01,25757.76
2016-11-02,25612.04
2016-11-03,25485.78
2016-11-07,25349.62
2016-11-08,25306.84
2016-11-09,25621.16
2016-11-10,26041.81
2016-11-11,26260.5
2016-11-14,25992.28
2016-11-15,25765.76
2016-11-16,25757.56
2016-11-17,25682.95
2016-11-18,25696.03
2016-11-21,25588.49
2016-11-22,25988.58
2016-11-23,26212.64
2016-11-24,26225.39
2016-11-25,26266.17
2016-11-28,26240.17
2016-11-29,26243.97
2016-11-30,26081.22
2016-12-01,26059.11
2016-12-02,25944.2
2016-12-05,26270.79
2016-12-06,26229.58
2016-12-07,26388.64
2016-12-08,26421.55
2016-12-09,26205.65
2016-12-12,26247.44
2016-12-13,26536.96
2016-12-14,26440.3
2016-12-15,26528.47
2016-12-16,26504.54
2016-12-19,26387.27
2016-12-20,26287.21
2016-12-21,26092.43
2016-12-22,25776.55
2016-12-23,25785.7
2016-12-26,25801.6
2016-12-27,25857.4
2016-12-28,25792.96
2016-12-29,25967.61
2016-12-30,26147.06
2017-01-09,26318.14
2017-01-10,26578.16
2017-01-11,26622.57
2017-01-12,26689.32
2017-01-13,26502.43
2017-01-16,26487.75
2017-01-17,26326.5
2017-01-18,26289.38
2017-01-19,26096.6
2017-01-20,25932.37
2017-01-23,25728.79
2017-01-24,25906.23
2017-01-25,25979.04
2017-01-26,26511.91
2017-01-27,26821.86
2017-01-30,26610.2
2017-01-31,26561.83
2017-02-01,26588.75
2017-02-02,26465.27
2017-02-03,26621.61
2017-02-06,26395.85
2017-02-07,26487.15
2017-02-08,26242.2
2017-02-09,26005.08
2017-02-10,25881.75
2017-02-13,25895.78
2017-02-14,25698.99
2017-02-15,25789.59
2017-02-16,25779.9
2017-02-17,25839.9
2017-02-20,25626.06
2017-02-21,25691.67
2017-02-22,25590.9
2017-02-27,24991.07
2017-02-28,24867.66
2017-03-01,25169.2
2017-03-02,24871.14
2017-03-03,24695.43
2017-03-06,24600.16
2017-03-07,24496.21
2017-03-09,24109.12
2017-03-10,24116.68
2017-03-13,24123.97
2017-03-14,24221.62
2017-03-15,24012.81
2017-03-16,24122.38
2017-03-17,24218.87
2017-03-20,24459.58
2017-03-21,24369.21
2017-03-22,24391.05
2017-03-23,24233.51
2017-03-24,24170.5
2017-03-27,24073.56
2017-03-28,24267.56
2017-03-29,24247.64
2017-03-30,24135.44
2017-03-31,24087.86
2017-04-03,24110.64
2017-04-04,24143.1
2017-04-05,24337.47
2017-04-06,24417.68
2017-04-07,24188.1
2017-04-10,23751.64
2017-04-11,23665.16
2017-04-12,23364.34
2017-04-13,23234.78
2017-04-14,22974.23
2017-04-17,23149.7
2017-04-18,23004.99
2017-04-19,22970.73
2017-04-20,22923.36
2017-04-21,22900.23
2017-04-24,23012.54
2017-04-25,23201.51
2017-04-26,23542.18
2017-04-27,23350.5
2017-04-28,23503.4
2017-05-02,23724.63
2017-05-03,23508.23
2017-05-04,23632.53
2017-05-05,23500.83
2017-05-10,23668.94
2017-05-11,23356.21
2017-05-12,23222.06
2017-05-15,23165.12
2017-05-16,23076.76
2017-05-17,23207.75
2017-05-18,23166.28
2017-05-19,23015.38
2017-05-22,22922.47
2017-05-23,23006.99
2017-05-24,22961.53
2017-05-25,22960.93
2017-05-26,22751.74
2017-05-29,22753.83
2017-05-30,22743.65
2017-05-31,22455.46
2017-06-01,22236.06
2017-06-02,22359.19
2017-06-05,22340.94
2017-06-06,22292.16
2017-06-07,22328.03
2017-06-08,22258.19
2017-06-09,22334.58
2017-06-13,22273.25
2017-06-14,22176.46
2017-06-15,21958.47
2017-06-16,22034.71
2017-06-19,22121.96
2017-06-20,22380.26
2017-06-21,22413.81
2017-06-22,22508.52
2017-06-23,22522.87
2017-06-26,22363.47
2017-06-27,22610.69
2017-06-28,22581.4
2017-06-29,22636.56
2017-06-30,22526.92
2017-07-03,22771.67
2017-07-04,22988.46
2017-07-05,23037.13
2017-07-06,23135.2
2017-07-07,23308.24
2017-07-10,23389.18
2017-07-11,23466.5
2017-07-12,23548.96
2017-07-13,23447.41
2017-07-14,23520.98
2017-07-17,23573.76
2017-07-18,23470.37
2017-07-19,23594.82
2017-07-20,23445.66
2017-07-21,23279.09
2017-07-24,23205.78
2017-07-25,23184.86
2017-07-26,23160.28
2017-07-27,23316.72
2017-07-28,23068.95
2017-07-31,23211.09
2017-08-01,23375.94
2017-08-02,23637.25
2017-08-03,23657.86
2017-08-04,23530.4
2017-08-07,23655.09
2017-08-08,23808.51
2017-08-09,23700.04
2017-08-10,23585.73
2017-08-11,23443.09
2017-08-14,23509.58
2017-08-15,23425.34
